global_rmse,occupied_rmse,weighted_rmse
1.252637939453125000e+02,1.459098358154296875e+02,2.432280426025390625e+02
1.209001693725585938e+02,1.408269653320312500e+02,2.349238128662109375e+02
1.174339752197265625e+02,1.367894134521484375e+02,2.279484710693359375e+02
1.136160812377929688e+02,1.323422393798828125e+02,2.197727203369140625e+02
1.098034973144531250e+02,1.279012298583984375e+02,2.113748016357421875e+02
1.054540481567382812e+02,1.228348999023437500e+02,2.015145263671875000e+02
1.004902877807617188e+02,1.170530090332031250e+02,1.900771026611328125e+02
9.738992309570312500e+01,1.134416351318359375e+02,1.829171295166015625e+02
9.477790832519531250e+01,1.103991012573242188e+02,1.768877410888671875e+02
9.310353851318359375e+01,1.084487686157226562e+02,1.731473693847656250e+02
9.205242919921875000e+01,1.072244262695312500e+02,1.709450225830078125e+02
9.143530273437500000e+01,1.065055770874023438e+02,1.697666931152343750e+02
9.103002929687500000e+01,1.060335083007812500e+02,1.689638366699218750e+02
9.071136474609375000e+01,1.056623153686523438e+02,1.684259490966796875e+02
9.043008422851562500e+01,1.053346710205078125e+02,1.680002899169921875e+02
9.014998626708984375e+01,1.050084152221679688e+02,1.676054229736328125e+02
8.987162017822265625e+01,1.046841659545898438e+02,1.672404785156250000e+02
8.962320709228515625e+01,1.043948059082031250e+02,1.669362792968750000e+02
8.946224975585937500e+01,1.042073059082031250e+02,1.667514648437500000e+02
8.937196350097656250e+01,1.041021194458007812e+02,1.666515502929687500e+02
8.928704833984375000e+01,1.040031890869140625e+02,1.665664367675781250e+02
8.921598815917968750e+01,1.039203872680664062e+02,1.664970397949218750e+02
8.917274475097656250e+01,1.038699874877929688e+02,1.664532470703125000e+02
8.914139556884765625e+01,1.038334579467773438e+02,1.664208068847656250e+02
8.911790466308593750e+01,1.038060913085937500e+02,1.663947296142578125e+02
8.909387969970703125e+01,1.037780990600585938e+02,1.663628845214843750e+02
8.907483673095703125e+01,1.037559280395507812e+02,1.663305664062500000e+02
8.905104064941406250e+01,1.037282104492187500e+02,1.662708282470703125e+02
8.896923828125000000e+01,1.036329193115234375e+02,1.660747070312500000e+02
8.875679016113281250e+01,1.033854598999023438e+02,1.655691375732421875e+02
8.823030853271484375e+01,1.027721939086914062e+02,1.643362579345703125e+02
8.731322479248046875e+01,1.017039566040039062e+02,1.622048034667968750e+02
8.577642822265625000e+01,9.991385650634765625e+01,1.586202545166015625e+02
8.376222229003906250e+01,9.756765747070312500e+01,1.539715881347656250e+02
8.137248229980468750e+01,9.478404235839843750e+01,1.485150146484375000e+02
7.880992889404296875e+01,9.179910278320312500e+01,1.427366790771484375e+02
7.606816864013671875e+01,8.860543060302734375e+01,1.366239166259765625e+02
7.310796356201171875e+01,8.515730285644531250e+01,1.301188354492187500e+02
7.041296386718750000e+01,8.201809692382812500e+01,1.242878875732421875e+02
6.789749145507812500e+01,7.908800506591796875e+01,1.188577575683593750e+02
6.559618377685546875e+01,7.640737915039062500e+01,1.139453048706054688e+02
6.417993164062500000e+01,7.475769042968750000e+01,1.109775466918945312e+02
6.298280334472656250e+01,7.336322784423828125e+01,1.084710540771484375e+02
6.172325134277343750e+01,7.189605712890625000e+01,1.059336318969726562e+02
6.057308959960937500e+01,7.055630493164062500e+01,1.036986541748046875e+02
5.869960784912109375e+01,6.837400054931640625e+01,1.001677169799804688e+02
5.753107070922851562e+01,6.701284790039062500e+01,9.795471191406250000e+01
5.645724868774414062e+01,6.576201629638671875e+01,9.593402099609375000e+01
5.583049011230468750e+01,6.503194427490234375e+01,9.466675567626953125e+01
5.537917327880859375e+01,6.450623321533203125e+01,9.371353912353515625e+01
