global_rmse,occupied_rmse
2.177625298500061035e-01,2.210630476474761963e-01
2.167620956897735596e-01,2.200466245412826538e-01
2.159957885742187500e-01,2.192680686712265015e-01
2.154724001884460449e-01,2.187363654375076294e-01
2.153428494930267334e-01,2.186047583818435669e-01
2.150846868753433228e-01,2.183424830436706543e-01
2.147390246391296387e-01,2.179912924766540527e-01
2.136454135179519653e-01,2.168802767992019653e-01
2.138666361570358276e-01,2.171050161123275757e-01
2.134596258401870728e-01,2.166915088891983032e-01
2.131038606166839600e-01,2.163300663232803345e-01
2.127221822738647461e-01,2.159423083066940308e-01
2.106603533029556274e-01,2.138475924730300903e-01
2.102672904729843140e-01,2.134482562541961670e-01
2.075454443693161011e-01,2.106829434633255005e-01
2.060656845569610596e-01,2.091795504093170166e-01
2.055621147155761719e-01,2.086679041385650635e-01
2.049539685249328613e-01,2.080500721931457520e-01
2.029757797718048096e-01,2.060402631759643555e-01
2.019025832414627075e-01,2.049497961997985840e-01
1.997754871845245361e-01,2.027886658906936646e-01
1.989062875509262085e-01,2.019055634737014771e-01
1.977645605802536011e-01,2.007455229759216309e-01
1.969570666551589966e-01,1.999249905347824097e-01
1.966892778873443604e-01,1.996524333953857422e-01
1.963282972574234009e-01,1.992855966091156006e-01
1.961334049701690674e-01,1.990872174501419067e-01
1.957948207855224609e-01,1.987427622079849243e-01
1.961119472980499268e-01,1.990689039230346680e-01
1.947961598634719849e-01,1.977217495441436768e-01
1.942718625068664551e-01,1.971818655729293823e-01
1.940727829933166504e-01,1.969624757766723633e-01
1.935212612152099609e-01,1.964225769042968750e-01
1.930725723505020142e-01,1.959374696016311646e-01
1.927565038204193115e-01,1.956311166286468506e-01
1.914194524288177490e-01,1.942734122276306152e-01
1.905804872512817383e-01,1.934107840061187744e-01
1.899207234382629395e-01,1.927394419908523560e-01
1.887042075395584106e-01,1.915012001991271973e-01
1.870557218790054321e-01,1.898268759250640869e-01
1.877752244472503662e-01,1.905582249164581299e-01
1.856804788112640381e-01,1.884294748306274414e-01
1.839602440595626831e-01,1.866808831691741943e-01
1.830393821001052856e-01,1.857453584671020508e-01
1.821805238723754883e-01,1.848725974559783936e-01
1.811186373233795166e-01,1.837933957576751709e-01
1.803212761878967285e-01,1.829830557107925415e-01
1.796795725822448730e-01,1.823308765888214111e-01
1.787204146385192871e-01,1.813560575246810913e-01
1.773434579372406006e-01,1.799566000699996948e-01
1.748481541872024536e-01,1.774204671382904053e-01
1.733221262693405151e-01,1.758694499731063843e-01
1.720939278602600098e-01,1.746211051940917969e-01
1.710424125194549561e-01,1.735523492097854614e-01
1.694743335247039795e-01,1.719585061073303223e-01
1.677483022212982178e-01,1.702041327953338623e-01
1.677669286727905273e-01,1.702230572700500488e-01
1.676826626062393188e-01,1.701374053955078125e-01
1.661762595176696777e-01,1.686062067747116089e-01
1.661460548639297485e-01,1.685755103826522827e-01
1.645463705062866211e-01,1.669494956731796265e-01
1.642277985811233521e-01,1.666256636381149292e-01
1.613343507051467896e-01,1.636844575405120850e-01
1.606686115264892578e-01,1.630077362060546875e-01
1.605854630470275879e-01,1.629232019186019897e-01
1.590731441974639893e-01,1.613858640193939209e-01
1.575999408960342407e-01,1.598882526159286499e-01
1.565959155559539795e-01,1.588675826787948608e-01
1.552719622850418091e-01,1.575216352939605713e-01
1.541543751955032349e-01,1.563854217529296875e-01
1.527598649263381958e-01,1.549675762653350830e-01
1.506866216659545898e-01,1.528593748807907104e-01
1.495382487773895264e-01,1.516909450292587280e-01
1.471790671348571777e-01,1.492902934551239014e-01
1.468170285224914551e-01,1.489218920469284058e-01
1.457460820674896240e-01,1.478242427110671997e-01
1.454108655452728271e-01,1.474789381027221680e-01
1.437085866928100586e-01,1.457445025444030762e-01
1.433520764112472534e-01,1.453899443149566650e-01
1.429658979177474976e-01,1.449754089117050171e-01
1.431174129247665405e-01,1.451494991779327393e-01
1.431992202997207642e-01,1.452343761920928955e-01
1.428778916597366333e-01,1.449043005704879761e-01
1.422736048698425293e-01,1.442889124155044556e-01
1.414241492748260498e-01,1.434186995029449463e-01
1.406928151845932007e-01,1.426782906055450439e-01
1.393649280071258545e-01,1.413334906101226807e-01
1.376583278179168701e-01,1.395991295576095581e-01
1.369475126266479492e-01,1.388762891292572021e-01
1.368675827980041504e-01,1.387949287891387939e-01
1.353784203529357910e-01,1.372804343700408936e-01
1.349161118268966675e-01,1.368102580308914185e-01
1.325308680534362793e-01,1.343832612037658691e-01
1.320764571428298950e-01,1.339208781719207764e-01
1.319860219955444336e-01,1.338288635015487671e-01
1.312673389911651611e-01,1.330962479114532471e-01
1.311983466148376465e-01,1.330257952213287354e-01
1.310411840677261353e-01,1.328642368316650391e-01
1.311181634664535522e-01,1.329417675733566284e-01
1.311235427856445312e-01,1.329473108053207397e-01
1.311616748571395874e-01,1.329862028360366821e-01
1.311736106872558594e-01,1.329982280731201172e-01
1.310158818960189819e-01,1.328376531600952148e-01
1.303846389055252075e-01,1.321952193975448608e-01
1.300675421953201294e-01,1.318721324205398560e-01
1.289467811584472656e-01,1.307279169559478760e-01
1.283853650093078613e-01,1.301585733890533447e-01
1.281763017177581787e-01,1.299411207437515259e-01
1.275355666875839233e-01,1.292889714241027832e-01
1.275058239698410034e-01,1.292560845613479614e-01
1.269211918115615845e-01,1.286687850952148438e-01
1.270866245031356812e-01,1.288391649723052979e-01
1.270025670528411865e-01,1.287573128938674927e-01
1.269117444753646851e-01,1.286666393280029297e-01
1.268014311790466309e-01,1.285507231950759888e-01
1.265127956867218018e-01,1.282548904418945312e-01
1.262989342212677002e-01,1.280375719070434570e-01
1.263832449913024902e-01,1.281230896711349487e-01
1.261530071496963501e-01,1.278903484344482422e-01
