map_id,gained_true_utility_classic,total_true_utility_classic,task_completion_classic,global_final_rmse_classic,global_mean_rmse_classic,global_auc_rmse_classic,occupied_final_rmse_classic,occupied_mean_rmse_classic,occupied_auc_rmse_classic,weighted_final_rmse_classic,weighted_mean_rmse_classic,weighted_auc_rmse_classic,final_total_variance_classic,variance_reduction_classic,gained_true_utility_diffusion,total_true_utility_diffusion,task_completion_diffusion,coverage_efficiency,global_final_rmse_diffusion,global_mean_rmse_diffusion,global_auc_rmse_diffusion,occupied_final_rmse_diffusion,occupied_mean_rmse_diffusion,occupied_auc_rmse_diffusion,weighted_final_rmse_diffusion,weighted_mean_rmse_diffusion,weighted_auc_rmse_diffusion,final_total_variance_diffusion,variance_reduction_diffusion
31,87457.0,150083.0,0.5827242259283196,17.52687644958496,40.82917754173279,8117.277762413026,18.80311584472656,43.81831347465514,8711.55121421814,27.641162872314453,61.717873392105105,12269.974044799805,16361.812686632633,9648.187313367367,74118.0,150083.0,0.49384673813823016,0.002456948945961344,24.96967315673828,47.99227840423584,9546.176536560057,26.79672241210937,51.50696293830872,10245.28430366516,34.636531829833984,70.8922833442688,14101.358350753784,17928.97941899015,8081.020581009848
32,87363.0,198868.0,0.43930144618540934,57.67139053344727,70.60921499252319,14041.202676773071,60.491512298583984,74.0626768684387,14727.950223922728,80.90071868896483,100.23266700744628,19928.679622650143,16977.498772338695,9032.501227661303,74670.0,198868.0,0.3754751895729831,0.0018680357690198165,59.49151992797852,87.37240718841552,17392.931051254272,62.40159606933594,91.64689556121824,18243.83892059326,93.09951782226561,134.63449729919432,26802.946281433105,17344.432628709186,8665.56737129081
33,86789.0,149786.0,0.5794199724940916,22.007429122924805,56.685322761535645,11278.558888435364,24.527734756469727,63.18850452423096,12572.483260154724,41.060840606689446,107.05062877655028,21302.4029750824,16258.947302883513,9751.052697116487,102674.0,149786.0,0.6854712723485507,0.0034103048375549784,11.782877922058104,50.280665621757514,10002.739736080168,13.126106262207031,56.04838727951049,11150.160625457764,19.06304359436035,93.91378370285034,18686.032858848568,18421.911337316124,7588.088662683876
34,94499.0,199836.0,0.4728827638663704,44.697620391845696,56.1904026222229,11165.751207351685,46.50031661987305,58.45896526336671,11616.544023513792,65.45989227294922,80.60391098022461,16014.639942169188,15102.976013146483,10907.023986853515,103322.0,199836.0,0.51703396785364,0.0025723082977793035,27.826560974121094,50.25207413673401,9986.521039962769,28.947772979736328,52.28036605834961,10389.600454330444,41.33985137939453,72.43946193695069,14393.81015396118,16817.553552818434,9192.446447181566
35,52185.0,150155.0,0.3475408744297559,58.51043319702149,63.782198638916014,12681.740125656128,64.36788177490233,70.1688032913208,13951.581069946287,111.04708862304688,118.26371471405028,23516.28811645508,15487.348740094496,10522.651259905502,71201.0,150155.0,0.4741833438779927,0.0023591211138208595,36.70605850219727,66.99708786010743,13335.62015724182,40.37969207763672,73.70536325454712,14670.887157440184,52.79499053955078,115.42604293823241,22977.87981033325,17530.88293733769,8479.117062662308
