global_rmse,occupied_rmse,weighted_rmse
6.755973052978515625e+01,7.645436096191406250e+01,1.372316894531250000e+02
6.667642974853515625e+01,7.545465087890625000e+01,1.357773132324218750e+02
6.592790222167968750e+01,7.460742950439453125e+01,1.344809875488281250e+02
6.501853942871093750e+01,7.357823944091796875e+01,1.327877349853515625e+02
6.420241546630859375e+01,7.265457153320312500e+01,1.312276153564453125e+02
6.318011093139648438e+01,7.149760437011718750e+01,1.291610870361328125e+02
6.234874343872070312e+01,7.055669403076171875e+01,1.274875946044921875e+02
6.096578979492187500e+01,6.899159240722656250e+01,1.245820541381835938e+02
5.997161483764648438e+01,6.786639404296875000e+01,1.225310745239257812e+02
5.842860412597656250e+01,6.612012481689453125e+01,1.192378082275390625e+02
5.736862564086914062e+01,6.492050170898437500e+01,1.169506988525390625e+02
5.607267761230468750e+01,6.345391464233398438e+01,1.139961776733398438e+02
5.514509582519531250e+01,6.240420913696289062e+01,1.118603591918945312e+02
5.436091995239257812e+01,6.151680374145507812e+01,1.100540237426757812e+02
5.371876525878906250e+01,6.079012298583984375e+01,1.086087646484375000e+02
5.303506088256835938e+01,6.001642227172851562e+01,1.071199417114257812e+02
5.270740127563476562e+01,5.964563751220703125e+01,1.064631042480468750e+02
5.254552459716796875e+01,5.946246719360351562e+01,1.061421432495117188e+02
5.250070190429687500e+01,5.941174316406250000e+01,1.060604858398437500e+02
5.248361968994140625e+01,5.939239120483398438e+01,1.060362854003906250e+02
5.248447418212890625e+01,5.939335250854492188e+01,1.060393066406250000e+02
5.248728942871093750e+01,5.939654922485351562e+01,1.060453796386718750e+02
5.248318481445312500e+01,5.939193344116210938e+01,1.060391921997070312e+02
5.248316955566406250e+01,5.939192962646484375e+01,1.060386199951171875e+02
5.243676376342773438e+01,5.933941268920898438e+01,1.059613037109375000e+02
5.220678329467773438e+01,5.907914733886718750e+01,1.055476989746093750e+02
5.176301574707031250e+01,5.857695007324218750e+01,1.047609252929687500e+02
5.133301544189453125e+01,5.809032821655273438e+01,1.040263137817382812e+02
5.077939224243164062e+01,5.746379852294921875e+01,1.030611572265625000e+02
5.029264831542968750e+01,5.691295623779296875e+01,1.022210540771484375e+02
4.974969482421875000e+01,5.629850387573242188e+01,1.012994613647460938e+02
4.939907836914062500e+01,5.590171432495117188e+01,1.007209701538085938e+02
4.911079406738281250e+01,5.557546234130859375e+01,1.002531433105468750e+02
4.889520645141601562e+01,5.533148574829101562e+01,9.988521575927734375e+01
4.853978729248046875e+01,5.492925643920898438e+01,9.924658203125000000e+01
4.820695877075195312e+01,5.455260086059570312e+01,9.859161376953125000e+01
4.777742385864257812e+01,5.406650161743164062e+01,9.770230102539062500e+01
4.708516693115234375e+01,5.328308486938476562e+01,9.620919799804687500e+01
4.627207183837890625e+01,5.236291122436523438e+01,9.438694763183593750e+01
4.534692764282226562e+01,5.131593704223632812e+01,9.227761840820312500e+01
4.427705001831054688e+01,5.010517120361328125e+01,8.978525543212890625e+01
4.323900985717773438e+01,4.893043136596679688e+01,8.731706237792968750e+01
4.252326202392578125e+01,4.812041854858398438e+01,8.568161010742187500e+01
4.185399246215820312e+01,4.736300277709960938e+01,8.415139007568359375e+01
4.113358688354492188e+01,4.654771041870117188e+01,8.255921936035156250e+01
4.060052490234375000e+01,4.594442367553710938e+01,8.146270751953125000e+01
4.012267303466796875e+01,4.540361022949218750e+01,8.048393249511718750e+01
3.977273941040039062e+01,4.500757217407226562e+01,7.974451446533203125e+01
3.930957031250000000e+01,4.448336791992187500e+01,7.880548858642578125e+01
3.870697784423828125e+01,4.380137634277343750e+01,7.750476074218750000e+01
3.758556365966796875e+01,4.253219223022460938e+01,7.513179016113281250e+01
3.626943588256835938e+01,4.104265594482421875e+01,7.223062133789062500e+01
3.467021942138671875e+01,3.923274612426757812e+01,6.864565277099609375e+01
3.303438949584960938e+01,3.738142013549804688e+01,6.482468414306640625e+01
3.133280181884765625e+01,3.545565414428710938e+01,6.088854980468750000e+01
2.955315017700195312e+01,3.344155120849609375e+01,5.670445632934570312e+01
2.778313255310058594e+01,3.143832588195800781e+01,5.253985595703125000e+01
2.653389167785644531e+01,3.002448272705078125e+01,4.955940246582031250e+01
2.583395004272460938e+01,2.923231506347656250e+01,4.787808990478515625e+01
2.485288619995117188e+01,2.812195587158203125e+01,4.563113784790039062e+01
2.431003761291503906e+01,2.750755119323730469e+01,4.441267395019531250e+01
2.400849533081054688e+01,2.716624641418457031e+01,4.376667785644531250e+01
2.361566925048828125e+01,2.672163581848144531e+01,4.288884735107421875e+01
2.322879409790039062e+01,2.628376197814941406e+01,4.200727844238281250e+01
2.280168151855468750e+01,2.580034446716308594e+01,4.104965591430664062e+01
