global_rmse,occupied_rmse
1.407614797353744507e-01,1.504240185022354126e-01
1.406965404748916626e-01,1.503575295209884644e-01
1.407277882099151611e-01,1.504827141761779785e-01
1.409702301025390625e-01,1.507664024829864502e-01
1.404891014099121094e-01,1.502152830362319946e-01
1.408018618822097778e-01,1.505365967750549316e-01
1.401118040084838867e-01,1.497635245323181152e-01
1.399722099304199219e-01,1.496245712041854858e-01
1.400165855884552002e-01,1.496412307024002075e-01
1.400582790374755859e-01,1.497292071580886841e-01
1.399902254343032837e-01,1.496557891368865967e-01
1.400124430656433105e-01,1.496573537588119507e-01
1.400149613618850708e-01,1.496496647596359253e-01
1.399482339620590210e-01,1.495455652475357056e-01
1.398861408233642578e-01,1.494852453470230103e-01
1.399786919355392456e-01,1.496654152870178223e-01
1.398602128028869629e-01,1.495316326618194580e-01
1.397350579500198364e-01,1.493726223707199097e-01
1.396699398756027222e-01,1.493076533079147339e-01
1.397252529859542847e-01,1.493800878524780273e-01
1.397131234407424927e-01,1.493503451347351074e-01
1.388823688030242920e-01,1.484040766954421997e-01
1.390463560819625854e-01,1.486126482486724854e-01
1.377594321966171265e-01,1.472473442554473877e-01
1.364543437957763672e-01,1.458142846822738647e-01
1.359892636537551880e-01,1.452730149030685425e-01
1.356001347303390503e-01,1.448493301868438721e-01
1.345338076353073120e-01,1.437519788742065430e-01
1.335097402334213257e-01,1.426454931497573853e-01
1.332238316535949707e-01,1.423450112342834473e-01
1.320537775754928589e-01,1.410817950963973999e-01
1.314955800771713257e-01,1.404791325330734253e-01
1.296135783195495605e-01,1.384453475475311279e-01
1.288077980279922485e-01,1.375757604837417603e-01
1.272371262311935425e-01,1.358781903982162476e-01
1.270047724246978760e-01,1.356272697448730469e-01
1.265272051095962524e-01,1.351112127304077148e-01
1.265010982751846313e-01,1.350830197334289551e-01
1.254289746284484863e-01,1.339243948459625244e-01
1.252246648073196411e-01,1.337035596370697021e-01
1.254338920116424561e-01,1.339295506477355957e-01
1.247184723615646362e-01,1.331565529108047485e-01
1.247702762484550476e-01,1.332114487886428833e-01
1.245477646589279175e-01,1.329686492681503296e-01
1.241922006011009216e-01,1.325845420360565186e-01
1.232767626643180847e-01,1.315953731536865234e-01
1.232785657048225403e-01,1.315970122814178467e-01
1.233219429850578308e-01,1.316374540328979492e-01
1.225791797041893005e-01,1.308279186487197876e-01
1.223773509263992310e-01,1.305657327175140381e-01
1.223956570029258728e-01,1.306070983409881592e-01
1.223184764385223389e-01,1.305502653121948242e-01
1.223969608545303345e-01,1.306606680154800415e-01
1.223186627030372620e-01,1.305590271949768066e-01
1.222507804632186890e-01,1.304341703653335571e-01
1.222190931439399719e-01,1.303825974464416504e-01
1.221988499164581299e-01,1.303992122411727905e-01
1.222276985645294189e-01,1.304439008235931396e-01
1.222404912114143372e-01,1.304191201925277710e-01
1.221660152077674866e-01,1.303034424781799316e-01
1.223005875945091248e-01,1.304815113544464111e-01
1.221440508961677551e-01,1.303075551986694336e-01
1.219478473067283630e-01,1.301011443138122559e-01
1.218939423561096191e-01,1.300336718559265137e-01
1.219173371791839600e-01,1.300485730171203613e-01
1.220286339521408081e-01,1.301907449960708618e-01
1.219134107232093811e-01,1.300561130046844482e-01
1.218630149960517883e-01,1.299956142902374268e-01
1.217012852430343628e-01,1.297915875911712646e-01
1.216959431767463684e-01,1.297988593578338623e-01
1.215640157461166382e-01,1.296383440494537354e-01
1.215828061103820801e-01,1.296550929546356201e-01
1.216007396578788757e-01,1.296661198139190674e-01
1.215399429202079773e-01,1.296037584543228149e-01
1.215496063232421875e-01,1.296363621950149536e-01
1.217247322201728821e-01,1.298425197601318359e-01
1.218239590525627136e-01,1.299456208944320679e-01
1.217992156744003296e-01,1.299045979976654053e-01
1.216881796717643738e-01,1.297868937253952026e-01
1.216247379779815674e-01,1.297104656696319580e-01
1.215515062212944031e-01,1.296281963586807251e-01
1.216819137334823608e-01,1.297585815191268921e-01
1.216356232762336731e-01,1.297123730182647705e-01
1.214308366179466248e-01,1.294757723808288574e-01
1.208138540387153625e-01,1.288013607263565063e-01
1.207430660724639893e-01,1.287136375904083252e-01
1.206580922007560730e-01,1.286287307739257812e-01
1.206420287489891052e-01,1.286409199237823486e-01
1.205629929900169373e-01,1.285636574029922485e-01
1.206117719411849976e-01,1.286309063434600830e-01
1.207064390182495117e-01,1.287356615066528320e-01
1.204606965184211731e-01,1.284485012292861938e-01
1.205192208290100098e-01,1.285103112459182739e-01
1.205913275480270386e-01,1.285965889692306519e-01
1.204682141542434692e-01,1.284608989953994751e-01
1.204449981451034546e-01,1.283737868070602417e-01
1.204725727438926697e-01,1.284627020359039307e-01
1.204747036099433899e-01,1.283441036939620972e-01
1.203958615660667419e-01,1.283853650093078613e-01
1.203938052058219910e-01,1.283495426177978516e-01
1.204734593629837036e-01,1.284464299678802490e-01
1.204183921217918396e-01,1.283850073814392090e-01
1.205806508660316467e-01,1.285696029663085938e-01
1.203661933541297913e-01,1.283364892005920410e-01
1.203885674476623535e-01,1.282766163349151611e-01
1.204164624214172363e-01,1.282597929239273071e-01
1.204467788338661194e-01,1.282667219638824463e-01
1.204437613487243652e-01,1.282675564289093018e-01
1.205410063266754150e-01,1.283175051212310791e-01
1.204854100942611694e-01,1.282650232315063477e-01
1.204422339797019958e-01,1.282461136579513550e-01
1.205047369003295898e-01,1.282326579093933105e-01
1.204455941915512085e-01,1.282343119382858276e-01
1.205705180764198303e-01,1.282366663217544556e-01
1.204720214009284973e-01,1.282281726598739624e-01
1.204229742288589478e-01,1.282887458801269531e-01
1.203583329916000366e-01,1.282306015491485596e-01
1.203492879867553711e-01,1.282253265380859375e-01
1.203878596425056458e-01,1.281923651695251465e-01
1.203804835677146912e-01,1.282063722610473633e-01
1.203892454504966736e-01,1.282581090927124023e-01
1.203330978751182556e-01,1.281909942626953125e-01
1.203394234180450439e-01,1.282007694244384766e-01
1.204829141497612000e-01,1.283559203147888184e-01
1.200810745358467102e-01,1.279318630695343018e-01
1.201024577021598816e-01,1.279472708702087402e-01
1.200003251433372498e-01,1.278115361928939819e-01
1.200260594487190247e-01,1.278124600648880005e-01
1.196751520037651062e-01,1.274549365043640137e-01
1.195928677916526794e-01,1.273660659790039062e-01
1.193867698311805725e-01,1.271229237318038940e-01
1.191034466028213501e-01,1.268242001533508301e-01
1.189857572317123413e-01,1.266982257366180420e-01
1.175659075379371643e-01,1.251615434885025024e-01
1.173786744475364685e-01,1.249594613909721375e-01
1.154842004179954529e-01,1.229060962796211243e-01
1.156892925500869751e-01,1.231347173452377319e-01
1.153806373476982117e-01,1.228000596165657043e-01
1.135496795177459717e-01,1.208160966634750366e-01
1.116214692592620850e-01,1.187240481376647949e-01
1.098280176520347595e-01,1.167780309915542603e-01
1.085360497236251831e-01,1.153756976127624512e-01
1.076635792851448059e-01,1.144285053014755249e-01
1.063910722732543945e-01,1.130467206239700317e-01
1.051215603947639465e-01,1.116677820682525635e-01
1.042083948850631714e-01,1.106757000088691711e-01
1.040947586297988892e-01,1.105522140860557556e-01
1.022620499134063721e-01,1.085603460669517517e-01
9.992914646863937378e-02,1.060233786702156067e-01
9.844613820314407349e-02,1.044096723198890686e-01
