execution_chunk,diffusion_k1_mean,diffusion_k1_min,diffusion_k1_max,diffusion_k1_n,diffusion_dynamic_mean,diffusion_dynamic_min,diffusion_dynamic_max,diffusion_dynamic_n
20,13350.5466337204,11778.0893259048,14475.6226997375,5.0000000000,11978.9853986740,11274.5146675110,13374.5405387878,5.0000000000
40,12197.3757148743,11589.0294485092,13490.1833019257,5.0000000000,12955.0122501373,11315.0225877762,13788.9308938980,5.0000000000
60,13650.2763053894,12707.7172832489,14196.2023181915,5.0000000000,13041.0573513031,12032.7984809875,14009.0618915558,5.0000000000
80,14724.9335639954,13645.4697818756,15126.4749279022,5.0000000000,12762.0169061661,12383.8145875931,13068.8146839142,5.0000000000
