global_rmse,occupied_rmse
1.212717145681381226e-01,1.428275853395462036e-01
1.203876882791519165e-01,1.416049897670745850e-01
1.195236891508102417e-01,1.405313313007354736e-01
1.194698885083198547e-01,1.404655575752258301e-01
1.193975433707237244e-01,1.404022276401519775e-01
1.185922622680664062e-01,1.393156945705413818e-01
1.184849366545677185e-01,1.391775757074356079e-01
1.181573048233985901e-01,1.386975347995758057e-01
1.180647984147071838e-01,1.385587453842163086e-01
1.181906983256340027e-01,1.387709975242614746e-01
1.180416718125343323e-01,1.384736001491546631e-01
1.181915476918220520e-01,1.385289728641510010e-01
1.180770546197891235e-01,1.385314464569091797e-01
1.180835813283920288e-01,1.385312378406524658e-01
1.179967969655990601e-01,1.384351402521133423e-01
1.182773113250732422e-01,1.388020515441894531e-01
1.180264204740524292e-01,1.385050863027572632e-01
1.182133331894874573e-01,1.384519636631011963e-01
1.180032938718795776e-01,1.385049372911453247e-01
1.176350340247154236e-01,1.385505199432373047e-01
1.176688447594642639e-01,1.385380774736404419e-01
1.175504028797149658e-01,1.385383456945419312e-01
1.174736395478248596e-01,1.385160088539123535e-01
1.175241768360137939e-01,1.384859532117843628e-01
1.174004450440406799e-01,1.383814364671707153e-01
1.174905300140380859e-01,1.383776813745498657e-01
1.169215291738510132e-01,1.383965909481048584e-01
1.168025285005569458e-01,1.384325325489044189e-01
1.166360005736351013e-01,1.384247392416000366e-01
1.168022975325584412e-01,1.385609656572341919e-01
1.168184950947761536e-01,1.385980248451232910e-01
1.165230423212051392e-01,1.386175751686096191e-01
1.163312494754791260e-01,1.386162489652633667e-01
1.162301078438758850e-01,1.386492997407913208e-01
1.162039488554000854e-01,1.385727226734161377e-01
1.161221265792846680e-01,1.387259215116500854e-01
1.161307990550994873e-01,1.386945694684982300e-01
1.163205802440643311e-01,1.386450082063674927e-01
1.164653524756431580e-01,1.389870941638946533e-01
1.164858862757682800e-01,1.390317231416702271e-01
1.162054687738418579e-01,1.386285424232482910e-01
1.162379458546638489e-01,1.385808587074279785e-01
1.160856857895851135e-01,1.382728070020675659e-01
1.161389872431755066e-01,1.383986622095108032e-01
1.161930561065673828e-01,1.383971869945526123e-01
1.166073754429817200e-01,1.389866024255752563e-01
1.165275499224662781e-01,1.387835443019866943e-01
1.162912622094154358e-01,1.385813802480697632e-01
1.161089912056922913e-01,1.382852196693420410e-01
1.158506721258163452e-01,1.379640996456146240e-01
1.156143322587013245e-01,1.375683546066284180e-01
1.152469515800476074e-01,1.370737999677658081e-01
1.149620264768600464e-01,1.367290169000625610e-01
1.140269786119461060e-01,1.355335712432861328e-01
1.139575317502021790e-01,1.354355961084365845e-01
1.140674725174903870e-01,1.355741471052169800e-01
1.136524230241775513e-01,1.350370496511459351e-01
1.132839545607566833e-01,1.345589905977249146e-01
1.125102043151855469e-01,1.335549801588058472e-01
1.126527786254882812e-01,1.337401121854782104e-01
1.119583398103713989e-01,1.328384429216384888e-01
1.114221364259719849e-01,1.321419030427932739e-01
1.108567193150520325e-01,1.314071267843246460e-01
1.097080782055854797e-01,1.299132555723190308e-01
1.094600260257720947e-01,1.295904368162155151e-01
1.091460362076759338e-01,1.291817277669906616e-01
1.057520732283592224e-01,1.247560307383537292e-01
1.051485836505889893e-01,1.239675432443618774e-01
1.019135117530822754e-01,1.197321191430091858e-01
9.911534935235977173e-02,1.160560995340347290e-01
9.876217693090438843e-02,1.155912354588508606e-01
9.841012954711914062e-02,1.151276528835296631e-01
9.822867810726165771e-02,1.148886159062385559e-01
9.656296670436859131e-02,1.126917451620101929e-01
9.621219336986541748e-02,1.122284978628158569e-01
9.626003354787826538e-02,1.122916862368583679e-01
9.584655612707138062e-02,1.117453649640083313e-01
9.551223367452621460e-02,1.113034114241600037e-01
9.357547014951705933e-02,1.087388619780540466e-01
9.343983978033065796e-02,1.085590198636054993e-01
9.176764637231826782e-02,1.063382700085639954e-01
9.028038382530212402e-02,1.043581888079643250e-01
8.908334374427795410e-02,1.027606129646301270e-01
8.766885846853256226e-02,1.008682847023010254e-01
8.583451807498931885e-02,9.840639680624008179e-02
8.400615304708480835e-02,9.594360738992691040e-02
8.368065208196640015e-02,9.550414234399795532e-02
8.354324847459793091e-02,9.531943500041961670e-02
8.123717457056045532e-02,9.219414740800857544e-02
7.943303883075714111e-02,8.973598480224609375e-02
7.807330042123794556e-02,8.787817507982254028e-02
7.580249011516571045e-02,8.475705236196517944e-02
7.575705647468566895e-02,8.469420671463012695e-02
7.547201961278915405e-02,8.429799228906631470e-02
7.546761631965637207e-02,8.429499715566635132e-02
7.319349795579910278e-02,8.114335685968399048e-02
7.378218322992324829e-02,8.195682615041732788e-02
7.178007811307907104e-02,7.916851341724395752e-02
7.140947133302688599e-02,7.865204662084579468e-02
7.165076583623886108e-02,7.899165153503417969e-02
7.064848393201828003e-02,7.758817821741104126e-02
6.982401013374328613e-02,7.642950117588043213e-02
6.947723031044006348e-02,7.594079524278640747e-02
6.859786063432693481e-02,7.469803839921951294e-02
6.837245821952819824e-02,7.437855750322341919e-02
6.820080429315567017e-02,7.413557171821594238e-02
6.821516901254653931e-02,7.415541261434555054e-02
6.802047789096832275e-02,7.387623190879821777e-02
6.824481487274169922e-02,7.419906556606292725e-02
6.805595010519027710e-02,7.390379905700683594e-02
6.834276020526885986e-02,7.434491068124771118e-02
6.784249842166900635e-02,7.360471040010452271e-02
6.800297647714614868e-02,7.388783246278762817e-02
6.811879575252532959e-02,7.405546307563781738e-02
6.691176444292068481e-02,7.231777161359786987e-02
6.604509800672531128e-02,7.104373723268508911e-02
6.346803158521652222e-02,6.734149158000946045e-02
6.264588236808776855e-02,6.615722924470901489e-02
6.117732077836990356e-02,6.401164829730987549e-02
6.068142503499984741e-02,6.327522546052932739e-02
6.013877689838409424e-02,6.248058006167411804e-02
6.008552759885787964e-02,6.241008266806602478e-02
5.951476469635963440e-02,6.155885010957717896e-02
5.924511700868606567e-02,6.115313619375228882e-02
5.932291224598884583e-02,6.126218661665916443e-02
5.919821932911872864e-02,6.106899678707122803e-02
5.922398343682289124e-02,6.115349754691123962e-02
5.903306975960731506e-02,6.082617864012718201e-02
5.902466177940368652e-02,6.081530451774597168e-02
5.895924940705299377e-02,6.084729731082916260e-02
5.904449522495269775e-02,6.076602265238761902e-02
5.905375257134437561e-02,6.096205487847328186e-02
5.878608673810958862e-02,6.053712964057922363e-02
5.870190635323524475e-02,6.035283952951431274e-02
5.891921743750572205e-02,6.079334393143653870e-02
5.889031291007995605e-02,6.074774265289306641e-02
5.860384181141853333e-02,6.032533943653106689e-02
5.867465957999229431e-02,6.046104058623313904e-02
5.857896059751510620e-02,6.013785675168037415e-02
5.848868936300277710e-02,6.016810610890388489e-02
5.851876363158226013e-02,6.020243465900421143e-02
5.867811664938926697e-02,6.052225083112716675e-02
5.851205065846443176e-02,6.026930361986160278e-02
5.854324996471405029e-02,6.023372709751129150e-02
5.849806219339370728e-02,6.020012870430946350e-02
5.904278531670570374e-02,6.072119250893592834e-02
5.890424549579620361e-02,6.052761897444725037e-02
5.895011499524116516e-02,6.019632890820503235e-02
5.874836444854736328e-02,6.031274050474166870e-02
5.890732631087303162e-02,5.996156483888626099e-02
