map_id,execution_chunk,run_index,sensor_seed,diffusion_seed,gained_true_utility,total_true_utility,task_completion,coverage_efficiency,global_final_rmse,global_mean_rmse,global_auc_rmse,occupied_final_rmse,occupied_mean_rmse,occupied_auc_rmse,weighted_final_rmse,weighted_mean_rmse,weighted_auc_rmse,final_total_variance,variance_reduction
996,20,0,996123,996125,65150.0,149942.0,0.4345013405183338,0.0021616982115339987,36.35421371459961,44.84204029083252,8912.277997970581,38.019508361816406,46.89680788040161,9320.659194946289,59.73124694824219,71.05255859375,14121.85273361206,18212.036872319164,7797.963127680836
996,20,1,996124,996126,94276.0,149942.0,0.6287497832495231,0.003128108374375737,20.955078125,38.307041301727295,7613.011093139648,21.91413688659668,40.06200410842896,7961.785981178284,31.60487174987793,59.26313375473023,11778.089325904846,16876.56685748277,9133.433142517231
996,20,2,996125,996127,81773.0,149942.0,0.5453642074935642,0.002713254763649573,25.570432662963867,40.050053205490116,7959.334792137146,26.741470336914062,41.885094451904294,8324.020706176758,37.27040481567383,61.28209503173828,12179.106973648071,17776.848637393432,8233.151362606568
996,20,3,996126,996128,62280.0,149942.0,0.4153606061010257,0.002066470677119531,35.46592712402344,46.59242950439453,9262.859203338623,37.09082794189453,48.72757478713989,9687.338855743408,57.830665588378906,72.81608251571656,14475.622699737549,19249.38859947263,6760.61140052737
996,20,4,996127,996129,77300.0,149942.0,0.5155326726334183,0.002564839167330439,29.59341049194336,45.35914844512939,9019.051553726196,30.948503494262695,47.43774893760681,9432.35313129425,49.080909729003906,71.40725103378296,14198.061435699463,17292.291280374837,8717.708719625163
996,40,0,996123,996125,106336.0,149942.0,0.7091808832748663,0.0035282631008699814,11.53975772857666,37.30425845146179,7417.128858089447,12.064789772033691,39.013053650856016,7756.885708332062,17.500802993774414,58.28286605834961,11589.029448509216,17084.766546741263,8925.233453258737
996,40,1,996124,996126,104680.0,149942.0,0.6981366128236252,0.0034733164817095778,13.662134170532227,40.14275604724884,7983.800514221191,14.286852836608887,41.982228512763974,8349.644504070282,20.99125099182129,60.8878733921051,12108.34406375885,16864.158267595907,9145.841732404093
996,40,2,996125,996127,93510.0,149942.0,0.62364114124128,0.0031026922449814928,15.738357543945312,40.033320064544675,7960.904201507568,16.457094192504883,41.86755531311035,8325.655066490173,22.959270477294922,60.181686601638795,11966.180854797363,16835.331417670834,9174.668582329166
996,40,3,996126,996128,99514.0,149942.0,0.6636832908724707,0.0033019069197635356,12.95339584350586,39.36230800151825,7828.0911684036255,13.543460845947266,41.16542354106903,8186.6822900772095,20.244365692138672,59.50970779418945,11833.140905380249,16805.987409844627,9204.012590155373
996,40,4,996127,996129,87123.0,149942.0,0.5810446706059677,0.0028907695055023267,17.777347564697266,44.81665716171265,8916.46132850647,18.59084129333496,46.87049860954285,9325.081896781921,25.225078582763672,67.80822078704834,13490.18330192566,17829.02522619863,8180.974773801368
996,60,0,996123,996125,81586.0,149942.0,0.5441170585959905,0.0027070500427661217,31.690092086791992,45.21400389671326,8989.002779960632,33.14116287231445,47.285760955810545,9400.888982772827,52.93635940551758,71.36015668869018,14186.76979637146,17940.468437450087,8069.531562549913
996,60,1,996124,996126,84272.0,149942.0,0.5620306518520495,0.002796172397273878,25.048107147216797,43.40123517990112,8629.803354263306,26.195098876953125,45.389976778030395,9025.240034103394,39.849327087402344,68.84337661743164,13690.015670776367,16508.244843897428,9501.755156102572
996,60,2,996125,996127,86771.0,149942.0,0.5786970962105348,0.002879090030898183,20.316198348999023,44.525825090408325,8857.116286277771,21.246196746826172,46.566284799575804,9263.006412506104,30.998294830322266,67.72426218032837,13470.676458358765,17826.276248949503,8183.7237510504965
996,60,3,996126,996128,77972.0,149942.0,0.5200144055701538,0.002587136346120168,40.31698226928711,47.215191173553464,9384.986009597778,42.16461944580078,49.378965530395504,9815.080108642578,59.85770797729492,71.42404821395874,14196.202318191528,18394.818798397748,7615.181201602252
996,60,4,996127,996129,97749.0,149942.0,0.6519120726680984,0.0032433436451149173,14.809333801269531,42.3544513130188,8425.504165649414,15.486190795898438,44.295249361991885,8811.584372520447,21.049285888671875,63.88545121192932,12707.717283248901,17293.087000552077,8716.912999447923
996,80,0,996123,996125,68794.0,149942.0,0.45880407090741754,0.002282607317947351,38.53359603881836,49.037397136688234,9750.259675979614,40.299713134765625,51.2848712348938,10197.131763458252,58.5677604675293,76.07276084899902,15126.474927902222,17801.70308534512,8208.296914654878
996,80,1,996124,996126,82211.0,149942.0,0.5482853369969721,0.0027277877462535925,22.504364013671875,43.52360653877258,8655.54949760437,23.5343017578125,45.51791021347046,9052.157119750977,34.83894729614258,68.6081212234497,13645.46978187561,16778.09907042407,9231.900929575932
996,80,2,996125,996127,62634.0,149942.0,0.4177215189873418,0.0020782165123748348,40.00825119018555,48.58149580001831,9658.404401779175,41.84145736694336,50.80791088104248,10101.03399848938,61.761688232421875,74.64027883529663,14838.498092651367,17891.989124897776,8118.0108751022235
996,80,3,996126,996128,70520.0,149942.0,0.4703151885395686,0.0023398765598983515,41.05712127685547,49.22319402694702,9786.216510772705,42.93860626220703,51.47899343490601,10234.698696136475,61.37562561035156,75.3005267715454,14970.739070892334,19113.23161486269,6896.768385137311
996,80,4,996127,996129,60097.0,149942.0,0.4008016433020768,0.0019940380263784915,41.719722747802734,49.12808525085449,9766.775758743286,43.631465911865234,51.3795754814148,10214.376958847046,64.8816909790039,75.67387554168701,15043.485946655273,17478.475991279956,8531.524008720044
