map_id,execution_chunk,run_index,sensor_seed,diffusion_seed,gained_true_utility,total_true_utility,task_completion,coverage_efficiency,global_final_rmse,global_mean_rmse,global_auc_rmse,occupied_final_rmse,occupied_mean_rmse,occupied_auc_rmse,weighted_final_rmse,weighted_mean_rmse,weighted_auc_rmse,final_total_variance,variance_reduction
996,20,0,996123,996125,94245.0,149942.0,0.6285430366408344,0.0031270797842827586,15.338248252868652,38.24713682174683,7603.805286884308,16.039913177490234,39.99980818748474,7952.249053955078,24.156925201416016,58.13787585258484,11556.703346252441,16445.093711238704,9564.906288761296
996,20,1,996124,996126,102336.0,149942.0,0.6825039015085833,0.003395541798550166,12.830414772033691,40.21005130767822,7997.675426006317,13.415705680847168,42.05257873058319,8364.150121212006,20.03466033935547,60.58009534835816,12047.266750335693,16965.976173258903,9044.023826741097
996,20,2,996125,996127,79370.0,149942.0,0.5293380106974697,0.0026335224412809438,39.82798385620117,44.980319805145264,8938.259336471558,41.653385162353516,47.04190082550049,9347.926023483276,58.73255157470703,67.31291822433472,13374.540538787842,17924.77756713088,8085.222432869119
996,20,3,996126,996128,92071.0,149942.0,0.6140440970508597,0.003054945756471939,15.02695083618164,37.41928011894226,7438.44881439209,15.714025497436523,39.13384949684143,7779.282198905945,23.424434661865234,56.72452677726746,11274.514667510986,16887.208193430302,9122.791806569698
996,20,4,996127,996129,98898.0,149942.0,0.6595750356804632,0.0032814678392062845,14.72248363494873,38.78811071872711,7712.279471874237,15.395103454589844,40.565481967926026,8065.67643737793,22.949548721313477,58.56112390518189,11641.901690483093,17042.14284614916,8967.85715385084
996,40,0,996123,996125,95187.0,149942.0,0.6348254658467941,0.0031583356509790753,15.367281913757324,39.541828546524044,7862.729115009308,16.06972885131836,41.35380225181579,8223.032958984375,24.247655868530273,62.42966073036194,12415.014956474304,18508.111612180473,7501.8883878195265
996,40,1,996124,996126,92627.0,149942.0,0.617752197516373,0.003073394017494393,19.488086700439453,44.03219306945801,8758.774942398071,20.379322052001953,46.049861135482786,9160.124794006348,30.643056869506836,69.31493705749511,13788.93089389801,16668.27926992,9341.72073008
996,40,2,996125,996127,109149.0,149942.0,0.7279414707020048,0.003621599356726392,12.632047653198242,37.10871675491333,7377.536694526672,13.208216667175293,38.80906346797943,7715.581136226654,19.484987258911133,56.91720955848694,11315.022587776184,16537.111151292844,9472.888848707156
996,40,3,996126,996128,100333.0,149942.0,0.6691454028891172,0.003329081606413518,15.458086013793945,43.208888239860535,8596.154870986938,16.16431427001953,45.1888592338562,8990.059001922607,24.05965805053711,68.04135568618774,13537.562837600708,17159.726051025897,8850.273948974103
996,40,4,996127,996129,90397.0,149942.0,0.6028797801816702,0.0029994018914510957,18.10063362121582,45.21052032470703,8995.072318077087,18.928874969482422,47.28247901916504,9407.308961868286,26.065263748168945,68.95205461502076,13718.529974937439,17292.66304929755,8717.33695070245
996,60,0,996123,996125,80782.0,149942.0,0.5387549852609675,0.0026803730609998386,31.787981033325195,41.89770287513733,8325.69363117218,33.24399948120117,43.81794998168945,8707.275369644165,51.519535064697266,65.52809312820435,13021.065496444702,17881.135766802214,8128.864233197786
996,60,1,996124,996126,84266.0,149942.0,0.5619906363794,0.0027959733153203985,31.825008392333984,44.436078481674194,8833.383563995361,33.28294372558594,46.472704277038574,9238.241611480713,47.93834686279297,67.142544631958,13345.804763793945,18597.63263207759,7412.367367922408
996,60,2,996125,996127,100176.0,149942.0,0.6680983313547905,0.003323872295297465,20.085147857666016,40.175348949432376,7987.136583328247,21.003934860229492,42.01651229858398,8353.173043251038,29.414405822753906,60.53091257095337,12032.798480987549,17452.039203976143,8557.960796023857
996,60,3,996126,996128,89370.0,149942.0,0.5960304651131771,0.002965325697080483,29.4848575592041,42.75428586006164,8498.221009254456,30.835636138916016,44.71385547637939,8887.722589492798,43.31953048706055,64.38447179794312,12796.55612373352,18413.61113788814,7596.38886211186
996,60,4,996127,996129,78543.0,149942.0,0.5238225447172907,0.002606082312026322,32.09043502807617,45.605750217437745,9067.1233959198,33.559722900390625,47.695732021331786,9482.644138336182,48.9625358581543,70.46195737838745,14009.061891555786,18129.236466265873,7880.763533734127
996,80,0,996123,996125,99408.0,149942.0,0.6629763508556642,0.003298389805252061,15.37044620513916,39.566189746856686,7867.599772930145,16.07311248779297,41.37929055213928,8228.128927230835,25.409452438354492,62.27656337738037,12383.814587593079,17291.652585934266,8718.347414065734
996,80,1,996124,996126,84934.0,149942.0,0.5664456923343693,0.0028181377728078074,28.96212387084961,41.739612350463865,8295.521780014038,30.28871726989746,43.65258030891418,8675.71393108368,47.79934310913086,65.14099767684937,12945.564874649048,16721.596274342774,9288.403725657226
996,80,2,996125,996127,94138.0,149942.0,0.6278294273785864,0.0031235294894457035,18.21685218811035,41.230392656326295,8199.079472541809,19.05042839050293,43.11988460540771,8574.824257850647,28.289522171020508,64.47413305282593,12822.005019187927,16965.005799220475,9044.994200779525
996,80,3,996126,996128,93759.0,149942.0,0.6253017833562311,0.003110954146050901,18.781856536865234,40.5786789226532,8068.451122283936,19.641202926635742,42.438249588012695,8438.198628425598,29.55231285095215,63.316699962615964,12589.885365486145,17062.92942768683,8947.070572313169
996,80,4,996127,996129,87080.0,149942.0,0.5807578930519801,0.0028893427515023886,25.553226470947266,41.86983534812927,8323.20902633667,26.722667694091797,43.78846988677979,8704.61023902893,43.157894134521484,65.74620973587037,13068.814683914185,16882.920365626254,9127.079634373746
