global_rmse,occupied_rmse
3.841095864772796631e-01,3.841095864772796631e-01
3.694475293159484863e-01,3.694475293159484863e-01
3.648617267608642578e-01,3.648617267608642578e-01
3.608088791370391846e-01,3.608088791370391846e-01
3.585280478000640869e-01,3.585280478000640869e-01
3.553256392478942871e-01,3.553256392478942871e-01
3.542406558990478516e-01,3.542406558990478516e-01
3.532887399196624756e-01,3.532887399196624756e-01
3.513334095478057861e-01,3.513334095478057861e-01
3.513087630271911621e-01,3.513087630271911621e-01
3.508530557155609131e-01,3.508530557155609131e-01
3.498328030109405518e-01,3.498328030109405518e-01
3.491750359535217285e-01,3.491750359535217285e-01
3.480842411518096924e-01,3.480842411518096924e-01
3.469571769237518311e-01,3.469571769237518311e-01
3.460031747817993164e-01,3.460031747817993164e-01
3.424046337604522705e-01,3.424046337604522705e-01
3.398671746253967285e-01,3.398671746253967285e-01
3.368812501430511475e-01,3.368812501430511475e-01
3.364845216274261475e-01,3.364845216274261475e-01
3.348913788795471191e-01,3.348913788795471191e-01
3.321777284145355225e-01,3.321777284145355225e-01
3.320816457271575928e-01,3.320816457271575928e-01
3.299030363559722900e-01,3.299030363559722900e-01
3.286063075065612793e-01,3.286063075065612793e-01
3.253698945045471191e-01,3.253698945045471191e-01
3.239130973815917969e-01,3.239130973815917969e-01
3.219019770622253418e-01,3.219019770622253418e-01
3.196634352207183838e-01,3.196634352207183838e-01
3.189198374748229980e-01,3.189198374748229980e-01
3.176500797271728516e-01,3.176500797271728516e-01
3.160262703895568848e-01,3.160262703895568848e-01
3.144190013408660889e-01,3.144190013408660889e-01
3.116958439350128174e-01,3.116958439350128174e-01
3.115042746067047119e-01,3.115042746067047119e-01
3.109107613563537598e-01,3.109107613563537598e-01
3.081663250923156738e-01,3.081663250923156738e-01
3.076665997505187988e-01,3.076665997505187988e-01
3.058562278747558594e-01,3.058562278747558594e-01
3.050895333290100098e-01,3.050895333290100098e-01
3.043430149555206299e-01,3.043430149555206299e-01
3.043242096900939941e-01,3.043242096900939941e-01
3.044205605983734131e-01,3.044205605983734131e-01
3.033057153224945068e-01,3.033057153224945068e-01
3.023292422294616699e-01,3.023292422294616699e-01
3.019634187221527100e-01,3.019634187221527100e-01
3.009209632873535156e-01,3.009209632873535156e-01
