global_rmse,occupied_rmse,weighted_rmse
6.224361038208007812e+01,6.847694396972656250e+01,1.167741088867187500e+02
6.222437667846679688e+01,6.845549774169921875e+01,1.167592544555664062e+02
6.217699432373046875e+01,6.840335845947265625e+01,1.167177886962890625e+02
6.216146850585937500e+01,6.838599395751953125e+01,1.167046356201171875e+02
6.213470840454101562e+01,6.835643005371093750e+01,1.166806640625000000e+02
6.208705902099609375e+01,6.830385589599609375e+01,1.166338958740234375e+02
6.202788543701171875e+01,6.823872375488281250e+01,1.165727844238281250e+02
6.203413391113281250e+01,6.824565124511718750e+01,1.165793457031250000e+02
6.204122924804687500e+01,6.825357055664062500e+01,1.165872192382812500e+02
6.203284454345703125e+01,6.824436950683593750e+01,1.165787048339843750e+02
6.199973297119140625e+01,6.820782470703125000e+01,1.165468521118164062e+02
6.195153808593750000e+01,6.815470886230468750e+01,1.165023117065429688e+02
6.188683319091796875e+01,6.808352661132812500e+01,1.164384078979492188e+02
6.184993362426757812e+01,6.804287719726562500e+01,1.164027252197265625e+02
6.177666091918945312e+01,6.796224212646484375e+01,1.163270568847656250e+02
6.168078231811523438e+01,6.785682678222656250e+01,1.162146911621093750e+02
6.160839080810546875e+01,6.777724456787109375e+01,1.161257476806640625e+02
6.155337905883789062e+01,6.771674346923828125e+01,1.160569915771484375e+02
6.137139129638671875e+01,6.751660156250000000e+01,1.158130798339843750e+02
6.121295928955078125e+01,6.734234619140625000e+01,1.155963287353515625e+02
6.108816146850585938e+01,6.720508575439453125e+01,1.154260482788085938e+02
6.101437377929687500e+01,6.712393188476562500e+01,1.153311843872070312e+02
6.095882797241210938e+01,6.706282806396484375e+01,1.152539978027343750e+02
6.083244705200195312e+01,6.692381286621093750e+01,1.150771484375000000e+02
6.070360565185546875e+01,6.678206634521484375e+01,1.148948898315429688e+02
6.053742599487304688e+01,6.659923553466796875e+01,1.146482772827148438e+02
6.022969436645507812e+01,6.626068115234375000e+01,1.141762695312500000e+02
6.001200866699218750e+01,6.602118682861328125e+01,1.138335342407226562e+02
5.963941574096679688e+01,6.561126708984375000e+01,1.132257690429687500e+02
5.942148971557617188e+01,6.537152099609375000e+01,1.128639297485351562e+02
5.911149215698242188e+01,6.503047180175781250e+01,1.123415069580078125e+02
5.883781433105468750e+01,6.472937011718750000e+01,1.118792495727539062e+02
5.861914825439453125e+01,6.448880004882812500e+01,1.115074844360351562e+02
5.848348617553710938e+01,6.433955383300781250e+01,1.112738876342773438e+02
5.844854354858398438e+01,6.430110931396484375e+01,1.112128601074218750e+02
5.842554092407226562e+01,6.427580261230468750e+01,1.111743316650390625e+02
5.841423416137695312e+01,6.426335906982421875e+01,1.111536178588867188e+02
5.841136169433593750e+01,6.426019287109375000e+01,1.111489181518554688e+02
5.840800857543945312e+01,6.425652313232421875e+01,1.111460723876953125e+02
5.840281677246093750e+01,6.425081634521484375e+01,1.111394653320312500e+02
5.839398193359375000e+01,6.424109649658203125e+01,1.111259307861328125e+02
5.840445709228515625e+01,6.425263214111328125e+01,1.111425399780273438e+02
5.838877868652343750e+01,6.423538208007812500e+01,1.111186218261718750e+02
5.833300018310546875e+01,6.417401123046875000e+01,1.110312118530273438e+02
5.816555786132812500e+01,6.398980331420898438e+01,1.107655105590820312e+02
5.809406661987304688e+01,6.391114807128906250e+01,1.106544418334960938e+02
5.781435012817382812e+01,6.360342025756835938e+01,1.102193145751953125e+02
