total_variance
2.616497437936801163e+01
2.605120818083740630e+01
2.594095120535551047e+01
2.586561591631905799e+01
2.576377146063840229e+01
2.568859193244901462e+01
2.558675804923764829e+01
2.547727154391797200e+01
2.540157744041655263e+01
2.529963379552487268e+01
2.526817963594559657e+01
2.525102504438227768e+01
2.523974938404971269e+01
2.523159272477524340e+01
2.522533512294095459e+01
2.522033901609524165e+01
2.521623296667625880e+01
2.521278335344278787e+01
2.520983460904010798e+01
2.520727845843639869e+01
2.520503683371524062e+01
2.520305179828771358e+01
2.520127930901065128e+01
2.519968519594093692e+01
2.519824248216809792e+01
2.519692954466868429e+01
2.519572882037930484e+01
2.519462587580505897e+01
2.519360872506418758e+01
2.519266732144315313e+01
2.519179317250033279e+01
2.519097904468043225e+01
2.519021873379942633e+01
2.518950688469381305e+01
2.518883884804012041e+01
2.518821056560931737e+01
2.518761847750972294e+01
2.518705944660323937e+01
2.513541008578021163e+01
2.506857119327519356e+01
2.496837023407270451e+01
2.489362793845917921e+01
2.479186161523351473e+01
2.468236926048723490e+01
2.460665513602697985e+01
2.450470845829860167e+01
2.439519834434783263e+01
2.431948389287677159e+01
2.406844075816419348e+01
2.391879130593444813e+01
2.377311563427726782e+01
2.367299115417586108e+01
2.354080263638611825e+01
2.339757390545977600e+01
2.325329309830115321e+01
2.323237251877925758e+01
2.316801996480274539e+01
2.306617741828770463e+01
2.299127322910564075e+01
2.288946697084094239e+01
2.281409458384699818e+01
2.271222771396061546e+01
2.263683934335688264e+01
2.256374383073174528e+01
2.246430839570995630e+01
2.238907513040722819e+01
2.228726025560673918e+01
2.221199341359300661e+01
2.211051912565412181e+01
2.189758725580432497e+01
2.176050314086190340e+01
2.163974002351078596e+01
2.154341749986134857e+01
2.137874820866409209e+01
2.133115310212032512e+01
2.129371022199211438e+01
2.125027901560673982e+01
2.113967389028236710e+01
2.103576174797845511e+01
2.096581728925007582e+01
2.087190919154831548e+01
2.080451266618060657e+01
2.074509253126464614e+01
2.068279030650590045e+01
2.061730276491750757e+01
2.054799870986438748e+01
2.047478860756635299e+01
2.039777699962825963e+01
2.026894933855691150e+01
2.016369339267592409e+01
1.999738280837883764e+01
1.986943031916198166e+01
1.974713658391677384e+01
1.957093720350060906e+01
1.943013348623097869e+01
1.929734886159276641e+01
1.911923775648213919e+01
1.896844106270532393e+01
1.883097729774799234e+01
1.869743669160103394e+01
1.856548919029317446e+01
1.843426369647544405e+01
1.830336145694546701e+01
1.826035034797013878e+01
1.817932860839274412e+01
1.809972494327410786e+01
1.800280462449731544e+01
1.789413457550284647e+01
1.787994767609396973e+01
1.785050470615387042e+01
1.778426884012991138e+01
1.766520755711316326e+01
1.755464499469656303e+01
1.741984963720442892e+01
1.731247931784988481e+01
1.716450955740075202e+01
1.699618501570003914e+01
1.687792378076292010e+01
1.673033455529425950e+01
1.658333176728146441e+01
1.645279750857529422e+01
1.640809932740405230e+01
1.634265197711774675e+01
1.631730301316619602e+01
1.625972931777926078e+01
1.617289689993355495e+01
1.614354213477120936e+01
1.610828707293576656e+01
1.601063182278767982e+01
1.588076276381502794e+01
1.574172139089709610e+01
1.564874357527612325e+01
1.552010327804716638e+01
1.538180464926809243e+01
1.528570945983715745e+01
1.525851087012552654e+01
1.520498981767665470e+01
1.513857217864007509e+01
1.494651858443518400e+01
1.484396639296615916e+01
1.473004517574975836e+01
1.463678451656750212e+01
1.454688069910941195e+01
1.445795876196377883e+01
1.436926850639359721e+01
1.428045209139731142e+01
1.419139175097924976e+01
1.408466693833129746e+01
1.399409741099987059e+01
1.390517083303757673e+01
