global_rmse,occupied_rmse,weighted_rmse
1.043592834472656250e+02,1.062977523803710938e+02,1.549409942626953125e+02
1.041459503173828125e+02,1.060804595947265625e+02,1.546942443847656250e+02
1.037237243652343750e+02,1.056503982543945312e+02,1.541764678955078125e+02
1.035702972412109375e+02,1.054941177368164062e+02,1.539910125732421875e+02
1.035197067260742188e+02,1.054425811767578125e+02,1.539304351806640625e+02
1.034777832031250000e+02,1.053998870849609375e+02,1.538788452148437500e+02
1.034147720336914062e+02,1.053357009887695312e+02,1.537970123291015625e+02
1.032858276367187500e+02,1.052043685913085938e+02,1.536245880126953125e+02
1.029862670898437500e+02,1.048992462158203125e+02,1.532115478515625000e+02
1.026388626098632812e+02,1.045453872680664062e+02,1.527112121582031250e+02
1.020904312133789062e+02,1.039867630004882812e+02,1.518898620605468750e+02
1.015075607299804688e+02,1.033930587768554688e+02,1.509924468994140625e+02
1.007744140625000000e+02,1.026463012695312500e+02,1.498286743164062500e+02
1.000736389160156250e+02,1.019325103759765625e+02,1.486828765869140625e+02
9.927683258056640625e+01,1.011208953857421875e+02,1.473576049804687500e+02
9.839398956298828125e+01,1.002216567993164062e+02,1.458627014160156250e+02
9.765619659423828125e+01,9.947016143798828125e+01,1.445983276367187500e+02
9.689624023437500000e+01,9.869609069824218750e+01,1.432961273193359375e+02
9.607028961181640625e+01,9.785479736328125000e+01,1.418757324218750000e+02
9.532917022705078125e+01,9.709991455078125000e+01,1.406051330566406250e+02
9.462317657470703125e+01,9.638079833984375000e+01,1.394121856689453125e+02
9.400158691406250000e+01,9.574766540527343750e+01,1.383678741455078125e+02
9.342966461181640625e+01,9.516510772705078125e+01,1.374319458007812500e+02
9.288157653808593750e+01,9.460684204101562500e+01,1.365499877929687500e+02
9.246592712402343750e+01,9.418346405029296875e+01,1.359019775390625000e+02
9.211423492431640625e+01,9.382523345947265625e+01,1.353732452392578125e+02
9.186871337890625000e+01,9.357512664794921875e+01,1.350219573974609375e+02
9.167527770996093750e+01,9.337808227539062500e+01,1.347515106201171875e+02
9.154172515869140625e+01,9.324202728271484375e+01,1.345752868652343750e+02
9.142223358154296875e+01,9.312028503417968750e+01,1.344182891845703125e+02
9.139180755615234375e+01,9.308929443359375000e+01,1.343753967285156250e+02
9.134283447265625000e+01,9.303936004638671875e+01,1.343204498291015625e+02
9.132315063476562500e+01,9.301925659179687500e+01,1.342991790771484375e+02
9.131013488769531250e+01,9.300593566894531250e+01,1.342867279052734375e+02
9.129817199707031250e+01,9.299374389648437500e+01,1.342737884521484375e+02
9.129205322265625000e+01,9.298751831054687500e+01,1.342682189941406250e+02
9.128915405273437500e+01,9.298456573486328125e+01,1.342656097412109375e+02
9.128652191162109375e+01,9.298190307617187500e+01,1.342632904052734375e+02
9.128705596923828125e+01,9.298249053955078125e+01,1.342636413574218750e+02
9.128717041015625000e+01,9.298248291015625000e+01,1.342637329101562500e+02
9.128884887695312500e+01,9.298434448242187500e+01,1.342647094726562500e+02
9.128662109375000000e+01,9.298195648193359375e+01,1.342634124755859375e+02
9.128504943847656250e+01,9.298032379150390625e+01,1.342624053955078125e+02
9.128478240966796875e+01,9.298012542724609375e+01,1.342623596191406250e+02
9.128475952148437500e+01,9.298021697998046875e+01,1.342623901367187500e+02
9.128641510009765625e+01,9.298191070556640625e+01,1.342630462646484375e+02
9.128671264648437500e+01,9.298223876953125000e+01,1.342633209228515625e+02
9.128725433349609375e+01,9.298271179199218750e+01,1.342635803222656250e+02
9.128699493408203125e+01,9.298242187500000000e+01,1.342634735107421875e+02
9.128716278076171875e+01,9.298260498046875000e+01,1.342635040283203125e+02
9.128749847412109375e+01,9.298285675048828125e+01,1.342635040283203125e+02
9.128823852539062500e+01,9.298345947265625000e+01,1.342635345458984375e+02
9.128889465332031250e+01,9.298421478271484375e+01,1.342639160156250000e+02
9.128787994384765625e+01,9.298320007324218750e+01,1.342635803222656250e+02
9.128742218017578125e+01,9.298273468017578125e+01,1.342634887695312500e+02
9.128771972656250000e+01,9.298305511474609375e+01,1.342636871337890625e+02
9.128464508056640625e+01,9.297989654541015625e+01,1.342620391845703125e+02
9.128729248046875000e+01,9.298261260986328125e+01,1.342634124755859375e+02
9.128972625732421875e+01,9.298511505126953125e+01,1.342644653320312500e+02
9.129033660888671875e+01,9.298572540283203125e+01,1.342644042968750000e+02
9.128827667236328125e+01,9.298361968994140625e+01,1.342635192871093750e+02
9.127749633789062500e+01,9.297265625000000000e+01,1.342556152343750000e+02
9.126922607421875000e+01,9.296422576904296875e+01,1.342492370605468750e+02
9.126305389404296875e+01,9.295794677734375000e+01,1.342443084716796875e+02
9.127925109863281250e+01,9.297444152832031250e+01,1.342588653564453125e+02
9.125936126708984375e+01,9.295417785644531250e+01,1.342395782470703125e+02
9.125598144531250000e+01,9.295074462890625000e+01,1.342350616455078125e+02
9.124020385742187500e+01,9.293466186523437500e+01,1.342180480957031250e+02
9.120613098144531250e+01,9.289996337890625000e+01,1.341770477294921875e+02
9.116637420654296875e+01,9.285946655273437500e+01,1.341265258789062500e+02
9.109132385253906250e+01,9.278303527832031250e+01,1.340280151367187500e+02
9.098996734619140625e+01,9.267979431152343750e+01,1.338910980224609375e+02
9.085292053222656250e+01,9.254019927978515625e+01,1.336871032714843750e+02
9.064726257324218750e+01,9.233072662353515625e+01,1.333707427978515625e+02
9.034560394287109375e+01,9.202346038818359375e+01,1.328797912597656250e+02
8.993383026123046875e+01,9.160404205322265625e+01,1.321878814697265625e+02
8.946070098876953125e+01,9.112212371826171875e+01,1.313591461181640625e+02
8.890000152587890625e+01,9.055100250244140625e+01,1.303547058105468750e+02
8.832595062255859375e+01,8.996629333496093750e+01,1.292968597412109375e+02
8.772040557861328125e+01,8.934950256347656250e+01,1.281674804687500000e+02
8.706585693359375000e+01,8.868278503417968750e+01,1.269292907714843750e+02
8.648052215576171875e+01,8.808657836914062500e+01,1.258190002441406250e+02
8.595689392089843750e+01,8.755321502685546875e+01,1.248277664184570312e+02
8.536221313476562500e+01,8.694750213623046875e+01,1.237144393920898438e+02
8.480200958251953125e+01,8.637687683105468750e+01,1.226811370849609375e+02
8.428989410400390625e+01,8.585524749755859375e+01,1.217568740844726562e+02
8.393248748779296875e+01,8.549120330810546875e+01,1.211348724365234375e+02
8.359075927734375000e+01,8.514312744140625000e+01,1.205579376220703125e+02
8.332756805419921875e+01,8.487503814697265625e+01,1.201336746215820312e+02
8.309752655029296875e+01,8.464073181152343750e+01,1.197739639282226562e+02
8.291964721679687500e+01,8.445954895019531250e+01,1.195082702636718750e+02
8.276279449462890625e+01,8.429977416992187500e+01,1.192889862060546875e+02
8.268372344970703125e+01,8.421923065185546875e+01,1.191831893920898438e+02
8.264007568359375000e+01,8.417478179931640625e+01,1.191269302368164062e+02
8.262111663818359375e+01,8.415546417236328125e+01,1.191011199951171875e+02
8.259145355224609375e+01,8.412525177001953125e+01,1.190658416748046875e+02
8.258708953857421875e+01,8.412081146240234375e+01,1.190602951049804688e+02
8.258296966552734375e+01,8.411661529541015625e+01,1.190558929443359375e+02
8.258588409423828125e+01,8.411957550048828125e+01,1.190591583251953125e+02
8.259498596191406250e+01,8.412885284423828125e+01,1.190684127807617188e+02
8.258802795410156250e+01,8.412176513671875000e+01,1.190609817504882812e+02
8.256935882568359375e+01,8.410274505615234375e+01,1.190410919189453125e+02
8.258036041259765625e+01,8.411396026611328125e+01,1.190517959594726562e+02
8.257366180419921875e+01,8.410712432861328125e+01,1.190442581176757812e+02
8.253537750244140625e+01,8.406813049316406250e+01,1.190009078979492188e+02
8.249631500244140625e+01,8.402835083007812500e+01,1.189539108276367188e+02
8.241924285888671875e+01,8.394985198974609375e+01,1.188567276000976562e+02
8.231423187255859375e+01,8.384287261962890625e+01,1.187110900878906250e+02
8.216046905517578125e+01,8.368626403808593750e+01,1.184929275512695312e+02
8.202277374267578125e+01,8.354600524902343750e+01,1.182837142944335938e+02
8.182640075683593750e+01,8.334598541259765625e+01,1.179726028442382812e+02
8.160000610351562500e+01,8.311537933349609375e+01,1.176045608520507812e+02
8.130613708496093750e+01,8.281605529785156250e+01,1.171069488525390625e+02
8.092459106445312500e+01,8.242742156982421875e+01,1.164483871459960938e+02
8.050820922851562500e+01,8.200330352783203125e+01,1.157142868041992188e+02
8.004928588867187500e+01,8.153585815429687500e+01,1.148919906616210938e+02
7.946153259277343750e+01,8.093717956542968750e+01,1.138389434814453125e+02
7.897003173828125000e+01,8.043654632568359375e+01,1.129648895263671875e+02
7.849774932861328125e+01,7.995549011230468750e+01,1.121325302124023438e+02
7.803608703613281250e+01,7.948525238037109375e+01,1.113354034423828125e+02
7.763516998291015625e+01,7.907688140869140625e+01,1.106598587036132812e+02
7.728824615478515625e+01,7.872351837158203125e+01,1.100951690673828125e+02
7.698400115966796875e+01,7.841361236572265625e+01,1.096124191284179688e+02
7.673908996582031250e+01,7.816415405273437500e+01,1.092429809570312500e+02
7.652472686767578125e+01,7.794580841064453125e+01,1.089326171875000000e+02
7.641741943359375000e+01,7.783650970458984375e+01,1.087851867675781250e+02
7.628541564941406250e+01,7.770204925537109375e+01,1.086125793457031250e+02
7.618026733398437500e+01,7.759494781494140625e+01,1.084822387695312500e+02
7.615655517578125000e+01,7.757079315185546875e+01,1.084523010253906250e+02
