map_id,diffusion_k2_weighted_auc_rmse,imitation_weighted_auc_rmse,classic_weighted_auc_rmse
101,20728.4976997375,30676.3120536804,25806.1004066467
102,9209.7083215714,11371.8592185974,10440.0012254715
103,13785.1607360840,17219.6277160645,13882.2025594711
104,33822.1552829742,34453.4628868103,28784.3646736145
105,25438.2261047363,22486.7761459351,22089.4595413208
