map_id,diffusion_weighted_auc_rmse,imitation_weighted_auc_rmse,classic_weighted_auc_rmse
101,31953.7187805176,30676.3120536804,25806.1004066467
102,7761.7355523109,11371.8592185974,10440.0012254715
103,11996.9488744736,17219.6277160645,13882.2025594711
104,23995.5701828003,34453.4628868103,28784.3646736145
105,19956.3362998962,22486.7761459351,22089.4595413208
