map_id,diffusion_weighted_auc_rmse,imitation_weighted_auc_rmse,diffusion_task_completion,imitation_task_completion
101,31953.7187805176,30676.3120536804,0.5646970868,0.6350991982
102,7761.7355523109,11371.8592185974,0.7330856433,0.5536071944
103,11996.9488744736,17219.6277160645,0.6748518966,0.4704942107
104,23995.5701828003,34453.4628868103,0.4976692197,0.4627776887
105,19956.3362998962,22486.7761459351,0.4797959728,0.5208629909
