map_id,diffusion_multimodal_weighted_auc_rmse,imitation_weighted_auc_rmse,classic_weighted_auc_rmse
101,30250.4706878662,30676.3120536804,25806.1004066467
102,9416.1487941742,11371.8592185974,10440.0012254715
103,17077.8956737518,17219.6277160645,13882.2025594711
104,26098.0231246948,34453.4628868103,28784.3646736145
105,29928.0247955322,22486.7761459351,22089.4595413208
