map_id,diffusion_multimodal_01_60_weighted_auc_rmse,imitation_weighted_auc_rmse,classic_weighted_auc_rmse
101,26772.6760864258,30676.3120536804,25806.1004066467
102,10510.4021158218,11371.8592185974,10440.0012254715
103,15646.2267589569,17219.6277160645,13882.2025594711
104,31538.2588539124,34453.4628868103,28784.3646736145
105,27089.4519653320,22486.7761459351,22089.4595413208
