map_id,run_index,sensor_seed,diffusion_seed,gained_true_utility,total_true_utility,task_completion,coverage_efficiency,global_final_rmse,global_mean_rmse,global_auc_rmse,occupied_final_rmse,occupied_mean_rmse,occupied_auc_rmse,weighted_final_rmse,weighted_mean_rmse,weighted_auc_rmse,final_total_variance,variance_reduction
101,0,224,101125,139577.0,199298.0,0.7003432046483156,0.0034842945504891323,17.5977725982666,60.18537086486816,11965.643389701843,20.492509841918945,70.1027377986908,13937.346386909485,32.193519592285156,117.88950780868531,23440.19078063965,17793.79528522439,8216.20471477561
101,1,224,101126,141379.0,199298.0,0.7093849411434133,0.003529278314146335,18.03801727294922,63.74309171676636,12676.96743774414,21.0060977935791,74.24702166557312,14765.94636631012,32.68486404418945,125.72154024124146,25006.351594924927,17948.136706174133,8061.863293825867
101,2,224,101127,122032.0,199298.0,0.6123092053106404,0.003046314454281793,33.9788932800293,62.12947072982788,12346.272802352905,39.576744079589844,72.36806676864624,14380.870063781738,65.85488891601562,121.6459432220459,24174.647178649902,17061.520048140243,8948.479951859757
101,3,224,101128,129516.0,199298.0,0.6498610121526558,0.003233139363943561,24.395841598510742,65.56499410629273,13038.169003486633,28.408939361572266,76.36822080612183,15186.484773635864,43.778934478759766,129.0118222618103,25658.86096382141,17977.738361792693,8032.2616382073065
101,4,224,101129,124188.0,199298.0,0.6231271763891258,0.003100135205916049,26.53510856628418,64.68590344429016,12861.281237602234,30.90383529663086,75.34513180732728,14980.619525909424,50.72777557373047,127.50320812225341,25353.66371536255,17828.48219418896,8181.51780581104
102,0,225,102125,61853.0,99856.0,0.6194219676333921,0.0030817013315094133,15.020812034606934,24.344118132591248,4829.485835552216,17.39664077758789,28.203842573165893,5595.188919067383,26.732995986938477,44.733383655548096,8874.201678276062,18018.050635446183,7991.949364553817
102,1,225,102126,67095.0,99856.0,0.6719175612882551,0.00334287343924505,10.235950469970703,26.69270971775055,5301.596583366394,11.850961685180664,30.925875005722045,6142.368245124817,17.465662002563477,49.9365891456604,9919.47644329071,19769.337623191735,6240.6623768082645
102,2,225,102127,65632.0,99856.0,0.6572664637077391,0.003269982406506165,9.75618839263916,24.079817929267882,4779.258106708527,11.296125411987305,27.89787603378296,5537.045868873596,15.804827690124512,44.35338565349579,8803.666162014008,19998.2080149634,6011.791985036602
102,3,225,102128,64020.0,99856.0,0.6411232174331036,0.003189667748423401,11.050118446350098,24.883128576278686,4939.273271083832,12.790102005004883,28.826960611343384,5722.115796089172,19.944128036499023,46.53527145385742,9237.973671913147,17749.489725977262,8260.510274022738
102,4,225,102129,50856.0,99856.0,0.5092933824707578,0.0025337979227400887,20.9946346282959,29.328565969467164,5823.388491630554,24.322755813598633,33.981300344467165,6747.217415809631,38.04042053222656,54.67872793197632,10857.616821289062,20557.644454667625,5452.355545332375
103,0,226,103125,97876.0,200198.0,0.48889599296696273,0.0024323183729699637,60.18882369995117,69.66185020446777,13852.402967453003,61.30632781982422,70.955594291687,14109.666648864746,87.15409851074219,100.69531108856201,20021.66326904297,18669.12478103224,7340.875218967762
103,1,226,103126,101789.0,200198.0,0.5084416427736541,0.0025295604118092244,40.86099624633789,67.51297500610352,13432.291841506958,41.6191520690918,68.76671056747436,13681.733491897583,57.94466781616211,97.64224704742432,19425.65517616272,17635.557825782376,8374.442174217624
103,2,226,103127,113133.0,200198.0,0.5651055455099452,0.002811470375671369,25.826210021972656,61.76519033432007,12290.252300262451,26.304244995117188,62.91192803382874,12518.434438705444,35.04951858520508,87.78058208465576,17464.769758224487,17212.54574235926,8797.45425764074
103,3,226,103128,90415.0,200198.0,0.4516278883904934,0.002246904917365639,50.59790802001953,69.987487449646,13922.325874328613,51.536434173583984,71.28701030731202,14180.834798812866,73.19781494140625,101.36900516510009,20163.380226135254,17396.57524841862,8613.42475158138
103,4,226,103129,115487.0,200198.0,0.576863904734313,0.00286996967529509,28.903417587280273,59.06126046180725,11747.927721977234,29.439510345458984,60.15794333457947,11966.06986618042,38.90387725830078,84.23483264923095,16753.69269180298,16846.315375233455,9163.684624766545
104,0,227,104125,47104.0,199504.0,0.23610554174352394,0.001174654436534945,92.8218002319336,98.00177021026612,19494.322666168213,104.22418212890625,110.0405481338501,21889.053100585938,168.4356689453125,176.22460289001464,35056.700523376465,19189.2699336434,6820.730066356598
104,1,227,104126,29435.0,199504.0,0.1475409014355602,0.0007340343355002995,103.96044921875,107.36945022583008,21362.289344787598,116.731201171875,120.55896934509278,23986.48383331299,185.97462463378906,191.22461395263673,38047.93325805664,20844.0377254099,5165.9622745901
104,2,227,104127,80202.0,199504.0,0.4020069773037132,0.002000034712953797,77.00048828125,95.62886596679688,19027.652473449707,86.45904541015625,107.37604503631592,21365.035049438477,145.41595458984375,174.11398712158203,34646.087226867676,17700.567666049934,8309.432333950066
104,3,227,104128,111050.0,199504.0,0.5566304434998797,0.0027693056890541277,25.135683059692383,85.03193070411682,16934.197823524475,28.217082977294922,95.47605111122131,19014.157245635986,43.90816879272461,153.44494480133056,30563.032655715942,16627.142657230812,9382.857342769188
104,4,227,104129,109024.0,199504.0,0.5464752586414308,0.0027187823813006507,25.616085052490234,75.51088891983032,15029.749265670776,28.76067543029785,84.78637994766235,16875.951216697693,42.20215606689453,135.70161087036132,27015.21887588501,17278.028518351995,8731.971481648005
105,0,228,105125,45805.0,198797.0,0.23041092169398936,0.0011463229935024346,91.86612701416016,97.62768013000488,19425.904373168945,96.33980560302734,102.38218555450439,20371.953144073486,147.91017150878906,155.58134033203126,30958.689613342285,20298.579608828208,5711.420391171792
105,1,228,105126,53559.0,198797.0,0.26941553443965455,0.0013403757932321121,85.53917694091797,91.84976642608643,18273.485107421875,89.70451354980469,96.32285011291503,19163.403701782227,137.8614044189453,146.4114525604248,29129.736442565918,19657.506641956432,6352.493358043568
105,2,228,105127,102868.0,198797.0,0.5174524766470319,0.0025743904310797606,51.910614013671875,72.65443122863769,14451.232349395752,54.4376106262207,76.1923903465271,15154.94519996643,76.28056335449219,110.8502825164795,22048.292854309082,17812.997018539405,8197.002981460595
105,3,228,105128,71145.0,198797.0,0.35787763396831945,0.0017804857411359177,58.7456169128418,77.50313451766968,15417.555505752563,61.60515594482422,81.2773292350769,16168.34920501709,89.51966094970703,119.96885055541992,23865.38691329956,16294.929946309945,9715.070053690055
105,4,228,105129,91689.0,198797.0,0.46121923369064927,0.0022946230531873096,55.48988723754883,79.03316194534301,15725.188856124878,58.191932678222656,82.88212688446045,16491.0153465271,83.80667114257812,122.81518562316894,24437.51042175293,17419.753904941568,8590.246095058432
