map_id,run_index,sensor_seed,diffusion_seed,gained_true_utility,total_true_utility,task_completion,coverage_efficiency,global_final_rmse,global_mean_rmse,global_auc_rmse,occupied_final_rmse,occupied_mean_rmse,occupied_auc_rmse,weighted_final_rmse,weighted_mean_rmse,weighted_auc_rmse,final_total_variance,variance_reduction
101,0,224,101125,150693.0,199298.0,0.7561189776114161,0.0037617859582657516,14.763692855834961,46.40541620254517,9211.06949710846,17.186330795288086,54.04952809333801,10728.357535362244,26.335752487182617,86.87061499595642,17239.341101646423,18817.90247295355,7192.097527046451
101,1,224,101126,137970.0,199298.0,0.6922799024576263,0.0034441786191921706,20.385522842407227,47.67356555938721,9461.888453483582,23.74241065979004,55.52917115211487,11021.008107185364,39.05547332763672,88.82470499038696,17623.799240112305,19509.08428907943,6500.91571092057
101,2,224,101127,151056.0,199298.0,0.757940370701161,0.003770847615428662,19.342357635498047,52.14221737861633,10356.140399932861,22.521678924560547,60.73288194656372,12062.360631942749,33.17702865600586,99.33345916748047,19728.48929786682,18659.646199108138,7350.353800891862
101,3,224,101128,132273.0,199298.0,0.6636945679334464,0.0033019630245445094,22.391681671142578,53.34779770851135,10595.731803894043,26.076377868652344,62.13775339126587,12341.557571411133,42.525718688964844,101.14582647323608,20086.288414001465,19176.466674127212,6833.533325872788
101,4,224,101129,119995.0,199298.0,0.6020883300384349,0.002995464328549427,31.845083236694336,53.25402316093445,10572.250193595886,37.089603424072266,62.02872394561768,12314.245069503784,60.205440521240234,100.81771833419799,20011.82692527771,18856.586045773685,7153.413954226315
102,0,225,102125,58229.0,99856.0,0.58312970677776,0.002901142819789851,22.952566146850586,39.26132157325745,7808.9606466293335,26.59177017211914,45.49365044593811,9048.55292892456,45.112518310546875,75.83774671554565,15085.88452911377,19242.55812190525,6767.441878094749
102,1,225,102126,65130.0,99856.0,0.6522392244832559,0.00324497126608585,18.946474075317383,31.062852258682252,6171.269829750061,21.947343826293945,35.99300975799561,7150.747004508972,36.37284851074219,58.4864782333374,11620.000667572021,17865.306118219265,8144.693881780735
102,2,225,102127,62047.0,99856.0,0.6213647652619773,0.0030913669913531206,21.210275650024414,31.84973720550537,6327.5149183273315,24.56673812866211,36.902725820541384,7331.380519866943,40.382904052734375,59.95939464569092,11912.578922271729,18228.33455032372,7781.6654496762785
102,3,225,102128,65036.0,99856.0,0.6512978689312611,0.003240287905130652,15.954900741577148,28.83837010383606,5727.869185447693,18.478551864624023,33.41403167724609,6636.685784339905,30.787044525146484,54.31902247428894,10789.302417755127,18192.79122507675,7817.208774923249
102,4,225,102129,61708.0,99856.0,0.6179698766223362,0.0030744769981210754,14.374815940856934,29.40957492351532,5842.900191783905,16.64365577697754,34.07508734703064,6769.814366340637,25.92223358154297,54.9788318157196,10923.696691513062,18770.86072176951,7239.13927823049
