global_rmse,occupied_rmse,weighted_rmse
7.596286010742187500e+01,7.944480895996093750e+01,1.176966323852539062e+02
7.202624511718750000e+01,7.532775115966796875e+01,1.103529739379882812e+02
6.959629058837890625e+01,7.278641510009765625e+01,1.059573898315429688e+02
6.786781311035156250e+01,7.097870635986328125e+01,1.029845428466796875e+02
6.652423858642578125e+01,6.957354736328125000e+01,1.007875671386718750e+02
6.547836303710937500e+01,6.847972106933593750e+01,9.916600799560546875e+01
6.483317565917968750e+01,6.780496978759765625e+01,9.820695495605468750e+01
6.399525451660156250e+01,6.692863464355468750e+01,9.699076843261718750e+01
6.321800231933593750e+01,6.611575317382812500e+01,9.585072326660156250e+01
6.214645004272460938e+01,6.499508666992187500e+01,9.429627990722656250e+01
6.101401519775390625e+01,6.381073379516601562e+01,9.267491149902343750e+01
5.991175079345703125e+01,6.265793991088867188e+01,9.110865783691406250e+01
5.888783645629882812e+01,6.158708953857421875e+01,8.966970825195312500e+01
5.789070892333984375e+01,6.054425430297851562e+01,8.826149749755859375e+01
5.703310394287109375e+01,5.964733886718750000e+01,8.705816650390625000e+01
5.614239120483398438e+01,5.871579742431640625e+01,8.578780364990234375e+01
5.532211685180664062e+01,5.785791397094726562e+01,8.461922454833984375e+01
5.449208068847656250e+01,5.698983001708984375e+01,8.340380859375000000e+01
5.379147338867187500e+01,5.625710678100585938e+01,8.238313293457031250e+01
5.325594329833984375e+01,5.569702911376953125e+01,8.161370849609375000e+01
5.286038589477539062e+01,5.528334426879882812e+01,8.106861114501953125e+01
5.257776641845703125e+01,5.498777008056640625e+01,8.069516754150390625e+01
5.232726287841796875e+01,5.472578048706054688e+01,8.036800384521484375e+01
5.217973327636718750e+01,5.457149124145507812e+01,8.018650817871093750e+01
5.201294708251953125e+01,5.439705657958984375e+01,7.998606109619140625e+01
5.187852859497070312e+01,5.425648117065429688e+01,7.983037567138671875e+01
5.175142288208007812e+01,5.412354278564453125e+01,7.967883300781250000e+01
5.161507034301757812e+01,5.398094177246093750e+01,7.952130889892578125e+01
5.147047424316406250e+01,5.382971572875976562e+01,7.934173583984375000e+01
5.136268234252929688e+01,5.371697998046875000e+01,7.921115875244140625e+01
5.126820373535156250e+01,5.361817169189453125e+01,7.909177398681640625e+01
5.121494293212890625e+01,5.356246948242187500e+01,7.901553344726562500e+01
5.108140945434570312e+01,5.342280960083007812e+01,7.881197357177734375e+01
5.095106506347656250e+01,5.328649520874023438e+01,7.860612487792968750e+01
5.085765457153320312e+01,5.318880081176757812e+01,7.844685363769531250e+01
5.077495193481445312e+01,5.310230636596679688e+01,7.830119323730468750e+01
5.072690963745117188e+01,5.305206298828125000e+01,7.821517944335937500e+01
5.070864105224609375e+01,5.303295898437500000e+01,7.818096160888671875e+01
5.068006515502929688e+01,5.300307083129882812e+01,7.812536621093750000e+01
5.066159820556640625e+01,5.298376083374023438e+01,7.808779907226562500e+01
5.065346908569335938e+01,5.297525405883789062e+01,7.806863403320312500e+01
5.065237426757812500e+01,5.297411346435546875e+01,7.806607055664062500e+01
5.065294265747070312e+01,5.297470855712890625e+01,7.806494140625000000e+01
5.065249252319335938e+01,5.297423934936523438e+01,7.806271362304687500e+01
5.064818954467773438e+01,5.296973800659179688e+01,7.805593872070312500e+01
5.064434432983398438e+01,5.296571350097656250e+01,7.804886627197265625e+01
5.062619400024414062e+01,5.294673538208007812e+01,7.802870178222656250e+01
5.057914733886718750e+01,5.289752960205078125e+01,7.797933197021484375e+01
5.046227645874023438e+01,5.277529525756835938e+01,7.785948181152343750e+01
5.033754348754882812e+01,5.264484024047851562e+01,7.773767089843750000e+01
5.021347427368164062e+01,5.251506805419921875e+01,7.761595153808593750e+01
5.010460662841796875e+01,5.240119552612304688e+01,7.751465606689453125e+01
5.001016235351562500e+01,5.230240249633789062e+01,7.742965698242187500e+01
4.994833374023437500e+01,5.223771286010742188e+01,7.737709045410156250e+01
4.991204452514648438e+01,5.219974136352539062e+01,7.734640502929687500e+01
4.988884735107421875e+01,5.217545700073242188e+01,7.732866668701171875e+01
4.985631561279296875e+01,5.214141082763671875e+01,7.730197906494140625e+01
4.981230163574218750e+01,5.209535598754882812e+01,7.726360321044921875e+01
4.972270584106445312e+01,5.200160980224609375e+01,7.718051147460937500e+01
4.962485885620117188e+01,5.189921188354492188e+01,7.708821868896484375e+01
4.956306838989257812e+01,5.183456420898437500e+01,7.702543640136718750e+01
4.949848175048828125e+01,5.176696777343750000e+01,7.696140289306640625e+01
4.943759918212890625e+01,5.170324707031250000e+01,7.689873504638671875e+01
4.942958068847656250e+01,5.169482803344726562e+01,7.688993835449218750e+01
4.942221069335937500e+01,5.168710327148437500e+01,7.688238525390625000e+01
4.941975402832031250e+01,5.168457031250000000e+01,7.688010406494140625e+01
4.941744232177734375e+01,5.168219375610351562e+01,7.687731170654296875e+01
4.941476821899414062e+01,5.167940902709960938e+01,7.687425231933593750e+01
4.941535949707031250e+01,5.168003463745117188e+01,7.687496185302734375e+01
4.941580200195312500e+01,5.168049621582031250e+01,7.687528228759765625e+01
4.941796875000000000e+01,5.168275833129882812e+01,7.687747955322265625e+01
4.941882324218750000e+01,5.168369293212890625e+01,7.687834930419921875e+01
4.942245864868164062e+01,5.168738555908203125e+01,7.688124084472656250e+01
4.941986846923828125e+01,5.168471145629882812e+01,7.687904357910156250e+01
4.941630172729492188e+01,5.168094635009765625e+01,7.687567901611328125e+01
4.941416931152343750e+01,5.167876815795898438e+01,7.687387847900390625e+01
4.941374206542968750e+01,5.167835617065429688e+01,7.687367248535156250e+01
4.941552352905273438e+01,5.168021392822265625e+01,7.687448883056640625e+01
4.941304397583007812e+01,5.167762374877929688e+01,7.687258911132812500e+01
4.940824890136718750e+01,5.167261123657226562e+01,7.686842346191406250e+01
4.941086578369140625e+01,5.167534637451171875e+01,7.687099456787109375e+01
4.940965652465820312e+01,5.167408752441406250e+01,7.686933135986328125e+01
4.940644836425781250e+01,5.167073059082031250e+01,7.686637878417968750e+01
4.938286972045898438e+01,5.164605331420898438e+01,7.684295654296875000e+01
4.935190582275390625e+01,5.161366653442382812e+01,7.680834197998046875e+01
4.926437759399414062e+01,5.152210235595703125e+01,7.670906829833984375e+01
4.923017883300781250e+01,5.148633193969726562e+01,7.666818237304687500e+01
4.916680145263671875e+01,5.142000961303710938e+01,7.659307098388671875e+01
4.915518188476562500e+01,5.140787124633789062e+01,7.657809448242187500e+01
