global_rmse,occupied_rmse,weighted_rmse
1.115414505004882812e+02,1.258863449096679688e+02,1.958664703369140625e+02
1.052462692260742188e+02,1.187815551757812500e+02,1.833459777832031250e+02
1.014947814941406250e+02,1.145475997924804688e+02,1.758972015380859375e+02
9.901923370361328125e+01,1.117536773681640625e+02,1.710516204833984375e+02
9.720967102050781250e+01,1.097113952636718750e+02,1.674921264648437500e+02
9.589802551269531250e+01,1.082310562133789062e+02,1.650305023193359375e+02
9.499715423583984375e+01,1.072143249511718750e+02,1.633328247070312500e+02
9.439836883544921875e+01,1.065385208129882812e+02,1.622964324951171875e+02
9.406571197509765625e+01,1.061630706787109375e+02,1.617825469970703125e+02
9.371680450439453125e+01,1.057692794799804688e+02,1.612515258789062500e+02
9.331194305419921875e+01,1.053123550415039062e+02,1.606100158691406250e+02
9.266928100585937500e+01,1.045870285034179688e+02,1.595738067626953125e+02
9.190783691406250000e+01,1.037276611328125000e+02,1.583176269531250000e+02
9.085517120361328125e+01,1.025396118164062500e+02,1.564819488525390625e+02
8.952725982666015625e+01,1.010409317016601562e+02,1.541010131835937500e+02
8.774878692626953125e+01,9.903372192382812500e+01,1.508911132812500000e+02
8.613244628906250000e+01,9.720951843261718750e+01,1.479557037353515625e+02
8.481900787353515625e+01,9.572715759277343750e+01,1.455802307128906250e+02
8.360920715332031250e+01,9.436177062988281250e+01,1.434068450927734375e+02
8.217346191406250000e+01,9.274137115478515625e+01,1.408981933593750000e+02
8.113402557373046875e+01,9.156826019287109375e+01,1.391140441894531250e+02
8.050094604492187500e+01,9.085376739501953125e+01,1.380575256347656250e+02
8.000558471679687500e+01,9.029470825195312500e+01,1.371898345947265625e+02
7.953843688964843750e+01,8.976747131347656250e+01,1.363571319580078125e+02
7.917574310302734375e+01,8.935813903808593750e+01,1.357032318115234375e+02
7.889771270751953125e+01,8.904433441162109375e+01,1.352003479003906250e+02
7.860279083251953125e+01,8.871150207519531250e+01,1.346793670654296875e+02
7.825508117675781250e+01,8.831906890869140625e+01,1.340853881835937500e+02
