map_id,run_index,sensor_seed,planner_seed,gained_true_utility,total_true_utility,task_completion,coverage_efficiency,global_final_rmse,global_mean_rmse,global_auc_rmse,occupied_final_rmse,occupied_mean_rmse,occupied_auc_rmse,final_total_variance,variance_reduction
20,0,143,20042,267.8177490234375,843.6165771484375,0.31746382927740163,0.0021024094654132556,0.05503987893462181,0.06414174668490887,9.554053561761975,0.04705074429512024,0.06002162126203378,8.945522394031286,11.431811970500245,15.100989029499761
20,1,143,20043,255.09585571289062,843.6165771484375,0.30238364515685134,0.0020025406964029892,0.055016595870256424,0.0642410701761643,9.568963726982474,0.04759550467133522,0.06020167291164398,8.972257761284709,11.370737129014543,15.162063870985463
20,2,143,20044,275.45587158203125,843.6165771484375,0.32651785069600847,0.0021623698721589964,0.051967017352581024,0.061825719773769376,9.208185955882072,0.052168961614370346,0.0623157182832559,9.287077838554978,11.849145026681814,14.683655973318192
20,3,143,20045,280.0733642578125,843.6165771484375,0.33199130012891215,0.0021986178816484248,0.053006287664175034,0.06482522517442703,9.657592130824924,0.04989711567759514,0.06184911295771599,9.21822296269238,10.058238131701295,16.47456286829871
20,4,143,20046,255.227783203125,843.6165771484375,0.3025400283928,0.0020035763469721853,0.05659155547618866,0.06536947265267372,9.73743661865592,0.047372955828905106,0.06150641140838464,9.168079810217023,12.338250664756908,14.194550335243099
21,0,144,21042,218.44154357910156,710.4962768554688,0.30744924455605216,0.0020360877122917362,0.050737153738737106,0.05855254799127579,8.72386815585196,0.052324600517749786,0.06256791281203429,9.323055792599916,11.683422748034662,14.849378251965344
21,1,144,21043,228.30511474609375,710.4962768554688,0.32133189459701594,0.002128025792033218,0.04964059218764305,0.05773362306257089,8.601577697321773,0.051758989691734314,0.06152642625073592,9.167115613818169,11.394878066700734,15.137922933299272
21,2,144,21044,221.8616943359375,710.4962768554688,0.31226299357662823,0.0020679668448783327,0.04789148271083832,0.0569206827878952,8.480511210858822,0.04871542379260063,0.060838505427042645,9.065449273213744,10.62088228939739,15.911918710602617
21,3,144,21045,231.90509033203125,710.4962768554688,0.3263987411143128,0.0021615810669822037,0.049355145543813705,0.0579605982452631,8.635766698047519,0.05175672471523285,0.06294535850485165,9.37995658442378,10.946632729708302,15.586168270291704
21,4,144,21046,226.10202026367188,710.4962768554688,0.31823111201139515,0.0021074908080224845,0.05091142654418945,0.05888826238612334,8.774138178676367,0.051871757954359055,0.06290991254150867,9.37458217330277,11.59479404788508,14.938006952114927
22,0,145,22042,324.8011474609375,1055.4534912109375,0.30773610601097007,0.002037987457026292,0.09465981274843216,0.1205916328728199,17.968479577451944,0.048280809074640274,0.06064941336711248,9.039698833599687,11.622911439950407,14.9098895600496
22,1,145,22043,346.270751953125,1055.4534912109375,0.32807769819951366,0.0021726999880762494,0.08297435194253922,0.11836803997556368,17.64078337326646,0.05302172899246216,0.06082454264163971,9.06359776481986,11.42720015989771,15.105600840102296
22,2,145,22044,357.64312744140625,1055.4534912109375,0.3388525694591023,0.0022440567513847833,0.08488920331001282,0.12022924944758415,17.919007368385792,0.053568035364151,0.061476308504740396,9.16108949109912,11.960664243089365,14.572136756910641
22,3,145,22045,385.17608642578125,1055.4534912109375,0.3649389476971297,0.0024168142231597994,0.056865621358156204,0.10115869690974554,15.072436278685927,0.06831223517656326,0.06811011532942454,10.148788414895535,12.538125554883358,13.994675445116648
22,4,145,22046,375.9783630371094,1055.4534912109375,0.3562244723883985,0.0023591024661483344,0.05536142736673355,0.11393033802509307,16.98893454298377,0.052598148584365845,0.06000013222297033,8.940147992223501,9.425895540832308,17.1069054591677
23,0,146,23042,198.04147338867188,647.4739379882812,0.30586786860331705,0.0020256150238630267,0.052742790430784225,0.07084464453160763,10.554048584774137,0.0466088242828846,0.07199515424668788,10.726358549669385,11.075477888997053,15.457323111002953
23,1,146,23043,196.02890014648438,647.4739379882812,0.3027595222682652,0.0020050299487964583,0.054646871984004974,0.07323238916695118,10.911258239299059,0.05094584450125694,0.07524799811343352,11.212116619572043,12.498506801977328,14.034294198022678
