map_id,run_index,sensor_seed,planner_seed,gained_true_utility,total_true_utility,task_completion,coverage_efficiency,global_final_rmse,global_mean_rmse,global_auc_rmse,occupied_final_rmse,occupied_mean_rmse,occupied_auc_rmse,final_total_variance,variance_reduction
20,0,143,20042,282.1903381347656,843.6165771484375,0.3345007030191551,0.0022152364438354642,0.05222011357545853,0.060636648138364155,9.02969866245985,0.05080925300717354,0.05654663754006227,8.422395581379533,11.297483267651579,15.235317732348427
20,1,143,20043,282.1903381347656,843.6165771484375,0.3345007030191551,0.0022152364438354642,0.05222011357545853,0.060636648138364155,9.02969866245985,0.05080925300717354,0.05654663754006227,8.422395581379533,11.297483267651579,15.235317732348427
20,2,143,20044,282.1903381347656,843.6165771484375,0.3345007030191551,0.0022152364438354642,0.05222011357545853,0.060636648138364155,9.02969866245985,0.05080925300717354,0.05654663754006227,8.422395581379533,11.297483267651579,15.235317732348427
20,3,143,20045,282.1903381347656,843.6165771484375,0.3345007030191551,0.0022152364438354642,0.05222011357545853,0.060636648138364155,9.02969866245985,0.05080925300717354,0.05654663754006227,8.422395581379533,11.297483267651579,15.235317732348427
20,4,143,20046,282.1903381347656,843.6165771484375,0.3345007030191551,0.0022152364438354642,0.05222011357545853,0.060636648138364155,9.02969866245985,0.05080925300717354,0.05654663754006227,8.422395581379533,11.297483267651579,15.235317732348427
21,0,144,21042,240.21038818359375,710.4962768554688,0.3380881730256527,0.002238994523348693,0.050034601241350174,0.056938373371958735,8.482093239203095,0.05173172801733017,0.05985014113287131,8.91568647697568,10.679734722359148,15.853066277640858
21,1,144,21043,240.21038818359375,710.4962768554688,0.3380881730256527,0.002238994523348693,0.050034601241350174,0.056938373371958735,8.482093239203095,0.05173172801733017,0.05985014113287131,8.91568647697568,10.679734722359148,15.853066277640858
21,2,144,21044,240.21038818359375,710.4962768554688,0.3380881730256527,0.002238994523348693,0.050034601241350174,0.056938373371958735,8.482093239203095,0.05173172801733017,0.05985014113287131,8.91568647697568,10.679734722359148,15.853066277640858
21,3,144,21045,240.21038818359375,710.4962768554688,0.3380881730256527,0.002238994523348693,0.050034601241350174,0.056938373371958735,8.482093239203095,0.05173172801733017,0.05985014113287131,8.91568647697568,10.679734722359148,15.853066277640858
21,4,144,21046,240.21038818359375,710.4962768554688,0.3380881730256527,0.002238994523348693,0.050034601241350174,0.056938373371958735,8.482093239203095,0.05173172801733017,0.05985014113287131,8.91568647697568,10.679734722359148,15.853066277640858
