map_id,run_index,sensor_seed,planner_seed,gained_true_utility,total_true_utility,task_completion,coverage_efficiency,global_final_rmse,global_mean_rmse,global_auc_rmse,occupied_final_rmse,occupied_mean_rmse,occupied_auc_rmse,weighted_final_rmse,weighted_mean_rmse,weighted_auc_rmse,final_total_variance,variance_reduction
101,0,224,101042,126950.0,199298.0,0.6369858202290039,0.00421844914058943,26.68788719177246,59.36283407847087,8828.449271202087,31.084333419799805,69.14597291310628,10283.398852348328,44.030670166015625,112.6455739847819,16753.206741333008,19955.740636161136,6054.259363838864
101,1,224,101043,126238.0,199298.0,0.6334132806149585,0.004194789937847407,25.019624710083008,59.24207926432292,8811.17018032074,29.138513565063477,69.0042989730835,10263.120671272278,45.50077819824219,112.19668739318848,16685.13869857788,17720.6567249282,8289.343275071798
101,2,224,101044,125041.0,199298.0,0.6274071992694357,0.004155014564698249,30.160058975219727,64.74832043965658,9634.53613948822,35.129573822021484,75.41949307759603,11222.404256820679,55.630516052246094,120.22171025594075,17883.82725906372,18889.509292069575,7120.490707930425
101,3,224,101045,113359.0,199298.0,0.568791458017642,0.0037668308477989535,34.982322692871094,69.87707895914714,10401.438785552979,40.74534606933594,81.393244043986,12115.659015655518,63.295047760009766,130.14732088724773,19368.836587905884,17754.67027082979,8255.329729170211
101,4,224,101046,74250.0,199298.0,0.3725576774478419,0.0024672693870718006,78.54650115966797,93.41269358317058,13909.998889923096,91.49095153808594,108.8075932820638,16202.438598632812,158.81991577148438,184.37375600179035,27455.039421081543,19841.623540573357,6168.376459426643
102,0,225,102042,54727.0,99856.0,0.5480592052555681,0.003629531160632901,13.490082740783691,38.793624572753906,5780.471259593964,15.616434097290039,44.948582553863524,6697.597890853882,23.166027069091797,73.95081178029378,11021.930198669434,17996.125226041077,8013.8747739589235
102,1,225,102043,64506.0,99856.0,0.6459902259253325,0.00427808096639293,13.504800796508789,32.38584271748861,4819.296622276306,15.639581680297852,37.52369930267334,5583.85382938385,25.003381729125977,61.91224030812582,9215.225800514221,18386.552798034318,7623.447201965682
102,2,225,102044,35291.0,99856.0,0.35341892324947927,0.0023405226705263526,38.154266357421875,49.82886159261068,7423.42472076416,44.210609436035156,57.73964070638021,8601.959526062012,74.38015747070312,96.2422319539388,14340.03615951538,18352.699414729715,7657.3005852702845
102,3,225,102045,55495.0,99856.0,0.5557502804037815,0.003680465433137626,15.145941734313965,31.928907229105633,4749.935728549957,17.543771743774414,36.99514497121175,5503.6185846328735,27.139440536499023,59.48114278157552,8849.49314212799,17535.50296275402,8474.49703724598
102,4,225,102046,62714.0,99856.0,0.6280443839128345,0.004159234330548572,12.649008750915527,31.588093808492026,4700.0621819496155,14.645450592041016,36.60119258244833,5445.974886894226,22.744394302368164,58.83701063791911,8755.070843696594,18770.148984835647,7239.851015164353
103,0,226,103042,81959.0,200198.0,0.4093897041928491,0.002711190093992378,46.2085075378418,66.11625317891439,9844.461061477661,47.06406784057617,67.34312451680502,10027.13759803772,69.3539047241211,97.51752685546874,14519.13017654419,18149.12435645082,7860.875643549181
103,1,226,103043,99560.0,200198.0,0.4973076654112429,0.0032934282477565754,32.17912673950195,69.3511657969157,10336.712644577026,32.776119232177734,70.63913719177246,10528.683473587036,45.53714370727539,100.2910710144043,14947.070180892944,18089.9306755506,7920.0693244494
103,2,226,103044,97256.0,200198.0,0.48579905893165765,0.00321721231080568,34.247806549072266,56.913631184895834,8470.048112869263,34.883628845214844,57.970638554890954,8627.354923248291,47.434505462646484,81.80167676289877,12172.712362289429,18373.20687239545,7636.793127604549
103,3,226,103045,104382.0,200198.0,0.5213938201180831,0.0034529392060800206,34.29196548461914,54.10959526062012,8049.420644760132,34.92837905883789,55.114443893432615,8198.90334892273,46.40696716308594,77.57340896606445,11538.985961914062,18599.57985328217,7410.420146717832
103,4,226,103046,101257.0,200198.0,0.5057842735691666,0.0033495647256236195,32.98006057739258,69.85193672180176,10411.427816390991,33.59212112426758,71.14918619791666,10604.782823562622,43.283477783203125,99.84279202779135,14880.955165863037,17728.54008919462,8281.45991080538
104,0,227,104042,93014.0,199504.0,0.46622624107787314,0.003087591000515716,38.58403015136719,83.38052047729492,12428.165580749512,43.32108688354492,93.6227635192871,13954.809549331665,66.90772247314453,142.84563522338868,21289.38920211792,17396.06963478613,8613.93036521387
104,1,227,104043,102735.0,199504.0,0.51495208116128,0.0034102786831872846,46.05535125732422,90.70365865071615,13522.900646209717,51.71124267578125,101.8455778503418,15184.03662109375,84.6639175415039,164.78019175211588,24570.694583892822,18397.73514820294,7612.264851797059
104,2,227,104044,95026.0,199504.0,0.47631125190472373,0.0031543791516869123,41.634315490722656,77.96565739949544,11614.410976409912,46.747867584228516,87.54300893147787,13041.132970809937,68.05751037597656,137.2706516011556,20452.566764831543,17942.120807545038,8067.879192454962
104,3,227,104045,98534.0,199504.0,0.49389485925094234,0.003270826882456572,51.122920989990234,81.97048828125,12210.391305923462,57.40228271484375,92.03990798950196,13710.340621948242,84.30884552001953,142.99557373046875,21303.179416656494,18272.82023216432,7737.179767835682
104,4,227,104046,103143.0,199504.0,0.5169971529392894,0.003423822204895956,56.31886672973633,85.46834116617839,12732.471265792847,63.23670959472656,95.9673890431722,14296.545566558838,94.3322525024414,145.60933792114258,21690.232341766357,18212.79220897285,7797.207791027151
