global_rmse,occupied_rmse,weighted_rmse
1.011149444580078125e+02,1.048497695922851562e+02,1.531448059082031250e+02
9.756172943115234375e+01,1.011652908325195312e+02,1.469718780517578125e+02
9.569795227050781250e+01,9.923264312744140625e+01,1.438624877929687500e+02
9.450385284423828125e+01,9.799444580078125000e+01,1.418725891113281250e+02
9.374509429931640625e+01,9.720765686035156250e+01,1.407129058837890625e+02
9.325411987304687500e+01,9.669853973388671875e+01,1.399541320800781250e+02
9.289806365966796875e+01,9.632932281494140625e+01,1.393822784423828125e+02
9.233596801757812500e+01,9.574647521972656250e+01,1.384566802978515625e+02
9.154892730712890625e+01,9.493035888671875000e+01,1.370787353515625000e+02
9.051930236816406250e+01,9.386270904541015625e+01,1.352289123535156250e+02
8.933753967285156250e+01,9.263729858398437500e+01,1.330722045898437500e+02
8.786520385742187500e+01,9.111057281494140625e+01,1.303514862060546875e+02
8.616046142578125000e+01,8.934285736083984375e+01,1.271949234008789062e+02
8.432520294189453125e+01,8.743980407714843750e+01,1.237230987548828125e+02
8.312807464599609375e+01,8.619847106933593750e+01,1.214578323364257812e+02
8.217919158935546875e+01,8.521453094482421875e+01,1.196681900024414062e+02
8.172456359863281250e+01,8.474311065673828125e+01,1.187978286743164062e+02
8.151177215576171875e+01,8.452245330810546875e+01,1.184279403686523438e+02
8.142559814453125000e+01,8.443310546875000000e+01,1.182829742431640625e+02
8.135838317871093750e+01,8.436341094970703125e+01,1.181788787841796875e+02
8.131783294677734375e+01,8.432135772705078125e+01,1.181252822875976562e+02
8.126721954345703125e+01,8.426888275146484375e+01,1.180681838989257812e+02
8.121055603027343750e+01,8.421011352539062500e+01,1.180032806396484375e+02
8.110249328613281250e+01,8.409806060791015625e+01,1.178807678222656250e+02
8.090690612792968750e+01,8.389525604248046875e+01,1.176309127807617188e+02
8.076220703125000000e+01,8.374520874023437500e+01,1.174482116699218750e+02
8.055277252197265625e+01,8.352804565429687500e+01,1.171672592163085938e+02
8.018995666503906250e+01,8.315182495117187500e+01,1.166701889038085938e+02
7.979367828369140625e+01,8.274089813232421875e+01,1.160978775024414062e+02
7.926251983642578125e+01,8.219012451171875000e+01,1.152839279174804688e+02
7.870316314697265625e+01,8.161010742187500000e+01,1.143872756958007812e+02
7.811021423339843750e+01,8.099524688720703125e+01,1.133902587890625000e+02
7.719879150390625000e+01,8.005016326904296875e+01,1.118141479492187500e+02
7.602598571777343750e+01,7.883403015136718750e+01,1.097677001953125000e+02
7.474945831298828125e+01,7.751036071777343750e+01,1.075460662841796875e+02
7.333303070068359375e+01,7.604160308837890625e+01,1.051069793701171875e+02
7.227090454101562500e+01,7.494024658203125000e+01,1.032730178833007812e+02
7.133852386474609375e+01,7.397341156005859375e+01,1.016479721069335938e+02
7.028734588623046875e+01,7.288339996337890625e+01,9.989262390136718750e+01
6.932316589355468750e+01,7.188359832763671875e+01,9.820903778076171875e+01
6.875363159179687500e+01,7.129302215576171875e+01,9.722381591796875000e+01
6.824948883056640625e+01,7.077025604248046875e+01,9.631427764892578125e+01
6.787204742431640625e+01,7.037886810302734375e+01,9.561655426025390625e+01
6.742070770263671875e+01,6.991086578369140625e+01,9.479622650146484375e+01
6.707704162597656250e+01,6.955448913574218750e+01,9.417041778564453125e+01
6.667798614501953125e+01,6.914068603515625000e+01,9.347158813476562500e+01
6.634302520751953125e+01,6.879334259033203125e+01,9.291480255126953125e+01
6.610580444335937500e+01,6.854734039306640625e+01,9.252411651611328125e+01
6.591448211669921875e+01,6.834893035888671875e+01,9.222030639648437500e+01
6.573927307128906250e+01,6.816721343994140625e+01,9.196200561523437500e+01
6.562641906738281250e+01,6.805015563964843750e+01,9.179867553710937500e+01
6.554323577880859375e+01,6.796386718750000000e+01,9.167568969726562500e+01
6.548012542724609375e+01,6.789839172363281250e+01,9.158090972900390625e+01
6.544052886962890625e+01,6.785731506347656250e+01,9.151946258544921875e+01
6.542501068115234375e+01,6.784123229980468750e+01,9.148986053466796875e+01
6.541020965576171875e+01,6.782588195800781250e+01,9.146082305908203125e+01
6.540631866455078125e+01,6.782184600830078125e+01,9.145139312744140625e+01
6.540476989746093750e+01,6.782023620605468750e+01,9.144602203369140625e+01
6.540662384033203125e+01,6.782216644287109375e+01,9.144512176513671875e+01
6.540650177001953125e+01,6.782203674316406250e+01,9.144184875488281250e+01
6.539775848388671875e+01,6.781297302246093750e+01,9.142450714111328125e+01
6.535066986083984375e+01,6.776413726806640625e+01,9.134073638916015625e+01
6.516503906250000000e+01,6.757164764404296875e+01,9.103829956054687500e+01
6.481808471679687500e+01,6.721188354492187500e+01,9.049831390380859375e+01
6.439108276367187500e+01,6.676909637451171875e+01,8.984002685546875000e+01
6.375434494018554688e+01,6.610884094238281250e+01,8.889330291748046875e+01
