map_id,gained_true_utility,total_true_utility,task_completion,coverage_efficiency,global_final_rmse,global_mean_rmse,global_auc_rmse,occupied_final_rmse,occupied_mean_rmse,occupied_auc_rmse,weighted_final_rmse,weighted_mean_rmse,weighted_auc_rmse,final_total_variance,variance_reduction
1.010000000000000000e+02,1.463700000000000000e+05,1.992980000000000000e+05,7.344278417244528567e-01,3.653869859325635950e-03,2.242594337463378906e+01,6.795070279121398471e+01,1.351629568958282471e+04,2.611515808105468750e+01,7.914812768936157283e+01,1.574361304092407227e+04,4.582171249389648438e+01,1.359892899131774868e+02,2.705333310508728027e+04,1.624838347206353501e+04,9.761616527936464990e+03
1.020000000000000000e+02,5.682000000000000000e+04,9.985600000000000000e+04,5.690193879186027370e-01,2.830942228450759966e-03,2.597908782958984375e+01,3.503501115798950138e+01,6.962185302734375000e+03,3.009908103942871094e+01,4.059572274208068876e+01,8.067213732719421387e+03,5.159772491455078125e+01,6.811839216232300487e+01,1.353877101516723633e+04,1.581234553023246917e+04,1.019765446976753083e+04
1.030000000000000000e+02,1.151890000000000000e+05,2.001980000000000000e+05,5.753753783754083084e-01,2.862564071519444180e-03,2.309990501403808594e+01,5.201529773712158544e+01,1.034163693332672119e+04,2.352704429626464844e+01,5.298087644577026367e+01,1.053361272144317627e+04,3.439543533325195312e+01,7.677121715545654013e+01,1.526322381401062012e+04,1.744316127365976718e+04,8.566838726340232824e+03
1.040000000000000000e+02,1.145880000000000000e+05,1.995040000000000000e+05,5.743644237709519818e-01,2.857534446621651670e-03,2.582110214233398438e+01,6.480614546775818496e+01,1.288869806671142578e+04,2.898977279663085938e+01,7.276611354827880973e+01,1.447178338813781738e+04,4.322929382324218750e+01,1.085685526084899948e+02,2.158809365463256836e+04,1.688085543871474511e+04,9.129144561285254895e+03
1.050000000000000000e+02,1.038320000000000000e+05,1.987970000000000000e+05,5.223016443910118989e-01,2.598515643736377598e-03,4.950183868408203125e+01,7.616945127487183242e+01,1.515544074630737305e+04,5.191115570068359375e+01,7.987825815200805835e+01,1.589338198852539062e+04,7.166040802001953125e+01,1.177016666793823276e+02,2.342087976455688477e+04,1.707761424116286798e+04,8.932385758837132016e+03
