map_id,gained_true_utility,total_true_utility,task_completion,coverage_efficiency,global_final_rmse,global_mean_rmse,global_auc_rmse,occupied_final_rmse,occupied_mean_rmse,occupied_auc_rmse,weighted_final_rmse,weighted_mean_rmse,weighted_auc_rmse,final_total_variance,variance_reduction
1.010000000000000000e+02,1.330840000000000000e+05,1.992980000000000000e+05,6.677638511174222025e-01,3.322208214514538183e-03,1.940176582336425781e+01,5.509247690200805891e+01,1.094616260051727295e+04,2.259497261047363281e+01,6.417077358245849439e+01,1.274990231227874756e+04,3.505384445190429688e+01,1.055462891960143992e+02,2.097011689567565918e+04,1.743056804813797862e+04,8.579431951862021378e+03
1.020000000000000000e+02,7.552100000000000000e+04,9.985600000000000000e+04,7.562990706617529479e-01,3.762681943590810880e-03,7.937354564666748047e+00,2.809090243339538517e+01,5.582384424448013306e+03,9.173909187316894531e+00,3.254577421665191395e+01,6.467686613559722900e+03,1.266556930541992188e+01,5.217579816818237504e+01,1.036971829414367676e+04,1.818087030128465631e+04,7.829129698715343693e+03
1.030000000000000000e+02,1.259430000000000000e+05,2.001980000000000000e+05,6.290921987232639401e-01,3.129811933946586872e-03,2.202567291259765625e+01,5.012593154907226278e+01,9.964300811767578125e+03,2.243312835693359375e+01,5.105660423278808935e+01,1.014930523681640625e+04,2.886834526062011719e+01,7.189967679977416992e+01,1.429167928791046143e+04,1.735906146421776793e+04,8.650938535782232066e+03
1.040000000000000000e+02,1.064630000000000000e+05,1.995040000000000000e+05,5.336384232897586344e-01,2.654917528804769198e-03,3.258822631835937500e+01,9.345292633056641307e+01,1.861467067718505859e+04,3.658949661254882812e+01,1.049326786041259822e+02,2.090129653739929199e+04,5.413994979858398438e+01,1.670436795997619583e+02,3.327766372489929199e+04,1.601434476697409264e+04,9.995655233025907364e+03
1.050000000000000000e+02,8.171200000000000000e+04,1.987970000000000000e+05,4.110323596432541859e-01,2.044937112653005991e-03,5.912248229980468750e+01,8.456477777481079272e+01,1.682969572448730469e+04,6.200044250488281250e+01,8.868288160324097191e+01,1.764926203536987305e+04,9.335172271728515625e+01,1.334823042297363145e+02,2.656616161727905273e+04,1.649744491525184640e+04,9.512555084748153604e+03
