planner,execution_chunk,num_timesteps_completed,initial_variance,final_variance,variance_reduction,final_global_rmse,final_occupied_rmse,global_rmse_auc,global_rmse_mean,occupied_rmse_auc,occupied_rmse_mean,task_completion_pct,num_replans,mean_replan_seconds,sim_wall_time_seconds,subprocess_wall_time_seconds
Diffusion,5,200,26.5328,7.900071021618836,18.632728978381166,0.04369561746716499,0.03787685185670853,13.487650202587247,0.06782972130924464,10.117697671055794,0.05084577865898609,83.1518,36,0.2108527777777778,24.546687364578247,32.52
Diffusion,10,200,26.5328,6.143071003149968,20.38972899685003,0.047771964222192764,0.03417043760418892,14.616138430312276,0.07348235331475735,8.990027284249663,0.04519816068932414,84.1633,11,0.27653636363636364,21.422006130218506,30.61
Diffusion,15,200,26.5328,5.7064422730330815,20.82635772696692,0.043526675552129745,0.03302192687988281,13.02932763658464,0.06553768612444401,9.658313684165478,0.04853672141209245,84.8507,6,0.29665,33.69309329986572,43.88
Diffusion,20,200,26.5328,8.223216404694815,18.309583595305185,0.05215224623680115,0.040039315819740295,13.290841866284609,0.06686682119965554,9.781381659209728,0.049169604759663345,81.7651,4,0.2591,32.21327018737793,42.62
Diffusion,25,200,26.5328,6.220417219998146,20.312382780001855,0.051885008811950684,0.03364060819149017,14.440702971071005,0.07261545863002539,10.062240440398455,0.05055790189653635,84.2633,4,0.3889,34.60273742675781,45.44
Diffusion,30,200,26.5328,6.8614013955661655,19.671398604433836,0.05134574696421623,0.03327468782663345,13.967769024893641,0.07024944074451923,9.102709140628576,0.04575933059677482,79.2721,3,0.21736666666666668,31.1287784576416,41.42
Imitation,5,200,26.5328,10.106331131141072,16.42646886885893,0.06351498514413834,0.041509851813316345,15.466899365186691,0.07777551554143429,10.37174728140235,0.05212510921061039,61.3652,35,0.031145714285714287,29.482981204986572,38.47
Imitation,10,200,26.5328,17.059354213979354,9.473445786020648,0.07919148355722427,0.049144186079502106,16.744076885282993,0.08420059438794851,10.467185474932194,0.052621386013925076,38.9339,15,0.020493333333333332,16.54268217086792,26.45
Imitation,15,200,26.5328,11.562492239621426,14.970307760378576,0.06954143196344376,0.039374012500047684,16.472415082156658,0.08281816024333238,9.502360487356782,0.04777283564209938,57.1557,7,0.037085714285714284,31.655437707901,41.39
Imitation,20,200,26.5328,10.456810246311989,16.075989753688013,0.06850847601890564,0.03477311134338379,16.750029902905226,0.08420365195721388,9.612177219241858,0.0483104170486331,58.4925,5,0.0364,35.673726081848145,51.88
Imitation,25,200,26.5328,10.262218477173068,16.270581522826934,0.06550139933824539,0.035778094083070755,16.349793806672096,0.08219495378434657,9.129875576123595,0.045901421289891005,60.4113,4,0.0372,32.18921136856079,43.01
Imitation,30,200,26.5328,12.203435213218226,14.329364786781776,0.07763040065765381,0.03674834966659546,17.01697686687112,0.08556119158864021,9.287013236433268,0.04668953523039818,47.8185,4,0.021300000000000003,15.31655740737915,23.65
