timestep,wall_time_seconds,global_rmse,occupied_rmse,global_variance
1.000000000000000000e+00,7.858347892761230469e-02,1.591463088989257812e-01,5.720643326640129089e-02,2.616497437936801163e+01
2.000000000000000000e+00,1.625177860260009766e-01,1.582853645086288452e-01,5.755966901779174805e-02,2.605120818083740630e+01
3.000000000000000000e+00,2.685985565185546875e-01,1.582377552986145020e-01,5.708617344498634338e-02,2.597589034789836404e+01
4.000000000000000000e+00,3.758482933044433594e-01,1.570733636617660522e-01,5.632971972227096558e-02,2.587415935409885037e+01
5.000000000000000000e+00,4.528234004974365234e-01,1.556077748537063599e-01,5.598263815045356750e-02,2.571708057167940353e+01
6.000000000000000000e+00,5.394728183746337891e-01,1.549982428550720215e-01,5.579094961285591125e-02,2.557334947351840881e+01
7.000000000000000000e+00,6.152591705322265625e-01,1.550094932317733765e-01,5.606094747781753540e-02,2.547450411757171906e+01
8.000000000000000000e+00,7.172641754150390625e-01,1.542275398969650269e-01,5.574818328022956848e-02,2.523352579236085802e+01
9.000000000000000000e+00,8.167350292205810547e-01,1.541166305541992188e-01,5.548300966620445251e-02,2.510518429040434185e+01
1.000000000000000000e+01,9.348793029785156250e-01,1.534061580896377563e-01,5.543808639049530029e-02,2.494259569798801479e+01
1.100000000000000000e+01,1.038569688796997070e+00,1.525739133358001709e-01,5.423415452241897583e-02,2.477714994759280387e+01
1.200000000000000000e+01,1.166140079498291016e+00,1.521057784557342529e-01,5.393328145146369934e-02,2.440188149693396369e+01
1.300000000000000000e+01,1.334846019744873047e+00,1.519822329282760620e-01,5.409099534153938293e-02,2.417579381841688502e+01
1.400000000000000000e+01,1.449327468872070312e+00,1.524403393268585205e-01,5.530389025807380676e-02,2.395981978243631616e+01
1.500000000000000000e+01,1.548620939254760742e+00,1.517722755670547485e-01,5.326854810118675232e-02,2.381661188286591369e+01
1.600000000000000000e+01,1.695476531982421875e+00,1.516301929950714111e-01,5.258428677916526794e-02,2.369596266310409050e+01
1.700000000000000000e+01,1.815618753433227539e+00,1.517257988452911377e-01,5.356319248676300049e-02,2.351243166693522113e+01
1.800000000000000000e+01,1.949083566665649414e+00,1.516332328319549561e-01,5.309546366333961487e-02,2.337050067290772404e+01
1.900000000000000000e+01,2.049937009811401367e+00,1.517107039690017700e-01,5.311860889196395874e-02,2.323967655497498441e+01
2.000000000000000000e+01,2.145616054534912109e+00,1.514537036418914795e-01,5.393853411078453064e-02,2.300087285033158935e+01
2.100000000000000000e+01,2.249570369720458984e+00,1.513572335243225098e-01,5.442516878247261047e-02,2.287393591743513355e+01
2.200000000000000000e+01,2.408292293548583984e+00,1.519955694675445557e-01,5.765687301754951477e-02,2.269545922893592405e+01
2.300000000000000000e+01,2.488612651824951172e+00,1.519797891378402710e-01,5.963457003235816956e-02,2.250367013788737580e+01
2.400000000000000000e+01,2.603902101516723633e+00,1.511731147766113281e-01,5.446909740567207336e-02,2.229775610888120951e+01
2.500000000000000000e+01,2.715833187103271484e+00,1.507387459278106689e-01,5.138051509857177734e-02,2.209024721853980111e+01
2.600000000000000000e+01,2.852046966552734375e+00,1.506996005773544312e-01,5.276752263307571411e-02,2.187608074188905860e+01
2.700000000000000000e+01,2.983747243881225586e+00,1.504185944795608521e-01,5.244876071810722351e-02,2.171630172517207313e+01
2.800000000000000000e+01,3.103318929672241211e+00,1.500817239284515381e-01,5.231619253754615784e-02,2.158894901820627510e+01
2.900000000000000000e+01,3.248088359832763672e+00,1.495061516761779785e-01,5.070521309971809387e-02,2.140101007165419134e+01
3.000000000000000000e+01,3.363513946533203125e+00,1.493909358978271484e-01,5.046047270298004150e-02,2.136158306970469312e+01
3.100000000000000000e+01,3.462887048721313477e+00,1.493532359600067139e-01,4.987807944416999817e-02,2.126264219935118405e+01
3.200000000000000000e+01,3.560036182403564453e+00,1.492044627666473389e-01,5.048530921339988708e-02,2.115480689435180395e+01
3.300000000000000000e+01,3.689750432968139648e+00,1.487406641244888306e-01,5.081461369991302490e-02,2.087342580343884180e+01
3.400000000000000000e+01,3.809956073760986328e+00,1.462333500385284424e-01,4.970506578683853149e-02,2.065938473709168477e+01
3.500000000000000000e+01,3.939729690551757812e+00,1.452356874942779541e-01,4.937959462404251099e-02,2.051696985849333643e+01
3.600000000000000000e+01,4.008756637573242188e+00,1.438959985971450806e-01,4.978658631443977356e-02,2.037139529929626747e+01
3.700000000000000000e+01,4.066868782043457031e+00,1.431481540203094482e-01,4.956720024347305298e-02,2.019591079890369656e+01
3.800000000000000000e+01,4.140681266784667969e+00,1.422110795974731445e-01,4.957826808094978333e-02,2.009377059408488719e+01
3.900000000000000000e+01,4.201458215713500977e+00,1.395055949687957764e-01,4.948493465781211853e-02,1.993914949835986050e+01
4.000000000000000000e+01,4.267150640487670898e+00,1.378987282514572144e-01,4.833359643816947937e-02,1.963724889999138767e+01
4.100000000000000000e+01,4.345592021942138672e+00,1.385561376810073853e-01,4.834970831871032715e-02,1.947102341728830766e+01
4.200000000000000000e+01,4.415989637374877930e+00,1.374274939298629761e-01,4.805414378643035889e-02,1.936635021028961745e+01
4.300000000000000000e+01,4.490554094314575195e+00,1.369899660348892212e-01,4.783612489700317383e-02,1.930255741519200541e+01
4.400000000000000000e+01,4.556170701980590820e+00,1.365328133106231689e-01,4.746118932962417603e-02,1.925986291481344637e+01
4.500000000000000000e+01,4.615543127059936523e+00,1.365179866552352905e-01,4.750969633460044861e-02,1.924906037019178839e+01
4.600000000000000000e+01,4.684016942977905273e+00,1.364228129386901855e-01,4.767653346061706543e-02,1.922611490017285973e+01
4.700000000000000000e+01,4.754170179367065430e+00,1.364007294178009033e-01,4.773619025945663452e-02,1.918284751124095067e+01
4.800000000000000000e+01,4.814985513687133789e+00,1.365562230348587036e-01,4.758375138044357300e-02,1.914741527677947985e+01
4.900000000000000000e+01,4.880553245544433594e+00,1.361140161752700806e-01,4.704156145453453064e-02,1.901846427259039984e+01
5.000000000000000000e+01,4.964205741882324219e+00,1.354437619447708130e-01,4.719662293791770935e-02,1.893381578948967459e+01
5.100000000000000000e+01,5.049442291259765625e+00,1.328681558370590210e-01,4.679213091731071472e-02,1.878231442335783186e+01
5.200000000000000000e+01,5.167296409606933594e+00,1.328591704368591309e-01,4.682937636971473694e-02,1.866320466256393118e+01
5.300000000000000000e+01,5.304561138153076172e+00,1.327137947082519531e-01,4.677205905318260193e-02,1.851243104485522295e+01
5.400000000000000000e+01,5.416023015975952148e+00,1.327504515647888184e-01,4.663864895701408386e-02,1.837322243751773954e+01
5.500000000000000000e+01,5.543634176254272461e+00,1.295486688613891602e-01,4.678924381732940674e-02,1.823076085047471651e+01
5.600000000000000000e+01,5.665125846862792969e+00,1.290584355592727661e-01,4.698453098535537720e-02,1.809519164930998869e+01
5.700000000000000000e+01,5.792542457580566406e+00,1.279001384973526001e-01,4.739163070917129517e-02,1.796208234757649436e+01
5.800000000000000000e+01,5.916190385818481445e+00,1.275892853736877441e-01,4.682771116495132446e-02,1.781118135182163087e+01
5.900000000000000000e+01,6.041596412658691406e+00,1.254676878452301025e-01,4.763158410787582397e-02,1.763663940969874488e+01
6.000000000000000000e+01,6.148160696029663086e+00,1.256484985351562500e-01,4.761425778269767761e-02,1.760274223811301653e+01
6.100000000000000000e+01,6.253270626068115234e+00,1.259498447179794312e-01,4.872044920921325684e-02,1.750946879329054440e+01
6.200000000000000000e+01,6.352950572967529297e+00,1.240761503577232361e-01,4.892387986183166504e-02,1.735725154481118082e+01
6.300000000000000000e+01,6.461922883987426758e+00,1.229821816086769104e-01,4.817859828472137451e-02,1.718943351960801635e+01
6.400000000000000000e+01,6.557144880294799805e+00,1.228800341486930847e-01,4.830309748649597168e-02,1.712352716254964946e+01
6.500000000000000000e+01,6.659368276596069336e+00,1.215726733207702637e-01,4.798191785812377930e-02,1.699033321375084427e+01
6.600000000000000000e+01,6.759240627288818359e+00,1.212338954210281372e-01,4.776047170162200928e-02,1.693893325972949171e+01
6.700000000000000000e+01,6.866101026535034180e+00,1.207429096102714539e-01,4.780370742082595825e-02,1.690912102404891471e+01
6.800000000000000000e+01,6.967708110809326172e+00,1.206846088171005249e-01,4.779836535453796387e-02,1.689054786469186098e+01
6.900000000000000000e+01,7.067774295806884766e+00,1.202702671289443970e-01,4.778525978326797485e-02,1.686491261881105075e+01
7.000000000000000000e+01,7.165950775146484375e+00,1.199668049812316895e-01,4.761511087417602539e-02,1.683357344545196099e+01
7.100000000000000000e+01,7.299274206161499023e+00,1.201294586062431335e-01,4.754432290792465210e-02,1.680219626841379466e+01
7.200000000000000000e+01,7.449470043182373047e+00,1.195617318153381348e-01,4.748563095927238464e-02,1.676689359094027765e+01
7.300000000000000000e+01,7.544327974319458008e+00,1.192747950553894043e-01,4.748609289526939392e-02,1.672694713277790868e+01
7.400000000000000000e+01,7.651521444320678711e+00,1.187849566340446472e-01,4.744226112961769104e-02,1.667946686229561593e+01
7.500000000000000000e+01,7.750544548034667969e+00,1.189490780234336853e-01,4.744891822338104248e-02,1.662010379215828948e+01
7.600000000000000000e+01,7.868198871612548828e+00,1.184938997030258179e-01,4.744016006588935852e-02,1.653225872995439616e+01
7.700000000000000000e+01,7.963825225830078125e+00,1.187893301248550415e-01,4.743998125195503235e-02,1.643229266460024007e+01
7.800000000000000000e+01,8.037252664566040039e+00,1.174985766410827637e-01,4.743809998035430908e-02,1.632788882841128597e+01
7.900000000000000000e+01,8.106750965118408203e+00,1.170394644141197205e-01,4.743627831339836121e-02,1.628818987483556668e+01
8.000000000000000000e+01,8.165244340896606445e+00,1.167474165558815002e-01,4.743586853146553040e-02,1.626467939830393661e+01
8.100000000000000000e+01,8.246788501739501953e+00,1.167851835489273071e-01,4.742902144789695740e-02,1.625391355765111712e+01
8.200000000000000000e+01,8.319313764572143555e+00,1.167514547705650330e-01,4.742925241589546204e-02,1.625016244252049802e+01
8.300000000000000000e+01,8.409913539886474609e+00,1.167150959372520447e-01,4.740322008728981018e-02,1.624751666011333384e+01
8.400000000000000000e+01,8.467137336730957031e+00,1.167150214314460754e-01,4.739645496010780334e-02,1.624555802610274924e+01
8.500000000000000000e+01,8.533621072769165039e+00,1.167139410972595215e-01,4.741251841187477112e-02,1.624363212776235699e+01
8.600000000000000000e+01,8.617104530334472656e+00,1.167045980691909790e-01,4.740724340081214905e-02,1.623996067148301847e+01
8.700000000000000000e+01,8.710722208023071289e+00,1.167298406362533569e-01,4.763489216566085815e-02,1.623252042784280391e+01
8.800000000000000000e+01,8.795751810073852539e+00,1.166770830750465393e-01,4.719362035393714905e-02,1.622006835827050963e+01
8.900000000000000000e+01,8.865791797637939453e+00,1.166676282882690430e-01,4.713493213057518005e-02,1.621112110653791660e+01
9.000000000000000000e+01,8.950604200363159180e+00,1.166459694504737854e-01,4.718275368213653564e-02,1.619213178051291635e+01
9.100000000000000000e+01,9.092411756515502930e+00,1.166029721498489380e-01,4.687811806797981262e-02,1.615993508174040016e+01
9.200000000000000000e+01,9.168327093124389648e+00,1.165840402245521545e-01,4.678978770971298218e-02,1.614449324111764383e+01
9.300000000000000000e+01,9.290817260742187500e+00,1.165710240602493286e-01,4.690039530396461487e-02,1.609789152682225932e+01
9.400000000000000000e+01,9.391532659530639648e+00,1.164635345339775085e-01,4.663086310029029846e-02,1.606342137052533658e+01
9.500000000000000000e+01,9.482397317886352539e+00,1.163959354162216187e-01,4.658862575888633728e-02,1.604560224216246311e+01
9.600000000000000000e+01,9.568059682846069336e+00,1.164976954460144043e-01,4.651118814945220947e-02,1.600492332520194694e+01
9.700000000000000000e+01,9.650748252868652344e+00,1.166093498468399048e-01,4.639937728643417358e-02,1.597270932832845958e+01
9.800000000000000000e+01,9.738477706909179688e+00,1.167375519871711731e-01,4.659201577305793762e-02,1.594863153156619973e+01
9.900000000000000000e+01,9.819281339645385742e+00,1.155818551778793335e-01,4.588001966476440430e-02,1.586238948318687925e+01
1.000000000000000000e+02,9.903004884719848633e+00,1.154029369354248047e-01,4.597712308168411255e-02,1.581078425656922981e+01
1.010000000000000000e+02,9.997534751892089844e+00,1.152151077985763550e-01,4.595454409718513489e-02,1.575510715899797454e+01
1.020000000000000000e+02,1.008731222152709961e+01,1.148498058319091797e-01,4.569090530276298523e-02,1.561508078413103462e+01
1.030000000000000000e+02,1.016529250144958496e+01,1.139053255319595337e-01,4.543115571141242981e-02,1.553863545996064310e+01
1.040000000000000000e+02,1.031044411659240723e+01,1.137074455618858337e-01,4.535161331295967102e-02,1.545305927541124547e+01
1.050000000000000000e+02,1.044542860984802246e+01,1.134911477565765381e-01,4.525963589549064636e-02,1.537505654692499313e+01
1.060000000000000000e+02,1.055685615539550781e+01,1.133129894733428955e-01,4.523903876543045044e-02,1.527703996589755953e+01
1.070000000000000000e+02,1.068433475494384766e+01,1.128784045577049255e-01,4.515895992517471313e-02,1.516263211224941543e+01
1.080000000000000000e+02,1.080682611465454102e+01,1.127237379550933838e-01,4.506544768810272217e-02,1.505542708253425310e+01
1.090000000000000000e+02,1.093120217323303223e+01,1.121412888169288635e-01,4.511987790465354919e-02,1.490172363731165461e+01
1.100000000000000000e+02,1.100262188911437988e+01,1.122825667262077332e-01,4.520648345351219177e-02,1.486552514522351842e+01
1.110000000000000000e+02,1.106845855712890625e+01,1.122127249836921692e-01,4.499690979719161987e-02,1.482968028273195316e+01
1.120000000000000000e+02,1.113741064071655273e+01,1.111917644739151001e-01,4.488828033208847046e-02,1.475433569952016200e+01
1.130000000000000000e+02,1.121523237228393555e+01,1.112115532159805298e-01,4.477339237928390503e-02,1.472032691313590647e+01
1.140000000000000000e+02,1.130448818206787109e+01,1.114596351981163025e-01,4.483955726027488708e-02,1.469772846457586724e+01
1.150000000000000000e+02,1.138676691055297852e+01,1.110659092664718628e-01,4.477403312921524048e-02,1.468278915045585720e+01
1.160000000000000000e+02,1.145004892349243164e+01,1.109240278601646423e-01,4.470487311482429504e-02,1.466359339455656574e+01
1.170000000000000000e+02,1.153123235702514648e+01,1.108363792300224304e-01,4.468251392245292664e-02,1.465119123103285759e+01
1.180000000000000000e+02,1.160164070129394531e+01,1.109094172716140747e-01,4.472960904240608215e-02,1.464240377685475281e+01
1.190000000000000000e+02,1.168416810035705566e+01,1.108303517103195190e-01,4.466691613197326660e-02,1.463598636098758021e+01
1.200000000000000000e+02,1.175498533248901367e+01,1.108374893665313721e-01,4.467211291193962097e-02,1.463244323141059056e+01
1.210000000000000000e+02,1.182419967651367188e+01,1.108158528804779053e-01,4.466882348060607910e-02,1.462899946312588284e+01
1.220000000000000000e+02,1.189513635635375977e+01,1.108018532395362854e-01,4.466190561652183533e-02,1.462441778700404349e+01
1.230000000000000000e+02,1.197380042076110840e+01,1.108041182160377502e-01,4.466478899121284485e-02,1.461884203706331320e+01
1.240000000000000000e+02,1.210126399993896484e+01,1.107699945569038391e-01,4.464404284954071045e-02,1.460348036001490968e+01
1.250000000000000000e+02,1.223968911170959473e+01,1.108599975705146790e-01,4.508715867996215820e-02,1.458459478173143253e+01
1.260000000000000000e+02,1.241582322120666504e+01,1.108855381608009338e-01,4.526329785585403442e-02,1.455716764611390701e+01
1.270000000000000000e+02,1.255482649803161621e+01,1.107488051056861877e-01,4.467608779668807983e-02,1.452061830154971034e+01
1.280000000000000000e+02,1.266548347473144531e+01,1.109270229935646057e-01,4.550139605998992920e-02,1.447716144485353240e+01
1.290000000000000000e+02,1.279784822463989258e+01,1.106391623616218567e-01,4.446027055382728577e-02,1.442797138452941574e+01
1.300000000000000000e+02,1.292591452598571777e+01,1.106130406260490417e-01,4.453955963253974915e-02,1.441141937922846594e+01
1.310000000000000000e+02,1.305078625679016113e+01,1.105978637933731079e-01,4.442942142486572266e-02,1.440181157979776394e+01
1.320000000000000000e+02,1.316519761085510254e+01,1.105877459049224854e-01,4.433488845825195312e-02,1.439521048033867601e+01
1.330000000000000000e+02,1.336605167388916016e+01,1.105806007981300354e-01,4.439421743154525757e-02,1.439068753549129376e+01
1.340000000000000000e+02,1.348751974105834961e+01,1.105751171708106995e-01,4.439428448677062988e-02,1.438656490440654068e+01
1.350000000000000000e+02,1.359955000877380371e+01,1.105768084526062012e-01,4.433359950780868530e-02,1.438249873107454668e+01
1.360000000000000000e+02,1.373657464981079102e+01,1.105623841285705566e-01,4.436687380075454712e-02,1.437824533836532126e+01
1.370000000000000000e+02,1.384961462020874023e+01,1.105451434850692749e-01,4.435135051608085632e-02,1.437425467151914127e+01
1.380000000000000000e+02,1.396619534492492676e+01,1.105385571718215942e-01,4.435550794005393982e-02,1.436996458780543406e+01
1.390000000000000000e+02,1.406102252006530762e+01,1.105582863092422485e-01,4.439896345138549805e-02,1.436527348351203415e+01
1.400000000000000000e+02,1.414069485664367676e+01,1.105374097824096680e-01,4.433938115835189819e-02,1.435949547924506753e+01
1.410000000000000000e+02,1.421649265289306641e+01,1.103626489639282227e-01,4.385888203978538513e-02,1.434146341791501555e+01
1.420000000000000000e+02,1.431704545021057129e+01,1.103551611304283142e-01,4.382224380970001221e-02,1.430283324316693871e+01
1.430000000000000000e+02,1.439438939094543457e+01,1.103062778711318970e-01,4.359615966677665710e-02,1.428762823770110302e+01
1.440000000000000000e+02,1.445891070365905762e+01,1.101736575365066528e-01,4.335685074329376221e-02,1.425623790522979562e+01
1.450000000000000000e+02,1.452520585060119629e+01,1.101772189140319824e-01,4.362806305289268494e-02,1.420624538787397917e+01
1.460000000000000000e+02,1.458970212936401367e+01,1.100293248891830444e-01,4.289480671286582947e-02,1.415730666041222818e+01
1.470000000000000000e+02,1.465231776237487793e+01,1.098315119743347168e-01,4.219956323504447937e-02,1.409724558366897895e+01
1.480000000000000000e+02,1.471565747261047363e+01,1.097939163446426392e-01,4.147168621420860291e-02,1.404279702054005874e+01
1.490000000000000000e+02,1.479073286056518555e+01,1.092504560947418213e-01,4.133264347910881042e-02,1.397748075537359114e+01
1.500000000000000000e+02,1.485055494308471680e+01,1.102232486009597778e-01,4.224378243088722229e-02,1.390723638879205382e+01
1.510000000000000000e+02,1.493860697746276855e+01,1.093663647770881653e-01,4.108966514468193054e-02,1.383692023161601981e+01
1.520000000000000000e+02,1.501292753219604492e+01,1.090722680091857910e-01,4.082374274730682373e-02,1.375256200575658738e+01
1.530000000000000000e+02,1.507761096954345703e+01,1.081898137927055359e-01,4.047385230660438538e-02,1.365927555374208424e+01
1.540000000000000000e+02,1.514376902580261230e+01,1.083633527159690857e-01,4.031103849411010742e-02,1.363232055034308843e+01
1.550000000000000000e+02,1.520528101921081543e+01,1.080724969506263733e-01,4.048727080225944519e-02,1.356124812518104861e+01
1.560000000000000000e+02,1.527464771270751953e+01,1.074687391519546509e-01,4.039299860596656799e-02,1.350741719465001900e+01
1.570000000000000000e+02,1.535324835777282715e+01,1.073740720748901367e-01,3.975115716457366943e-02,1.344512177757158433e+01
1.580000000000000000e+02,1.542639589309692383e+01,1.068525388836860657e-01,3.941672295331954956e-02,1.337218603084319568e+01
1.590000000000000000e+02,1.550179600715637207e+01,1.065020337700843811e-01,3.936913236975669861e-02,1.329132409966557304e+01
1.600000000000000000e+02,1.556537055969238281e+01,1.067255958914756775e-01,3.940988704562187195e-02,1.321133969645533313e+01
1.610000000000000000e+02,1.563201308250427246e+01,1.061782166361808777e-01,3.997531160712242126e-02,1.312854217421097758e+01
1.620000000000000000e+02,1.570043706893920898e+01,1.064837574958801270e-01,3.998002409934997559e-02,1.304188708141680664e+01
1.630000000000000000e+02,1.576469206809997559e+01,1.050842255353927612e-01,3.978646174073219299e-02,1.296109322215974657e+01
