planner,map_id,num_timesteps_completed,initial_variance,final_variance,variance_drop,final_global_rmse,final_occupied_rmse,global_rmse_drop,occupied_rmse_drop,global_rmse_auc,occupied_rmse_auc,task_completion_pct,num_replans,mean_replan_seconds,sim_wall_time_seconds,subprocess_wall_time_seconds,initial_global_rmse,initial_occupied_rmse
Diffusion,39,300,26.5328,4.233529456218871,22.29927054378113,0.03560777008533478,0.03510262072086334,0.06956897675991058,0.06974995881319046,16.012828808277845,15.843499030917883,94.1819,16,0.284025,40.25306820869446,51.83,0.10517674684524536,0.1048525795340538
Diffusion,40,300,26.5328,3.6640461948717054,22.868753805128296,0.03352674841880798,0.03295581042766571,0.06592781096696854,0.056097015738487244,14.681667312979698,13.44842667505145,95.9757,17,0.3070176470588235,48.62831115722656,62.69,0.09945455938577652,0.08905282616615295
Diffusion,41,300,26.5328,4.063217726148639,22.469582273851362,0.039070453494787216,0.03547684848308563,0.12315602973103523,0.022043168544769287,23.935750698670745,12.606606014072895,92.7608,15,0.2643333333333333,34.98760986328125,44.41,0.16222648322582245,0.05752001702785492
Diffusion,42,300,26.5328,4.156061639956002,22.376738360044,0.03856736421585083,0.04010625183582306,0.10476763546466827,0.02505882829427719,20.515942580997944,14.914885967969894,97.4024,16,0.23763750000000003,35.924598693847656,45.39,0.1433349996805191,0.06516508013010025
Diffusion,43,300,26.5328,3.307266974775061,23.22553302522494,0.0294148251414299,0.02911619283258915,0.0602148100733757,0.04165071062743664,14.600807735696435,12.979116019792855,98.6986,16,0.21563125,38.12227439880371,47.62,0.0896296352148056,0.07076690346002579
Diffusion,44,300,26.5328,3.1872828285172643,23.345517171482737,0.0310104601085186,0.030927028506994247,0.0818820409476757,0.03411224111914635,17.296231474727392,12.397494185715914,97.1916,15,0.22969333333333336,31.148748636245728,41.01,0.1128925010561943,0.0650392696261406
Diffusion,45,300,26.5328,3.7638629844397,22.7689370155603,0.034272201359272,0.033839013427495956,0.12390439957380295,0.03966010734438896,24.576550412923098,12.19044771976769,97.4153,15,0.20926,27.187485933303833,36.8,0.15817660093307495,0.07349912077188492
Imitation,39,300,26.5328,13.406385283201486,13.126414716798516,0.06925298273563385,0.06876026839017868,0.03592376410961151,0.03609231114387512,23.80740389227867,23.629299521446228,47.1292,8,0.0261875,53.3503475189209,66.04,0.10517674684524536,0.1048525795340538
Imitation,40,300,26.5328,7.247579125002504,19.2852208749975,0.0471186600625515,0.03648842126131058,0.05233589932322502,0.05256440490484238,19.84108661301434,16.069549221545458,66.6533,8,0.0324625,63.48407745361328,75.71,0.09945455938577652,0.08905282616615295
Imitation,41,300,26.5328,11.180132244640188,15.352667755359814,0.10695139318704605,0.035764455795288086,0.0552750900387764,0.021755561232566833,36.22453014925122,12.509408332407475,57.2316,8,0.036000000000000004,71.27469635009766,82.79,0.16222648322582245,0.05752001702785492
Imitation,42,300,26.5328,11.605351902772444,14.927448097227558,0.0855114683508873,0.041476886719465256,0.057823531329631805,0.023688193410634995,28.754245828837156,14.128680238500237,62.4945,9,0.025244444444444444,46.400343894958496,57.52,0.1433349996805191,0.06516508013010025
Imitation,43,300,26.5328,14.280500882444917,12.252299117555085,0.05806487798690796,0.05289917066693306,0.031564757227897644,0.017867732793092728,19.28915350884199,16.908854251727462,51.6155,11,0.028536363636363634,63.550398111343384,73.25,0.0896296352148056,0.07076690346002579
Imitation,44,300,26.5328,9.790455128815797,16.742344871184205,0.06759541481733322,0.033851806074380875,0.045297086238861084,0.03118746355175972,23.55906756222248,13.025415981188416,59.6878,7,0.0274,67.42161440849304,77.66,0.1128925010561943,0.0650392696261406
Imitation,45,300,26.5328,11.049404298348328,15.483395701651673,0.1079014465212822,0.039183828979730606,0.050275154411792755,0.03431529179215431,36.64147154614329,13.3502517323941,53.3245,8,0.023012499999999998,42.009525537490845,54.84,0.15817660093307495,0.07349912077188492
