timestep,wall_time_seconds,global_rmse,occupied_rmse,global_variance
1.000000000000000000e+00,5.798292160034179688e-02,1.433349996805191040e-01,6.516508013010025024e-02,2.616497437936801163e+01
2.000000000000000000e+00,1.180830001831054688e-01,1.427618712186813354e-01,6.485710293054580688e-02,2.605120818083740630e+01
3.000000000000000000e+00,3.808362483978271484e-01,1.431749612092971802e-01,6.547846645116806030e-02,2.597589034789836404e+01
4.000000000000000000e+00,4.457886219024658203e-01,1.421656459569931030e-01,6.455238163471221924e-02,2.587415935409885037e+01
5.000000000000000000e+00,5.098364353179931641e-01,1.424836218357086182e-01,6.457104533910751343e-02,2.571708057167940353e+01
6.000000000000000000e+00,6.139752864837646484e-01,1.423685550689697266e-01,6.505363434553146362e-02,2.557334947351840881e+01
7.000000000000000000e+00,7.119743824005126953e-01,1.420436203479766846e-01,6.493891775608062744e-02,2.530948112167114772e+01
8.000000000000000000e+00,8.139772415161132812e-01,1.415129303932189941e-01,6.425224244594573975e-02,2.513800497718361981e+01
9.000000000000000000e+00,9.329771995544433594e-01,1.394329965114593506e-01,6.395866721868515015e-02,2.490357838076725017e+01
1.000000000000000000e+01,1.050988197326660156e+00,1.391095519065856934e-01,6.412452459335327148e-02,2.470171182489372086e+01
1.100000000000000000e+01,1.141978502273559570e+00,1.386725306510925293e-01,6.404185295104980469e-02,2.452636966363770910e+01
1.200000000000000000e+01,1.231086015701293945e+00,1.372657418251037598e-01,6.371711194515228271e-02,2.441971295408933074e+01
1.300000000000000000e+01,1.326090574264526367e+00,1.365457326173782349e-01,6.358724832534790039e-02,2.414167304276404735e+01
1.400000000000000000e+01,1.429101228713989258e+00,1.361891925334930420e-01,6.421776860952377319e-02,2.374551515112876388e+01
1.500000000000000000e+01,1.557095527648925781e+00,1.352553665637969971e-01,6.559796631336212158e-02,2.355137717635147965e+01
1.600000000000000000e+01,1.726094961166381836e+00,1.327391415834426880e-01,6.466343253850936890e-02,2.331435062321402540e+01
1.700000000000000000e+01,1.822101354598999023e+00,1.315010190010070801e-01,6.463006883859634399e-02,2.320729858802028289e+01
1.800000000000000000e+01,2.307091236114501953e+00,1.310509890317916870e-01,6.451839208602905273e-02,2.300513079644203884e+01
1.900000000000000000e+01,2.403098106384277344e+00,1.277795433998107910e-01,6.409198790788650513e-02,2.273884175402292485e+01
2.000000000000000000e+01,2.501087427139282227e+00,1.278666704893112183e-01,6.375256180763244629e-02,2.256838812900126356e+01
2.100000000000000000e+01,2.609089851379394531e+00,1.268821656703948975e-01,6.328865140676498413e-02,2.244988521770785894e+01
2.200000000000000000e+01,2.695088148117065430e+00,1.250987350940704346e-01,6.325406581163406372e-02,2.233779330690281384e+01
