planner,map_id,num_timesteps_completed,initial_variance,final_variance,variance_drop,final_global_rmse,final_occupied_rmse,global_rmse_drop,occupied_rmse_drop,global_rmse_auc,occupied_rmse_auc,task_completion_pct,num_replans,mean_replan_seconds,sim_wall_time_seconds,subprocess_wall_time_seconds,initial_global_rmse,initial_occupied_rmse
Diffusion,46,300,26.5328,4.048270759067963,22.48452924093204,0.044375233352184296,0.03673478960990906,0.12043989449739456,0.02941027283668518,24.541429594159126,13.71313326433301,94.6534,15,0.31294666666666665,39.340062618255615,54.22,0.16481512784957886,0.06614506244659424
Diffusion,47,300,26.5328,4.256934567540875,22.275865432459128,0.04060295596718788,0.03306379169225693,0.12090226635336876,0.023115083575248718,22.364964017644525,12.548487193882465,94.9645,15,0.27854000000000007,52.97839140892029,77.18,0.16150522232055664,0.056178875267505646
Diffusion,48,300,26.5328,3.654800949295387,22.877999050704616,0.03953009098768234,0.035601962357759476,0.14981233328580856,0.06405459716916084,28.660034004598856,14.987428503111005,95.6171,14,0.2579857142857143,41.2648868560791,52.71,0.1893424242734909,0.09965655952692032
Diffusion,49,300,26.5328,3.733468046964515,22.799331953035487,0.04408442974090576,0.04716004803776741,0.24079754948616028,0.019927050918340683,43.11166415736079,15.891450261697173,94.2696,15,0.22558000000000003,38.450074911117554,51.88,0.28488197922706604,0.0670870989561081
Diffusion,50,300,26.5328,3.5371121230643805,22.99568787693562,0.033219244331121445,0.03240365535020828,0.07201554998755455,0.032450124621391296,18.792297577485442,12.153640080243349,95.0384,15,0.26974,47.36839985847473,59.9,0.105234794318676,0.06485377997159958
Diffusion,51,300,26.5328,3.8630356737798657,22.669764326220136,0.03656218573451042,0.034204334020614624,0.14355315640568733,0.033410295844078064,26.2764999140054,12.162901006639004,94.962,17,0.3089588235294118,49.874446392059326,65.17,0.18011534214019775,0.06761462986469269
Diffusion,52,300,26.5328,4.241529967529859,22.291270032470145,0.040117423981428146,0.033185020089149475,0.14361600950360298,0.023831471800804138,24.358733704313636,13.133612796664238,96.3441,16,0.2900625,42.537511110305786,59.1,0.18373343348503113,0.05701649188995361
Diffusion,53,300,26.5328,4.383428138469169,22.14937186153083,0.04156652092933655,0.033301156014204025,0.11757978796958923,0.023905277252197266,24.358442213386297,12.054047610610723,94.7928,17,0.30985882352941174,43.388710260391235,55.37,0.15914630889892578,0.05720643326640129
Diffusion,54,300,26.5328,4.126768291667806,22.406031708332197,0.03822655975818634,0.036134667694568634,0.12587471306324005,0.028408974409103394,22.997329138219357,13.742328450083733,96.4388,13,0.28376923076923083,39.510610818862915,53.71,0.1641012728214264,0.06454364210367203
Diffusion,55,300,26.5328,3.516979093343359,23.015820906656643,0.034415215253829956,0.03136134892702103,0.11629076302051544,0.05386637896299362,20.990890618413687,15.34865714609623,96.8401,16,0.2804,38.16896867752075,51.81,0.1507059782743454,0.08522772789001465
Imitation,46,300,26.5328,12.64498245954262,13.887817540457382,0.108086496591568,0.049651406705379486,0.056728631258010864,0.016493655741214752,37.605811417102814,15.296884972602129,52.6207,9,0.011788888888888887,39.32135272026062,49.57,0.16481512784957886,0.06614506244659424
Imitation,47,300,26.5328,13.05213301558833,13.480666984411672,0.11047574132680893,0.03888200968503952,0.05102948099374771,0.017296865582466125,37.17057355865836,12.718563932925463,48.9179,8,0.019225,43.315833568573,54.75,0.16150522232055664,0.056178875267505646
Imitation,48,300,26.5328,12.045248990239294,14.487551009760708,0.1289720982313156,0.05983526259660721,0.06037032604217529,0.03982129693031311,44.69625777006149,19.59589271619916,51.5018,8,0.016925,40.01438760757446,51.12,0.1893424242734909,0.09965655952692032
Imitation,49,300,26.5328,7.477189642153418,19.055610357846582,0.11509237438440323,0.05477847158908844,0.1697896048426628,0.012308627367019653,53.86801299080253,17.68694118410349,73.9546,7,0.02865714285714286,37.45557117462158,49.89,0.28488197922706604,0.0670870989561081
Imitation,50,300,26.5328,7.525735601362777,19.007064398637226,0.05826200544834137,0.034660134464502335,0.046972788870334625,0.030193645507097244,23.65147927775979,13.022058146074414,69.8172,8,0.0176,41.828965187072754,55.76,0.105234794318676,0.06485377997159958
Imitation,51,300,26.5328,13.616510532362394,12.916289467637608,0.13345904648303986,0.042812034487724304,0.0466562956571579,0.024802595376968384,44.10448008030653,13.92115781083703,44.9922,9,0.021722222222222223,39.38940119743347,50.77,0.18011534214019775,0.06761462986469269
Imitation,52,300,26.5328,11.300888539341312,15.23191146065869,0.1008654460310936,0.040523216128349304,0.08286798745393753,0.01649327576160431,36.8027862124145,13.170992854982615,59.8397,6,0.02266666666666667,40.62816143035889,52.04,0.18373343348503113,0.05701649188995361
Imitation,53,300,26.5328,9.112757029883632,17.42004297011637,0.08787471801042557,0.03277653455734253,0.07127159088850021,0.02442989870905876,33.59913702681661,12.74481969885528,62.4194,7,0.021857142857142856,56.88122057914734,76.27,0.15914630889892578,0.05720643326640129
Imitation,54,300,26.5328,12.172436295167829,14.360363704832173,0.09413962066173553,0.04710707813501358,0.06996165215969086,0.017436563968658447,34.32675272971392,15.346667367964983,57.4972,8,0.041874999999999996,35.31520199775696,52.22,0.1641012728214264,0.06454364210367203
Imitation,55,300,26.5328,14.567615892370643,11.965184107629359,0.10165867209434509,0.0650886669754982,0.049047306180000305,0.02013906091451645,32.86732183396816,20.483844738453627,46.551,9,0.025122222222222226,44.67545247077942,61.55,0.1507059782743454,0.08522772789001465
