timestep,wall_time_seconds,global_rmse,occupied_rmse,global_variance
1.000000000000000000e+00,6.259322166442871094e-02,1.052347943186759949e-01,6.485377997159957886e-02,2.616497437936801163e+01
2.000000000000000000e+00,1.294608116149902344e-01,1.045793592929840088e-01,6.491778045892715454e-02,2.605120818083740630e+01
3.000000000000000000e+00,2.127630710601806641e-01,1.047976464033126831e-01,6.496878713369369507e-02,2.597589034789836404e+01
4.000000000000000000e+00,2.793498039245605469e-01,1.045401841402053833e-01,6.492596119642257690e-02,2.587415935409885037e+01
5.000000000000000000e+00,3.544552326202392578e-01,1.040418297052383423e-01,6.512792408466339111e-02,2.571708057167940353e+01
6.000000000000000000e+00,4.126877784729003906e-01,1.042130589485168457e-01,6.554947048425674438e-02,2.561606625131126691e+01
7.000000000000000000e+00,4.794292449951171875e-01,1.039951741695404053e-01,6.471743434667587280e-02,2.548484932373936118e+01
8.000000000000000000e+00,5.627353191375732422e-01,1.036433726549148560e-01,6.436301022768020630e-02,2.522403050742127206e+01
9.000000000000000000e+00,6.326968669891357422e-01,1.030386313796043396e-01,6.406275928020477295e-02,2.504066959875637366e+01
1.000000000000000000e+01,7.160334587097167969e-01,1.029284074902534485e-01,6.403753906488418579e-02,2.492459553328548338e+01
1.100000000000000000e+01,8.297541141510009766e-01,1.032632514834403992e-01,6.412640213966369629e-02,2.476725760129922449e+01
1.200000000000000000e+01,9.298901557922363281e-01,1.030172035098075867e-01,6.358314305543899536e-02,2.459335141983223849e+01
1.300000000000000000e+01,1.085626602172851562e+00,1.027466803789138794e-01,6.309217959642410278e-02,2.428541677625865702e+01
1.400000000000000000e+01,1.216793537139892578e+00,1.020801663398742676e-01,6.276688724756240845e-02,2.413633707746177848e+01
1.500000000000000000e+01,1.327971935272216797e+00,1.017349362373352051e-01,6.201452761888504028e-02,2.401401143182478748e+01
1.600000000000000000e+01,1.455990076065063477e+00,1.013757213950157166e-01,6.155812367796897888e-02,2.383014051319171145e+01
1.700000000000000000e+01,1.561550855636596680e+00,1.012102290987968445e-01,6.130727007985115051e-02,2.359734948015746170e+01
1.800000000000000000e+01,1.728518962860107422e+00,1.008687391877174377e-01,6.056182458996772766e-02,2.338620170588759706e+01
1.900000000000000000e+01,1.812554597854614258e+00,1.000522971153259277e-01,5.874360725283622742e-02,2.326256976392505749e+01
2.000000000000000000e+01,1.916164875030517578e+00,9.974985569715499878e-02,5.801990628242492676e-02,2.303242861465273705e+01
2.100000000000000000e+01,2.002180576324462891e+00,9.963314235210418701e-02,5.773605033755302429e-02,2.288104770650053155e+01
2.200000000000000000e+01,2.085711479187011719e+00,9.913473576307296753e-02,5.656808242201805115e-02,2.262999325492629765e+01
2.300000000000000000e+01,2.179906368255615234e+00,9.914416074752807617e-02,5.661176145076751709e-02,2.247184080106067583e+01
2.400000000000000000e+01,2.269072771072387695e+00,9.931849688291549683e-02,5.700514465570449829e-02,2.221804468027995227e+01
2.500000000000000000e+01,2.362890243530273438e+00,9.864755719900131226e-02,5.544518306851387024e-02,2.207821180482500978e+01
2.600000000000000000e+01,2.458238601684570312e+00,9.846778959035873413e-02,5.504500865936279297e-02,2.189040119337439805e+01
2.700000000000000000e+01,2.558418035507202148e+00,9.856992214918136597e-02,5.518866330385208130e-02,2.169259981474621668e+01
2.800000000000000000e+01,2.713530302047729492e+00,9.851545095443725586e-02,5.500315502285957336e-02,2.147576524956402011e+01
2.900000000000000000e+01,2.859185218811035156e+00,9.856435656547546387e-02,5.498682335019111633e-02,2.126468572647554112e+01
3.000000000000000000e+01,2.979627132415771484e+00,9.862317889928817749e-02,5.512019991874694824e-02,2.111070393062005479e+01
3.100000000000000000e+01,3.129362821578979492e+00,9.860255569219589233e-02,5.493977665901184082e-02,2.097696876323700366e+01
3.200000000000000000e+01,3.263520956039428711e+00,9.877828508615493774e-02,5.521808564662933350e-02,2.085303891551606981e+01
3.300000000000000000e+01,3.399061441421508789e+00,9.868984669446945190e-02,5.485808104276657104e-02,2.072124573397966785e+01
3.400000000000000000e+01,3.530988454818725586e+00,9.826225042343139648e-02,5.447657033801078796e-02,2.054110352090660285e+01
3.500000000000000000e+01,3.729721307754516602e+00,9.825379401445388794e-02,5.411519855260848999e-02,2.039750233942092805e+01
3.600000000000000000e+01,3.812382698059082031e+00,9.822235256433486938e-02,5.396270006895065308e-02,2.026916736433909350e+01
3.700000000000000000e+01,3.896292924880981445e+00,9.863403439521789551e-02,5.473920330405235291e-02,2.013938988959884213e+01
3.800000000000000000e+01,3.996209383010864258e+00,9.816161543130874634e-02,5.394028872251510620e-02,2.000979200449264539e+01
3.900000000000000000e+01,4.060704708099365234e+00,9.774017333984375000e-02,5.304712057113647461e-02,1.986627654929273490e+01
4.000000000000000000e+01,4.112983465194702148e+00,9.753883630037307739e-02,5.301416665315628052e-02,1.969115515441761488e+01
4.100000000000000000e+01,4.178924560546875000e+00,9.774942696094512939e-02,5.393643677234649658e-02,1.958935918864031223e+01
4.200000000000000000e+01,4.246291399002075195e+00,9.674893319606781006e-02,5.282690376043319702e-02,1.943455793091129635e+01
4.300000000000000000e+01,4.312922239303588867e+00,9.663581103086471558e-02,5.252379551529884338e-02,1.933205285284969577e+01
4.400000000000000000e+01,4.379710912704467773e+00,9.406521916389465332e-02,5.311033129692077637e-02,1.906015377973672997e+01
4.500000000000000000e+01,4.445527553558349609e+00,9.265535324811935425e-02,5.168034508824348450e-02,1.881811034920951897e+01
4.600000000000000000e+01,4.529515981674194336e+00,9.264130145311355591e-02,5.166220292448997498e-02,1.876431979118942905e+01
4.700000000000000000e+01,4.597423076629638672e+00,9.254322946071624756e-02,5.158805102109909058e-02,1.872403029208081193e+01
4.800000000000000000e+01,4.684552192687988281e+00,9.298937022686004639e-02,5.256285890936851501e-02,1.863270199896368240e+01
4.900000000000000000e+01,4.763852357864379883e+00,9.237367659807205200e-02,5.117702856659889221e-02,1.855201098272419813e+01
5.000000000000000000e+01,4.829076051712036133e+00,9.253060072660446167e-02,5.154875293374061584e-02,1.850230192586328926e+01
