global_rmse,occupied_rmse,weighted_rmse
8.898745727539062500e+01,9.767240142822265625e+01,1.533643188476562500e+02
8.828047943115234375e+01,9.689614868164062500e+01,1.523948822021484375e+02
8.745330047607421875e+01,9.598794555664062500e+01,1.511627349853515625e+02
8.657901000976562500e+01,9.502813720703125000e+01,1.497633819580078125e+02
8.555136108398437500e+01,9.390004730224609375e+01,1.480398406982421875e+02
8.430016326904296875e+01,9.252653503417968750e+01,1.458797454833984375e+02
8.312952423095703125e+01,9.124153137207031250e+01,1.437938995361328125e+02
8.178062438964843750e+01,8.976091003417968750e+01,1.413025817871093750e+02
8.024941253662109375e+01,8.808016967773437500e+01,1.384469451904296875e+02
7.867660522460937500e+01,8.635375213623046875e+01,1.355132446289062500e+02
7.722665405273437500e+01,8.476219940185546875e+01,1.327916870117187500e+02
7.562290191650390625e+01,8.300186157226562500e+01,1.297071838378906250e+02
7.458211517333984375e+01,8.185944366455078125e+01,1.277031631469726562e+02
7.396181488037109375e+01,8.117857360839843750e+01,1.264834747314453125e+02
7.361969757080078125e+01,8.080306243896484375e+01,1.257882614135742188e+02
7.337695312500000000e+01,8.053663635253906250e+01,1.252990417480468750e+02
7.330350494384765625e+01,8.045602416992187500e+01,1.251561965942382812e+02
7.321112060546875000e+01,8.035460662841796875e+01,1.249849395751953125e+02
7.318260192871093750e+01,8.032334136962890625e+01,1.249343643188476562e+02
7.316506958007812500e+01,8.030407714843750000e+01,1.249042282104492188e+02
7.316080474853515625e+01,8.029930877685546875e+01,1.248973236083984375e+02
7.315851593017578125e+01,8.029695129394531250e+01,1.248969726562500000e+02
7.315807342529296875e+01,8.029643249511718750e+01,1.248972930908203125e+02
7.313527679443359375e+01,8.027146148681640625e+01,1.248580703735351562e+02
7.310108184814453125e+01,8.023394012451171875e+01,1.247961959838867188e+02
7.296634674072265625e+01,8.008607482910156250e+01,1.245486221313476562e+02
7.251115417480468750e+01,7.958648681640625000e+01,1.236932144165039062e+02
7.200015258789062500e+01,7.902563476562500000e+01,1.227018508911132812e+02
7.119851684570312500e+01,7.814577484130859375e+01,1.211157302856445312e+02
6.990519714355468750e+01,7.672621917724609375e+01,1.185654144287109375e+02
6.843441772460937500e+01,7.511186981201171875e+01,1.156448135375976562e+02
6.707078552246093750e+01,7.361512756347656250e+01,1.129295806884765625e+02
6.539123535156250000e+01,7.177161407470703125e+01,1.095953598022460938e+02
6.391817474365234375e+01,7.015473937988281250e+01,1.066246414184570312e+02
6.299740219116210938e+01,6.914407348632812500e+01,1.047692184448242188e+02
6.177534484863281250e+01,6.780270385742187500e+01,1.023053207397460938e+02
6.086201477050781250e+01,6.680020904541015625e+01,1.004723281860351562e+02
6.013608932495117188e+01,6.600341796875000000e+01,9.899393463134765625e+01
5.889914703369140625e+01,6.464570617675781250e+01,9.651300048828125000e+01
5.785604476928710938e+01,6.350076293945312500e+01,9.443111419677734375e+01
5.688775634765625000e+01,6.243792724609375000e+01,9.252963256835937500e+01
5.529924774169921875e+01,6.069431304931640625e+01,8.947161102294921875e+01
5.442852020263671875e+01,5.973856735229492188e+01,8.776893615722656250e+01
5.357734680175781250e+01,5.880428695678710938e+01,8.613031005859375000e+01
5.291274261474609375e+01,5.807479095458984375e+01,8.485449981689453125e+01
5.236426925659179688e+01,5.747276306152343750e+01,8.382113647460937500e+01
5.190016937255859375e+01,5.696334075927734375e+01,8.300034332275390625e+01
5.151540756225585938e+01,5.654101181030273438e+01,8.231201171875000000e+01
5.120953369140625000e+01,5.620527648925781250e+01,8.180235290527343750e+01
5.099507904052734375e+01,5.596987152099609375e+01,8.143721771240234375e+01
5.079784393310546875e+01,5.575337982177734375e+01,8.109738922119140625e+01
5.061502456665039062e+01,5.555270385742187500e+01,8.078104400634765625e+01
5.047766494750976562e+01,5.540193557739257812e+01,8.054463958740234375e+01
5.032318496704101562e+01,5.523237228393554688e+01,8.030014038085937500e+01
5.014881515502929688e+01,5.504097366333007812e+01,8.001343536376953125e+01
4.998729705810546875e+01,5.486368179321289062e+01,7.973130035400390625e+01
4.985471343994140625e+01,5.471814346313476562e+01,7.949131011962890625e+01
4.980056381225585938e+01,5.465871047973632812e+01,7.938308715820312500e+01
4.978674697875976562e+01,5.464354324340820312e+01,7.935005187988281250e+01
4.976705932617187500e+01,5.462193679809570312e+01,7.930114746093750000e+01
4.976342010498046875e+01,5.461794281005859375e+01,7.928586578369140625e+01
4.975252151489257812e+01,5.460597991943359375e+01,7.926176452636718750e+01
4.974697875976562500e+01,5.459990310668945312e+01,7.924958801269531250e+01
4.973862457275390625e+01,5.459073257446289062e+01,7.923101043701171875e+01
4.968458938598632812e+01,5.453142929077148438e+01,7.913362884521484375e+01
4.961788940429687500e+01,5.445822143554687500e+01,7.901982879638671875e+01
4.947834014892578125e+01,5.430505371093750000e+01,7.879081726074218750e+01
4.931596755981445312e+01,5.412684631347656250e+01,7.853787231445312500e+01
4.906538009643554688e+01,5.385179901123046875e+01,7.815783691406250000e+01
4.885396575927734375e+01,5.361974716186523438e+01,7.784239959716796875e+01
4.859596633911132812e+01,5.333655929565429688e+01,7.744976806640625000e+01
4.837237930297851562e+01,5.309112930297851562e+01,7.710694122314453125e+01
4.816650390625000000e+01,5.286514663696289062e+01,7.678465270996093750e+01
4.802011108398437500e+01,5.270445632934570312e+01,7.655353546142578125e+01
4.791374969482421875e+01,5.258770751953125000e+01,7.638258361816406250e+01
4.783366775512695312e+01,5.249980545043945312e+01,7.625357818603515625e+01
4.778657150268554688e+01,5.244810867309570312e+01,7.617311859130859375e+01
4.775321197509765625e+01,5.241149139404296875e+01,7.611410522460937500e+01
4.771966934204101562e+01,5.237467193603515625e+01,7.605499267578125000e+01
4.770839691162109375e+01,5.236229705810546875e+01,7.602981567382812500e+01
4.770200347900390625e+01,5.235527801513671875e+01,7.601594543457031250e+01
4.769855880737304688e+01,5.235149765014648438e+01,7.600653076171875000e+01
4.769759368896484375e+01,5.235044097900390625e+01,7.600223541259765625e+01
4.769499969482421875e+01,5.234759140014648438e+01,7.599748229980468750e+01
4.768657684326171875e+01,5.233834457397460938e+01,7.598320770263671875e+01
4.767331314086914062e+01,5.232378768920898438e+01,7.596385192871093750e+01
4.764397048950195312e+01,5.229157257080078125e+01,7.592270660400390625e+01
4.761526870727539062e+01,5.226007461547851562e+01,7.587999725341796875e+01
4.752840805053710938e+01,5.216472625732421875e+01,7.576417541503906250e+01
4.737561035156250000e+01,5.199700164794921875e+01,7.555373382568359375e+01
4.728273391723632812e+01,5.189505767822265625e+01,7.540731048583984375e+01
4.705894470214843750e+01,5.164940643310546875e+01,7.506253051757812500e+01
4.668172073364257812e+01,5.123534393310546875e+01,7.445993804931640625e+01
4.620994949340820312e+01,5.071749114990234375e+01,7.365190887451171875e+01
4.553727722167968750e+01,4.997912216186523438e+01,7.250997924804687500e+01
4.459926986694335938e+01,4.894950866699218750e+01,7.083563995361328125e+01
4.343006896972656250e+01,4.766612625122070312e+01,6.871941375732421875e+01
4.189206314086914062e+01,4.597790527343750000e+01,6.592366790771484375e+01
4.040522003173828125e+01,4.434584426879882812e+01,6.314077377319335938e+01
3.900344467163085938e+01,4.280714797973632812e+01,6.052767181396484375e+01
3.758031845092773438e+01,4.124499893188476562e+01,5.792248916625976562e+01
3.661274337768554688e+01,4.018289184570312500e+01,5.617283248901367188e+01
3.606747055053710938e+01,3.958433914184570312e+01,5.518377685546875000e+01
3.561834335327148438e+01,3.909133148193359375e+01,5.436462402343750000e+01
3.529501342773437500e+01,3.873641204833984375e+01,5.377673721313476562e+01
3.455704116821289062e+01,3.792633438110351562e+01,5.248256683349609375e+01
3.410388183593750000e+01,3.742889404296875000e+01,5.168396759033203125e+01
3.379470062255859375e+01,3.708950042724609375e+01,5.114303970336914062e+01
3.336738586425781250e+01,3.662041854858398438e+01,5.045195770263671875e+01
3.308615112304687500e+01,3.631167984008789062e+01,5.002600479125976562e+01
3.295354843139648438e+01,3.616610717773437500e+01,4.983383178710937500e+01
3.285960006713867188e+01,3.606295776367187500e+01,4.970935440063476562e+01
3.280111312866210938e+01,3.599873733520507812e+01,4.963405227661132812e+01
3.271520996093750000e+01,3.590440750122070312e+01,4.953140640258789062e+01
3.264779663085937500e+01,3.583036804199218750e+01,4.944092559814453125e+01
3.262213134765625000e+01,3.580219268798828125e+01,4.939636993408203125e+01
3.261291885375976562e+01,3.579207611083984375e+01,4.937928390502929688e+01
3.261698150634765625e+01,3.579653549194335938e+01,4.937493515014648438e+01
3.261911392211914062e+01,3.579887771606445312e+01,4.936534500122070312e+01
3.262080383300781250e+01,3.580073547363281250e+01,4.935520172119140625e+01
3.261627197265625000e+01,3.579576492309570312e+01,4.932703399658203125e+01
3.260570526123046875e+01,3.578416442871093750e+01,4.930069732666015625e+01
3.260538101196289062e+01,3.578380966186523438e+01,4.928910064697265625e+01
3.260974121093750000e+01,3.578859329223632812e+01,4.928680419921875000e+01
3.261542510986328125e+01,3.579483413696289062e+01,4.929068756103515625e+01
3.261677932739257812e+01,3.579632568359375000e+01,4.928992843627929688e+01
3.261816406250000000e+01,3.579784393310546875e+01,4.928762054443359375e+01
3.261753845214843750e+01,3.579715728759765625e+01,4.928293609619140625e+01
3.261694717407226562e+01,3.579650878906250000e+01,4.927962875366210938e+01
3.261709976196289062e+01,3.579667663574218750e+01,4.927882766723632812e+01
3.261599349975585938e+01,3.579546356201171875e+01,4.927525329589843750e+01
3.261290740966796875e+01,3.579207611083984375e+01,4.926821517944335938e+01
3.261425018310546875e+01,3.579354858398437500e+01,4.927079772949218750e+01
3.260807037353515625e+01,3.578676605224609375e+01,4.925997543334960938e+01
3.259481430053710938e+01,3.577221679687500000e+01,4.923735809326171875e+01
3.256369400024414062e+01,3.573805236816406250e+01,4.919417953491210938e+01
