global_rmse,occupied_rmse
9.255339950323104858e-02,9.922035038471221924e-02
9.228997677564620972e-02,9.923546016216278076e-02
9.218718856573104858e-02,9.910915791988372803e-02
9.230872243642807007e-02,9.929324686527252197e-02
9.220714867115020752e-02,9.916534274816513062e-02
9.221449494361877441e-02,9.903139621019363403e-02
9.223075211048126221e-02,9.913622587919235229e-02
9.225293993949890137e-02,9.907397627830505371e-02
9.219581633806228638e-02,9.904848784208297729e-02
9.225317835807800293e-02,9.892701357603073120e-02
9.238827228546142578e-02,9.935804456472396851e-02
9.192582219839096069e-02,9.875249862670898438e-02
9.188577532768249512e-02,9.860310703516006470e-02
9.174112230539321899e-02,9.850503504276275635e-02
9.133387356996536255e-02,9.806100279092788696e-02
9.115357697010040283e-02,9.781023114919662476e-02
9.126347303390502930e-02,9.793797880411148071e-02
9.125072509050369263e-02,9.793119132518768311e-02
9.102673083543777466e-02,9.761990606784820557e-02
9.099432826042175293e-02,9.761893749237060547e-02
9.103269875049591064e-02,9.765493869781494141e-02
9.058564156293869019e-02,9.709182381629943848e-02
9.056659787893295288e-02,9.707039594650268555e-02
9.049447625875473022e-02,9.697926789522171021e-02
9.002631902694702148e-02,9.640048444271087646e-02
9.006691724061965942e-02,9.642875939607620239e-02
8.971603959798812866e-02,9.596448391675949097e-02
9.015280008316040039e-02,9.655077755451202393e-02
8.935184776782989502e-02,9.554859995841979980e-02
8.883457630872726440e-02,9.492007642984390259e-02
8.876027166843414307e-02,9.484396129846572876e-02
8.829609304666519165e-02,9.427630901336669922e-02
8.819787949323654175e-02,9.415503591299057007e-02
8.792665600776672363e-02,9.382055699825286865e-02
8.706494420766830444e-02,9.275895357131958008e-02
8.677568286657333374e-02,9.240154922008514404e-02
8.450215309858322144e-02,8.956768363714218140e-02
8.415140956640243530e-02,8.910021930932998657e-02
8.419779688119888306e-02,8.914599567651748657e-02
8.509042114019393921e-02,9.026118367910385132e-02
8.213732391595840454e-02,8.659052103757858276e-02
8.231340348720550537e-02,8.683948218822479248e-02
8.184690028429031372e-02,8.623540401458740234e-02
8.194030076265335083e-02,8.635450899600982666e-02
8.138478547334671021e-02,8.566454052925109863e-02
8.134882152080535889e-02,8.562211692333221436e-02
8.115389943122863770e-02,8.537881076335906982e-02
8.102376013994216919e-02,8.521713316440582275e-02
8.085364103317260742e-02,8.500452339649200439e-02
7.977897673845291138e-02,8.365877717733383179e-02
7.957506924867630005e-02,8.340305089950561523e-02
7.862136512994766235e-02,8.220551908016204834e-02
7.735515385866165161e-02,8.061061054468154907e-02
7.740399986505508423e-02,8.067229390144348145e-02
7.622240483760833740e-02,7.917968183755874634e-02
7.557021826505661011e-02,7.835356891155242920e-02
7.433339953422546387e-02,7.678249478340148926e-02
7.345145195722579956e-02,7.565833628177642822e-02
7.250573486089706421e-02,7.444915175437927246e-02
7.181037962436676025e-02,7.355724275112152100e-02
7.077347487211227417e-02,7.222203165292739868e-02
7.057676464319229126e-02,7.196892797946929932e-02
6.997976452112197876e-02,7.119517028331756592e-02
6.994538754224777222e-02,7.114678621292114258e-02
6.977666914463043213e-02,7.092735916376113892e-02
6.846459954977035522e-02,6.918763369321823120e-02
6.806029379367828369e-02,6.866399198770523071e-02
6.788264960050582886e-02,6.839525699615478516e-02
6.805277615785598755e-02,6.867256015539169312e-02
6.806248426437377930e-02,6.865540146827697754e-02
6.802473217248916626e-02,6.865758448839187622e-02
6.822715699672698975e-02,6.894782185554504395e-02
6.792420893907546997e-02,6.846339255571365356e-02
6.784166395664215088e-02,6.836325675249099731e-02
6.787695735692977905e-02,6.846109032630920410e-02
6.817097961902618408e-02,6.884834915399551392e-02
6.764822453260421753e-02,6.806763261556625366e-02
6.758443266153335571e-02,6.803880631923675537e-02
6.792069226503372192e-02,6.862114369869232178e-02
6.742281466722488403e-02,6.786066293716430664e-02
6.745680421590805054e-02,6.800574064254760742e-02
6.720539927482604980e-02,6.777515262365341187e-02
6.724480539560317993e-02,6.786113232374191284e-02
6.725596636533737183e-02,6.781744211912155151e-02
6.721195578575134277e-02,6.773489713668823242e-02
6.709991395473480225e-02,6.773561239242553711e-02
6.706654280424118042e-02,6.766185164451599121e-02
6.709474325180053711e-02,6.789067387580871582e-02
6.698101013898849487e-02,6.770143657922744751e-02
6.705112010240554810e-02,6.786656379699707031e-02
6.701441854238510132e-02,6.766396015882492065e-02
6.701011955738067627e-02,6.778892129659652710e-02
6.696655601263046265e-02,6.770714372396469116e-02
6.697820872068405151e-02,6.774249672889709473e-02
6.713228672742843628e-02,6.795673072338104248e-02
6.712684780359268188e-02,6.791894882917404175e-02
6.715763360261917114e-02,6.798781454563140869e-02
6.700655072927474976e-02,6.774543225765228271e-02
6.691215932369232178e-02,6.763355433940887451e-02
6.691840291023254395e-02,6.765332818031311035e-02
6.772081553936004639e-02,6.866917759180068970e-02
6.669585406780242920e-02,6.727075576782226562e-02
6.636158376932144165e-02,6.682558357715606689e-02
6.606465578079223633e-02,6.646241247653961182e-02
6.603830307722091675e-02,6.641453504562377930e-02
6.615909188985824585e-02,6.658383458852767944e-02
6.643268465995788574e-02,6.694769859313964844e-02
6.619265675544738770e-02,6.647705286741256714e-02
6.642591953277587891e-02,6.690680235624313354e-02
6.603062152862548828e-02,6.639446318149566650e-02
6.597191095352172852e-02,6.631292402744293213e-02
6.593057513236999512e-02,6.622949987649917603e-02
6.603920459747314453e-02,6.640283763408660889e-02
6.616290658712387085e-02,6.656789779663085938e-02
6.579010188579559326e-02,6.603271514177322388e-02
6.600656360387802124e-02,6.633792817592620850e-02
6.500487029552459717e-02,6.501135975122451782e-02
6.466776132583618164e-02,6.455502659082412720e-02
6.470537930727005005e-02,6.459771841764450073e-02
6.437245011329650879e-02,6.417225301265716553e-02
6.424921751022338867e-02,6.402027606964111328e-02
6.417754292488098145e-02,6.392447650432586670e-02
6.408937275409698486e-02,6.375584751367568970e-02
6.404842436313629150e-02,6.375931948423385620e-02
6.363483518362045288e-02,6.320764124393463135e-02
6.360176205635070801e-02,6.312303990125656128e-02
6.310747563838958740e-02,6.245063245296478271e-02
6.273313611745834351e-02,6.195263192057609558e-02
6.281793117523193359e-02,6.210771575570106506e-02
6.273314356803894043e-02,6.199356541037559509e-02
6.172651797533035278e-02,6.066126003861427307e-02
6.287667155265808105e-02,6.220395117998123169e-02
6.225813180208206177e-02,6.139715388417243958e-02
6.143335998058319092e-02,6.029710173606872559e-02
6.001920625567436218e-02,5.839663371443748474e-02
5.848984792828559875e-02,5.632058903574943542e-02
5.776201188564300537e-02,5.531994253396987915e-02
