global_rmse,occupied_rmse
9.255339950323104858e-02,9.922035038471221924e-02
9.228997677564620972e-02,9.923546016216278076e-02
9.219951927661895752e-02,9.906935691833496094e-02
9.233680367469787598e-02,9.933014959096908569e-02
9.211760014295578003e-02,9.903932362794876099e-02
9.244318306446075439e-02,9.898892790079116821e-02
9.183448553085327148e-02,9.858620911836624146e-02
9.180642664432525635e-02,9.843789786100387573e-02
9.177268296480178833e-02,9.843008220195770264e-02
9.132972359657287598e-02,9.783584624528884888e-02
9.159188717603683472e-02,9.816670417785644531e-02
9.227007627487182617e-02,9.906326234340667725e-02
9.108570963144302368e-02,9.756641089916229248e-02
9.094194322824478149e-02,9.740583598613739014e-02
8.932296186685562134e-02,9.535412490367889404e-02
8.890951424837112427e-02,9.480863064527511597e-02
8.876204490661621094e-02,9.462914615869522095e-02
8.916962891817092896e-02,9.513048082590103149e-02
8.848036825656890869e-02,9.428308904170989990e-02
8.770080655813217163e-02,9.331608563661575317e-02
8.641130477190017700e-02,9.172446280717849731e-02
8.605440706014633179e-02,9.128679335117340088e-02
8.691972494125366211e-02,9.235574305057525635e-02
8.529739826917648315e-02,9.034357964992523193e-02
8.369048684835433960e-02,8.834620565176010132e-02
8.282020688056945801e-02,8.725876361131668091e-02
8.112049102783203125e-02,8.513778448104858398e-02
8.038737624883651733e-02,8.421525359153747559e-02
7.840098440647125244e-02,8.170641213655471802e-02
7.695116102695465088e-02,7.986443489789962769e-02
7.696844637393951416e-02,7.989264279603958130e-02
7.689246535301208496e-02,7.979626953601837158e-02
7.647147029638290405e-02,7.925865054130554199e-02
7.520629465579986572e-02,7.766253501176834106e-02
7.505218684673309326e-02,7.744130492210388184e-02
7.343225926160812378e-02,7.535857707262039185e-02
7.379200309514999390e-02,7.582703232765197754e-02
7.340907305479049683e-02,7.533480972051620483e-02
7.333587855100631714e-02,7.524903863668441772e-02
7.142417877912521362e-02,7.279349863529205322e-02
7.120057195425033569e-02,7.250425964593887329e-02
7.037214189767837524e-02,7.143323868513107300e-02
6.913344562053680420e-02,6.982604414224624634e-02
6.846315413713455200e-02,6.895227730274200439e-02
6.735496222972869873e-02,6.749910861253738403e-02
6.788162142038345337e-02,6.819178164005279541e-02
6.791261583566665649e-02,6.823084503412246704e-02
6.734099984169006348e-02,6.748782098293304443e-02
6.619828194379806519e-02,6.593210995197296143e-02
6.588522344827651978e-02,6.551773846149444580e-02
6.525615602731704712e-02,6.470051407814025879e-02
6.543713063001632690e-02,6.497219949960708618e-02
6.479139626026153564e-02,6.406732648611068726e-02
6.451825797557830811e-02,6.371484696865081787e-02
6.421621888875961304e-02,6.327981501817703247e-02
6.392486393451690674e-02,6.285567581653594971e-02
6.436128914356231689e-02,6.352238357067108154e-02
6.394406408071517944e-02,6.295438855886459351e-02
6.356032937765121460e-02,6.238062679767608643e-02
6.404938548803329468e-02,6.301369518041610718e-02
6.323317438364028931e-02,6.191553175449371338e-02
6.279775500297546387e-02,6.127182021737098694e-02
6.319563835859298706e-02,6.191450357437133789e-02
6.322754919528961182e-02,6.192766875028610229e-02
6.229884177446365356e-02,6.062493473291397095e-02
6.206656619906425476e-02,6.033740937709808350e-02
6.232647225260734558e-02,6.067837029695510864e-02
6.264795362949371338e-02,6.062405928969383240e-02
6.275741755962371826e-02,6.070587038993835449e-02
6.280846148729324341e-02,6.070462614297866821e-02
6.272095441818237305e-02,6.062136963009834290e-02
6.261187791824340820e-02,6.048962473869323730e-02
6.274697184562683105e-02,6.050948798656463623e-02
6.263715773820877075e-02,6.042434275150299072e-02
6.259471178054809570e-02,6.036164984107017517e-02
6.242425739765167236e-02,6.025529280304908752e-02
6.231327727437019348e-02,6.020405143499374390e-02
6.217565760016441345e-02,6.029307469725608826e-02
6.209949031472206116e-02,6.014855206012725830e-02
6.205113232135772705e-02,6.015389040112495422e-02
6.210575625300407410e-02,6.025371327996253967e-02
6.215843185782432556e-02,6.039718538522720337e-02
6.211166456341743469e-02,6.027944013476371765e-02
6.204630434513092041e-02,6.015913933515548706e-02
6.199714168906211853e-02,6.052469089627265930e-02
6.215142458677291870e-02,6.033850088715553284e-02
6.175905466079711914e-02,6.039186194539070129e-02
6.209263205528259277e-02,6.033705547451972961e-02
6.212289631366729736e-02,6.031293421983718872e-02
6.164569780230522156e-02,6.035477295517921448e-02
6.189505010843276978e-02,6.027565523982048035e-02
6.161278858780860901e-02,6.028424948453903198e-02
6.169964373111724854e-02,6.023419275879859924e-02
6.158423051238059998e-02,6.036644056439399719e-02
6.150404736399650574e-02,6.043476238846778870e-02
6.151188537478446960e-02,6.046744063496589661e-02
6.141120567917823792e-02,6.029918789863586426e-02
6.136749312281608582e-02,6.023344770073890686e-02
6.152177229523658752e-02,6.042149290442466736e-02
6.143425032496452332e-02,6.023570522665977478e-02
6.193026900291442871e-02,6.020155921578407288e-02
6.223306432366371155e-02,6.021029874682426453e-02
6.138886883854866028e-02,6.015437096357345581e-02
6.141089275479316711e-02,6.015527993440628052e-02
6.121530011296272278e-02,6.055099889636039734e-02
6.076102703809738159e-02,5.991721898317337036e-02
6.092999130487442017e-02,6.022392958402633667e-02
6.090527400374412537e-02,6.017304956912994385e-02
6.043352931737899780e-02,5.944033339619636536e-02
6.059083715081214905e-02,5.911224707961082458e-02
6.022666767239570618e-02,5.909681692719459534e-02
6.029191240668296814e-02,5.915025994181632996e-02
5.990944430232048035e-02,5.870496109127998352e-02
5.954840034246444702e-02,5.827491730451583862e-02
5.978000536561012268e-02,5.851223692297935486e-02
5.997355654835700989e-02,5.850711464881896973e-02
5.932418256998062134e-02,5.783176422119140625e-02
5.859889090061187744e-02,5.671374127268791199e-02
5.866440385580062866e-02,5.681850761175155640e-02
5.838967114686965942e-02,5.643845349550247192e-02
5.830843374133110046e-02,5.640821903944015503e-02
5.835618823766708374e-02,5.649725347757339478e-02
5.826300010085105896e-02,5.626966431736946106e-02
5.822948366403579712e-02,5.620306357741355896e-02
5.804521963000297546e-02,5.611782148480415344e-02
5.810171365737915039e-02,5.597877502441406250e-02
5.800033360719680786e-02,5.603179708123207092e-02
5.808436125516891479e-02,5.610242486000061035e-02
5.809457227587699890e-02,5.615547299385070801e-02
5.806471034884452820e-02,5.610628798604011536e-02
5.804074928164482117e-02,5.608786270022392273e-02
5.802084505558013916e-02,5.607560276985168457e-02
5.798982828855514526e-02,5.603454262018203735e-02
5.797487124800682068e-02,5.600917711853981018e-02
5.794281139969825745e-02,5.596743151545524597e-02
5.793124064803123474e-02,5.596367269754409790e-02
5.791724100708961487e-02,5.595596134662628174e-02
