map_id,gained_true_utility,total_true_utility,task_completion,global_final_rmse,global_mean_rmse,global_auc_rmse,occupied_final_rmse,occupied_mean_rmse,occupied_auc_rmse,weighted_final_rmse,weighted_mean_rmse,weighted_auc_rmse,final_total_variance,variance_reduction
1.010000000000000000e+02,1.188270000000000000e+05,1.992980000000000000e+05,5.962277594356190091e-01,3.698369598388671875e+01,6.781767473220824627e+01,1.348241120147705078e+04,4.307121658325195312e+01,7.899251344680786246e+01,1.570401216316223145e+04,6.802352142333984375e+01,1.298086309432983398e+02,2.580610040664672852e+04,1.574177684067700284e+04,1.026822315932299716e+04
1.020000000000000000e+02,5.691300000000000000e+04,9.985600000000000000e+04,5.699507290498317946e-01,1.315814399719238281e+01,2.824541317939758400e+01,5.610676178932189941e+03,1.523322391510009766e+01,3.272388767719268543e+01,6.500279648303985596e+03,2.323829841613769531e+01,5.255364464759826859e+01,1.044000122547149658e+04,1.553408334855837711e+04,1.047591665144162289e+04
1.030000000000000000e+02,1.279830000000000000e+05,2.001980000000000000e+05,6.392821107103967559e-01,1.966240882873535156e+01,4.663560928344726619e+01,9.267417990684509277e+03,2.002556610107421875e+01,4.750097681045532028e+01,9.439383533477783203e+03,3.049691963195800781e+01,6.985636459350585881e+01,1.388220255947113037e+04,1.582319618573628577e+04,1.018680381426371423e+04
1.040000000000000000e+02,6.956300000000000000e+04,1.995040000000000000e+05,3.486797257197850608e-01,6.625073242187500000e+01,8.088624393463135220e+01,1.608450294494628906e+04,7.438596343994140625e+01,9.082109333038330590e+01,1.806008124923706055e+04,1.221863784790039062e+02,1.447473004150390636e+02,2.878436467361450195e+04,1.519818797897359400e+04,1.081181202102640600e+04
1.050000000000000000e+02,1.089310000000000000e+05,1.987970000000000000e+05,5.479509248127486520e-01,4.778360366821289062e+01,7.260289100646973282e+01,1.444298781013488770e+04,5.010828018188476562e+01,7.613851610183715479e+01,1.514633501625061035e+04,7.670895385742187500e+01,1.110571869277954136e+02,2.208945954132080078e+04,1.588268858519087735e+04,1.012731141480912265e+04
