global_rmse,occupied_rmse,weighted_rmse
1.254020843505859375e+02,1.460709228515625000e+02,2.434806518554687500e+02
1.209327468872070312e+02,1.408649139404296875e+02,2.349584197998046875e+02
1.179806365966796875e+02,1.374261627197265625e+02,2.291990509033203125e+02
1.156827087402343750e+02,1.347494201660156250e+02,2.246662139892578125e+02
1.137891082763671875e+02,1.325436553955078125e+02,2.209551849365234375e+02
1.121398086547851562e+02,1.306224212646484375e+02,2.177898406982421875e+02
1.112606124877929688e+02,1.295982666015625000e+02,2.161655578613281250e+02
1.104398269653320312e+02,1.286421203613281250e+02,2.147107543945312500e+02
1.097093429565429688e+02,1.277911682128906250e+02,2.134846191406250000e+02
1.090108947753906250e+02,1.269775238037109375e+02,2.123328704833984375e+02
1.085218505859375000e+02,1.264077529907226562e+02,2.115743560791015625e+02
1.079976577758789062e+02,1.257970581054687500e+02,2.107904052734375000e+02
1.076822280883789062e+02,1.254295806884765625e+02,2.103216247558593750e+02
1.075207748413085938e+02,1.252414779663085938e+02,2.100917816162109375e+02
1.074339599609375000e+02,1.251403503417968750e+02,2.099742279052734375e+02
1.073081893920898438e+02,1.249938507080078125e+02,2.098046875000000000e+02
1.070532379150390625e+02,1.246968688964843750e+02,2.094478912353515625e+02
1.065450286865234375e+02,1.241048965454101562e+02,2.086704559326171875e+02
1.058945999145507812e+02,1.233472824096679688e+02,2.075970153808593750e+02
1.050103607177734375e+02,1.223173217773437500e+02,2.060692138671875000e+02
1.037438354492187500e+02,1.208420715332031250e+02,2.037875518798828125e+02
1.021064300537109375e+02,1.189347915649414062e+02,2.007185668945312500e+02
1.001805191040039062e+02,1.166914596557617188e+02,1.969725494384765625e+02
9.803425598144531250e+01,1.141914672851562500e+02,1.926744232177734375e+02
9.544394683837890625e+01,1.111742095947265625e+02,1.873663024902343750e+02
9.270873260498046875e+01,1.079881668090820312e+02,1.816705322265625000e+02
8.972097778320312500e+01,1.045079498291015625e+02,1.751716918945312500e+02
8.865361785888671875e+01,1.032646713256835938e+02,1.727780761718750000e+02
8.777861022949218750e+01,1.022454452514648438e+02,1.708210601806640625e+02
8.740277862548828125e+01,1.018076782226562500e+02,1.699783782958984375e+02
8.728423309326171875e+01,1.016695938110351562e+02,1.697286071777343750e+02
8.725580596923828125e+01,1.016364898681640625e+02,1.696633148193359375e+02
8.721101379394531250e+01,1.015843200683593750e+02,1.695592956542968750e+02
8.721831512451171875e+01,1.015928192138671875e+02,1.695778045654296875e+02
8.721605682373046875e+01,1.015901947021484375e+02,1.695727996826171875e+02
8.721363830566406250e+01,1.015873794555664062e+02,1.695674896240234375e+02
8.721112060546875000e+01,1.015844573974609375e+02,1.695609741210937500e+02
8.718622589111328125e+01,1.015554580688476562e+02,1.695013580322265625e+02
8.710143280029296875e+01,1.014566955566406250e+02,1.692990722656250000e+02
8.679666900634765625e+01,1.011016998291015625e+02,1.685682067871093750e+02
8.619202423095703125e+01,1.003974075317382812e+02,1.671157684326171875e+02
8.518694305419921875e+01,9.922666931152343750e+01,1.647063903808593750e+02
8.354706573486328125e+01,9.731651306152343750e+01,1.607820892333984375e+02
8.137595367431640625e+01,9.478753662109375000e+01,1.556034393310546875e+02
7.865817260742187500e+01,9.162178802490234375e+01,1.492535400390625000e+02
7.566911315917968750e+01,8.814003753662109375e+01,1.423045501708984375e+02
7.241731262207031250e+01,8.435223388671875000e+01,1.347815093994140625e+02
6.930779266357421875e+01,8.073015594482421875e+01,1.276559219360351562e+02
6.650581359863281250e+01,7.746631622314453125e+01,1.213190536499023438e+02
6.431595611572265625e+01,7.491548919677734375e+01,1.165701980590820312e+02
6.288119506835937500e+01,7.324423217773437500e+01,1.134291763305664062e+02
6.182778549194335938e+01,7.201718139648437500e+01,1.110825958251953125e+02
6.095227050781250000e+01,7.099734497070312500e+01,1.092316513061523438e+02
6.008003616333007812e+01,6.998132324218750000e+01,1.074630050659179688e+02
5.941707611083984375e+01,6.920907592773437500e+01,1.061215972900390625e+02
5.887598800659179688e+01,6.857879638671875000e+01,1.050129241943359375e+02
5.804039001464843750e+01,6.760546112060546875e+01,1.033457946777343750e+02
5.678985214233398438e+01,6.614878082275390625e+01,1.009475631713867188e+02
5.522489929199218750e+01,6.432585144042968750e+01,9.804508972167968750e+01
5.351057052612304688e+01,6.232891845703125000e+01,9.499805450439453125e+01
5.178303146362304688e+01,6.031660079956054688e+01,9.207771301269531250e+01
5.058208084106445312e+01,5.891767501831054688e+01,9.008393096923828125e+01
4.929184341430664062e+01,5.741473007202148438e+01,8.807131195068359375e+01
4.825616073608398438e+01,5.620830535888671875e+01,8.657629394531250000e+01
4.724825286865234375e+01,5.503422546386718750e+01,8.528398132324218750e+01
4.665704727172851562e+01,5.434553909301757812e+01,8.451313781738281250e+01
4.637455368041992188e+01,5.401647567749023438e+01,8.412371826171875000e+01
4.612375640869140625e+01,5.372432327270507812e+01,8.379134368896484375e+01
