global_rmse,occupied_rmse
2.171959280967712402e-01,2.204873412847518921e-01
2.163605242967605591e-01,2.196386456489562988e-01
2.159679085016250610e-01,2.192397713661193848e-01
2.152474671602249146e-01,2.185075879096984863e-01
2.150277197360992432e-01,2.182842195034027100e-01
2.152788043022155762e-01,2.185392379760742188e-01
2.142661064863204956e-01,2.175094336271286011e-01
2.133841663599014282e-01,2.166121304035186768e-01
2.126600891351699829e-01,2.158764004707336426e-01
2.122782766819000244e-01,2.154890149831771851e-01
2.112718969583511353e-01,2.144649773836135864e-01
2.112463265657424927e-01,2.144393175840377808e-01
2.104850113391876221e-01,2.136630117893218994e-01
2.099560350179672241e-01,2.131269425153732300e-01
2.092147767543792725e-01,2.123755067586898804e-01
2.079874724149703979e-01,2.111282497644424438e-01
2.079546153545379639e-01,2.110949158668518066e-01
2.074525505304336548e-01,2.105847448110580444e-01
2.066076993942260742e-01,2.097263783216476440e-01
2.059019654989242554e-01,2.090093195438385010e-01
2.054153233766555786e-01,2.085148841142654419e-01
2.046354562044143677e-01,2.077224254608154297e-01
2.041679471731185913e-01,2.072472274303436279e-01
2.044837027788162231e-01,2.075680643320083618e-01
2.036740630865097046e-01,2.067445367574691772e-01
2.026914507150650024e-01,2.057440131902694702e-01
2.019712328910827637e-01,2.050123810768127441e-01
2.018820941448211670e-01,2.049230933189392090e-01
2.010447978973388672e-01,2.040638774633407593e-01
2.008820027112960815e-01,2.038938701152801514e-01
2.008697539567947388e-01,2.038879543542861938e-01
2.001451253890991211e-01,2.031501829624176025e-01
1.996104121208190918e-01,2.025976330041885376e-01
1.986250430345535278e-01,2.015985548496246338e-01
1.980525404214859009e-01,2.010191380977630615e-01
1.971044242382049561e-01,2.000551223754882812e-01
1.966879218816757202e-01,1.996284872293472290e-01
1.957343369722366333e-01,1.986555010080337524e-01
1.947614252567291260e-01,1.976505666971206665e-01
1.944303810596466064e-01,1.973163932561874390e-01
1.942010223865509033e-01,1.970456987619400024e-01
1.937468796968460083e-01,1.965954601764678955e-01
1.935770213603973389e-01,1.964037418365478516e-01
1.932857483625411987e-01,1.961137652397155762e-01
1.931582242250442505e-01,1.959737390279769897e-01
1.928977519273757935e-01,1.957096010446548462e-01
1.920606344938278198e-01,1.948590278625488281e-01
1.917510777711868286e-01,1.945443600416183472e-01
1.912873685359954834e-01,1.940729916095733643e-01
1.907907277345657349e-01,1.935681700706481934e-01
1.909504234790802002e-01,1.937304884195327759e-01
1.907107532024383545e-01,1.934868693351745605e-01
1.909182071685791016e-01,1.936977356672286987e-01
1.905321180820465088e-01,1.933052688837051392e-01
1.902742832899093628e-01,1.930431872606277466e-01
1.903951168060302734e-01,1.931660026311874390e-01
1.901783645153045654e-01,1.929456889629364014e-01
1.901795566082000732e-01,1.929468959569931030e-01
1.896768063306808472e-01,1.924358308315277100e-01
1.891481727361679077e-01,1.918984651565551758e-01
1.890311092138290405e-01,1.917794644832611084e-01
1.883349418640136719e-01,1.910717785358428955e-01
1.878001093864440918e-01,1.905281096696853638e-01
1.879931986331939697e-01,1.907244026660919189e-01
