global_rmse,occupied_rmse
9.255339950323104858e-02,9.922035038471221924e-02
9.228997677564620972e-02,9.923546016216278076e-02
9.219951927661895752e-02,9.906935691833496094e-02
9.199841320514678955e-02,9.906159341335296631e-02
9.184230864048004150e-02,9.873321652412414551e-02
9.200884401798248291e-02,9.911746531724929810e-02
9.191892296075820923e-02,9.878875315189361572e-02
9.192368388175964355e-02,9.895038604736328125e-02
9.138136357069015503e-02,9.823003411293029785e-02
9.159874916076660156e-02,9.850440174341201782e-02
9.169615805149078369e-02,9.860471636056900024e-02
9.028211981058120728e-02,9.688921272754669189e-02
8.922091871500015259e-02,9.557147324085235596e-02
9.014270454645156860e-02,9.672945737838745117e-02
8.858343213796615601e-02,9.479345381259918213e-02
8.840183913707733154e-02,9.455295652151107788e-02
8.801179379224777222e-02,9.402740001678466797e-02
8.842735737562179565e-02,9.457249939441680908e-02
8.797259628772735596e-02,9.401175379753112793e-02
8.674025535583496094e-02,9.248828887939453125e-02
8.686328679323196411e-02,9.264654666185379028e-02
8.675777167081832886e-02,9.251064062118530273e-02
8.554089814424514771e-02,9.098444133996963501e-02
8.513326197862625122e-02,9.048699587583541870e-02
8.440523594617843628e-02,8.958242833614349365e-02
8.318879455327987671e-02,8.805128186941146851e-02
8.229228854179382324e-02,8.692617714405059814e-02
8.177974820137023926e-02,8.630381524562835693e-02
8.011625707149505615e-02,8.423006534576416016e-02
7.982108741998672485e-02,8.384953439235687256e-02
7.821570336818695068e-02,8.183186501264572144e-02
7.666500657796859741e-02,7.989824563264846802e-02
7.537657767534255981e-02,7.826791703701019287e-02
7.438272982835769653e-02,7.697056978940963745e-02
7.304746657609939575e-02,7.521624118089675903e-02
7.247579842805862427e-02,7.457222789525985718e-02
7.094298303127288818e-02,7.258942723274230957e-02
7.063136994838714600e-02,7.215748727321624756e-02
6.952181458473205566e-02,7.073327153921127319e-02
6.833609193563461304e-02,6.919907778501510620e-02
6.781993061304092407e-02,6.853117048740386963e-02
6.771665811538696289e-02,6.839522719383239746e-02
6.736718118190765381e-02,6.794117391109466553e-02
6.732926517724990845e-02,6.789528578519821167e-02
6.778496503829956055e-02,6.848784536123275757e-02
6.696240603923797607e-02,6.741302460432052612e-02
6.600311398506164551e-02,6.615664064884185791e-02
6.610418856143951416e-02,6.625948101282119751e-02
6.642905622720718384e-02,6.668601185083389282e-02
6.558180600404739380e-02,6.552758812904357910e-02
6.586541980504989624e-02,6.594178080558776855e-02
6.585220992565155029e-02,6.595531105995178223e-02
6.581379473209381104e-02,6.590422987937927246e-02
6.444699317216873169e-02,6.407613307237625122e-02
6.420627236366271973e-02,6.375495344400405884e-02
6.462177634239196777e-02,6.433740258216857910e-02
6.405951827764511108e-02,6.354356557130813599e-02
6.419758498668670654e-02,6.352046877145767212e-02
6.403119862079620361e-02,6.326604634523391724e-02
6.356196105480194092e-02,6.268975883722305298e-02
6.249665468931198120e-02,6.130868196487426758e-02
6.201238557696342468e-02,6.067444011569023132e-02
6.121915578842163086e-02,5.964226648211479187e-02
6.130174919962882996e-02,5.979245901107788086e-02
6.038230285048484802e-02,5.855747684836387634e-02
6.064323708415031433e-02,5.895031243562698364e-02
6.074526160955429077e-02,5.911143496632575989e-02
5.970844253897666931e-02,5.764687806367874146e-02
5.972668528556823730e-02,5.759079754352569580e-02
5.913499370217323303e-02,5.694062262773513794e-02
5.930586531758308411e-02,5.695988610386848450e-02
5.904426798224449158e-02,5.683547258377075195e-02
5.897292867302894592e-02,5.660213530063629150e-02
5.786569416522979736e-02,5.493677034974098206e-02
5.783556029200553894e-02,5.493231862783432007e-02
5.781327560544013977e-02,5.509969592094421387e-02
5.799860134720802307e-02,5.527725815773010254e-02
5.770498141646385193e-02,5.497093871235847473e-02
5.772827193140983582e-02,5.507759749889373779e-02
5.809145048260688782e-02,5.558911710977554321e-02
5.799300596117973328e-02,5.541671440005302429e-02
5.768918246030807495e-02,5.484086275100708008e-02
5.783949419856071472e-02,5.487294495105743408e-02
5.746303498744964600e-02,5.505711212754249573e-02
5.777090042829513550e-02,5.513613298535346985e-02
5.761317536234855652e-02,5.504810810089111328e-02
5.748199671506881714e-02,5.514505505561828613e-02
5.748204514384269714e-02,5.523310974240303040e-02
5.780952423810958862e-02,5.510234832763671875e-02
5.759494006633758545e-02,5.514462292194366455e-02
5.738538131117820740e-02,5.516828596591949463e-02
5.738135427236557007e-02,5.517805740237236023e-02
5.733598768711090088e-02,5.519445240497589111e-02
5.743200331926345825e-02,5.532116070389747620e-02
5.737071856856346130e-02,5.521981790661811829e-02
5.727090314030647278e-02,5.519771948456764221e-02
5.745133012533187866e-02,5.505303293466567993e-02
5.742362514138221741e-02,5.501590669155120850e-02
5.760501325130462646e-02,5.503178387880325317e-02
5.739803612232208252e-02,5.501488968729972839e-02
5.688760057091712952e-02,5.506200715899467468e-02
5.701668187975883484e-02,5.502464622259140015e-02
5.702416226267814636e-02,5.501791834831237793e-02
5.695807933807373047e-02,5.509146675467491150e-02
5.724516510963439941e-02,5.516247823834419250e-02
5.688481777906417847e-02,5.511121079325675964e-02
5.687686800956726074e-02,5.507514253258705139e-02
5.700492858886718750e-02,5.519137904047966003e-02
5.697161704301834106e-02,5.537166073918342590e-02
5.686220899224281311e-02,5.515666678547859192e-02
5.681173503398895264e-02,5.513086542487144470e-02
5.723192542791366577e-02,5.571085959672927856e-02
5.679804459214210510e-02,5.501095578074455261e-02
5.643741786479949951e-02,5.461922287940979004e-02
5.648005753755569458e-02,5.462575703859329224e-02
5.668104812502861023e-02,5.483765527606010437e-02
5.601159110665321350e-02,5.397631973028182983e-02
5.543660372495651245e-02,5.314159020781517029e-02
5.554891377687454224e-02,5.307670310139656067e-02
5.536776408553123474e-02,5.295069515705108643e-02
5.504961311817169189e-02,5.257673561573028564e-02
5.512710288166999817e-02,5.265796929597854614e-02
5.524982511997222900e-02,5.278758704662322998e-02
5.543440952897071838e-02,5.309353768825531006e-02
5.524910986423492432e-02,5.277771875262260437e-02
5.525079369544982910e-02,5.283505469560623169e-02
5.523060634732246399e-02,5.280098691582679749e-02
5.553024634718894958e-02,5.325158312916755676e-02
5.565008521080017090e-02,5.342648923397064209e-02
5.482588335871696472e-02,5.225396901369094849e-02
5.420542880892753601e-02,5.135411396622657776e-02
5.433123931288719177e-02,5.154300481081008911e-02
5.495539680123329163e-02,5.246407538652420044e-02
5.409819260239601135e-02,5.125186219811439514e-02
5.354323983192443848e-02,5.049042031168937683e-02
5.362125113606452942e-02,5.061028525233268738e-02
5.301364883780479431e-02,4.974757507443428040e-02
