global_rmse,occupied_rmse,weighted_rmse
6.295164871215820312e+01,7.184356689453125000e+01,1.183631286621093750e+02
6.295256042480468750e+01,7.184459686279296875e+01,1.183636245727539062e+02
6.295187759399414062e+01,7.184382629394531250e+01,1.183632507324218750e+02
6.295101547241210938e+01,7.184272003173828125e+01,1.183627548217773438e+02
6.295124816894531250e+01,7.184313964843750000e+01,1.183629150390625000e+02
6.295165634155273438e+01,7.184360504150390625e+01,1.183631210327148438e+02
6.295147323608398438e+01,7.184337615966796875e+01,1.183630218505859375e+02
6.295129776000976562e+01,7.184317016601562500e+01,1.183629455566406250e+02
6.295122528076171875e+01,7.184297943115234375e+01,1.183628692626953125e+02
6.295123672485351562e+01,7.184294891357421875e+01,1.183628540039062500e+02
6.295140457153320312e+01,7.184304046630859375e+01,1.183629074096679688e+02
6.295252227783203125e+01,7.184318542480468750e+01,1.183629837036132812e+02
6.295238876342773438e+01,7.184321594238281250e+01,1.183629913330078125e+02
6.295251846313476562e+01,7.184321594238281250e+01,1.183630065917968750e+02
6.295230484008789062e+01,7.184318542480468750e+01,1.183629913330078125e+02
6.295206451416015625e+01,7.184312438964843750e+01,1.183629531860351562e+02
6.295173645019531250e+01,7.184306335449218750e+01,1.183629150390625000e+02
6.295197677612304688e+01,7.184310150146484375e+01,1.183629226684570312e+02
6.295222091674804688e+01,7.184312438964843750e+01,1.183629379272460938e+02
6.295257186889648438e+01,7.184316253662109375e+01,1.183629379272460938e+02
6.295177841186523438e+01,7.184307098388671875e+01,1.183629226684570312e+02
6.295231246948242188e+01,7.184311676025390625e+01,1.183629226684570312e+02
6.295203018188476562e+01,7.184310150146484375e+01,1.183629226684570312e+02
6.295196914672851562e+01,7.184313201904296875e+01,1.183629379272460938e+02
6.295195388793945312e+01,7.184312438964843750e+01,1.183629226684570312e+02
6.295201110839843750e+01,7.184313201904296875e+01,1.183629379272460938e+02
6.295198059082031250e+01,7.184314727783203125e+01,1.183629379272460938e+02
6.295181274414062500e+01,7.184311676025390625e+01,1.183629226684570312e+02
6.295193862915039062e+01,7.184313964843750000e+01,1.183629455566406250e+02
6.295172500610351562e+01,7.184311676025390625e+01,1.183629226684570312e+02
6.295185852050781250e+01,7.184313201904296875e+01,1.183629379272460938e+02
6.295176315307617188e+01,7.184316253662109375e+01,1.183629531860351562e+02
6.295179367065429688e+01,7.184319305419921875e+01,1.183629608154296875e+02
6.295201110839843750e+01,7.184341430664062500e+01,1.183630599975585938e+02
6.295225524902343750e+01,7.184364318847656250e+01,1.183631591796875000e+02
6.295242691040039062e+01,7.184378051757812500e+01,1.183632125854492188e+02
6.295194244384765625e+01,7.184336853027343750e+01,1.183630218505859375e+02
6.295198059082031250e+01,7.184335327148437500e+01,1.183630218505859375e+02
6.295125198364257812e+01,7.184247589111328125e+01,1.183626174926757812e+02
6.295168685913085938e+01,7.184303283691406250e+01,1.183628692626953125e+02
6.295181655883789062e+01,7.184304809570312500e+01,1.183629531860351562e+02
6.295382690429687500e+01,7.184542846679687500e+01,1.183641433715820312e+02
6.295600128173828125e+01,7.184782409667968750e+01,1.183653411865234375e+02
6.295706176757812500e+01,7.184888458251953125e+01,1.183658370971679688e+02
6.295878601074218750e+01,7.185050201416015625e+01,1.183665695190429688e+02
6.295693588256835938e+01,7.184861755371093750e+01,1.183656997680664062e+02
6.295668792724609375e+01,7.184834289550781250e+01,1.183655624389648438e+02
6.295574188232421875e+01,7.184738922119140625e+01,1.183651580810546875e+02
6.295513153076171875e+01,7.184673309326171875e+01,1.183648529052734375e+02
6.295445251464843750e+01,7.184595489501953125e+01,1.183644714355468750e+02
6.295116424560546875e+01,7.184226989746093750e+01,1.183625335693359375e+02
6.294951629638671875e+01,7.184027099609375000e+01,1.183614578247070312e+02
6.294876098632812500e+01,7.183936309814453125e+01,1.183610000610351562e+02
6.294525527954101562e+01,7.183518218994140625e+01,1.183584823608398438e+02
6.294404220581054688e+01,7.183365631103515625e+01,1.183574142456054688e+02
6.294237899780273438e+01,7.183161926269531250e+01,1.183562850952148438e+02
6.294639968872070312e+01,7.183627319335937500e+01,1.183595886230468750e+02
6.295267105102539062e+01,7.184353637695312500e+01,1.183645248413085938e+02
6.295227813720703125e+01,7.184306335449218750e+01,1.183635482788085938e+02
6.294874572753906250e+01,7.183901214599609375e+01,1.183599624633789062e+02
6.292525100708007812e+01,7.181223297119140625e+01,1.183381729125976562e+02
6.290656280517578125e+01,7.179090118408203125e+01,1.183190307617187500e+02
6.289383697509765625e+01,7.177632141113281250e+01,1.183043136596679688e+02
6.289090728759765625e+01,7.177296447753906250e+01,1.183013916015625000e+02
6.287994003295898438e+01,7.176047515869140625e+01,1.182917556762695312e+02
6.288911819458007812e+01,7.177094268798828125e+01,1.182998504638671875e+02
6.287805938720703125e+01,7.175827789306640625e+01,1.182886657714843750e+02
6.286016845703125000e+01,7.173780059814453125e+01,1.182726440429687500e+02
6.285489273071289062e+01,7.173175811767578125e+01,1.182677536010742188e+02
6.285604858398437500e+01,7.173316955566406250e+01,1.182680282592773438e+02
6.284244918823242188e+01,7.171755218505859375e+01,1.182551116943359375e+02
6.283717346191406250e+01,7.171149444580078125e+01,1.182495193481445312e+02
6.277386856079101562e+01,7.163919830322265625e+01,1.181776275634765625e+02
6.269614028930664062e+01,7.155043792724609375e+01,1.180828323364257812e+02
6.255150222778320312e+01,7.138532257080078125e+01,1.178968963623046875e+02
6.236161041259765625e+01,7.116860198974609375e+01,1.176401367187500000e+02
6.205731582641601562e+01,7.082131195068359375e+01,1.172102432250976562e+02
6.176786804199218750e+01,7.049095916748046875e+01,1.167873992919921875e+02
6.145711135864257812e+01,7.013628387451171875e+01,1.163174133300781250e+02
6.115154266357421875e+01,6.978751373291015625e+01,1.158456726074218750e+02
