map_id,run_index,sensor_seed,imitation_seed,gained_true_utility,total_true_utility,task_completion,coverage_efficiency,global_final_rmse,global_mean_rmse,global_auc_rmse,occupied_final_rmse,occupied_mean_rmse,occupied_auc_rmse,weighted_final_rmse,weighted_mean_rmse,weighted_auc_rmse,final_total_variance,variance_reduction
101,0,224,101123,126574.0,199298.0,0.6350991981856315,0.0031596975034111022,35.97726058959961,77.10783685684204,15340.946844100952,41.90427017211914,89.81577383041382,17869.24771308899,77.26688385009766,154.1827975845337,30676.31205368042,17570.58956734095,8439.41043265905
101,1,224,101124,126574.0,199298.0,0.6350991981856315,0.0031596975034111022,35.97726058959961,77.10783685684204,15340.946844100952,41.90427017211914,89.81577383041382,17869.24771308899,77.26688385009766,154.1827975845337,30676.31205368042,17570.58956734095,8439.41043265905
101,2,224,101125,126574.0,199298.0,0.6350991981856315,0.0031596975034111022,35.97726058959961,77.10783685684204,15340.946844100952,41.90427017211914,89.81577383041382,17869.24771308899,77.26688385009766,154.1827975845337,30676.31205368042,17570.58956734095,8439.41043265905
101,3,224,101126,126574.0,199298.0,0.6350991981856315,0.0031596975034111022,35.97726058959961,77.10783685684204,15340.946844100952,41.90427017211914,89.81577383041382,17869.24771308899,77.26688385009766,154.1827975845337,30676.31205368042,17570.58956734095,8439.41043265905
101,4,224,101127,126574.0,199298.0,0.6350991981856315,0.0031596975034111022,35.97726058959961,77.10783685684204,15340.946844100952,41.90427017211914,89.81577383041382,17869.24771308899,77.26688385009766,154.1827975845337,30676.31205368042,17570.58956734095,8439.41043265905
102,0,225,102123,55281.0,99856.0,0.5536071943598783,0.0027542646485566083,26.014585494995117,30.327406377792357,6020.646597862244,30.141246795654297,35.13983460426331,6976.015022277832,49.682411193847656,57.27904489517212,11371.859218597412,18922.81576884516,7087.184231154839
102,1,225,102124,55281.0,99856.0,0.5536071943598783,0.0027542646485566083,26.014585494995117,30.327406377792357,6020.646597862244,30.141246795654297,35.13983460426331,6976.015022277832,49.682411193847656,57.27904489517212,11371.859218597412,18922.81576884516,7087.184231154839
102,2,225,102125,55281.0,99856.0,0.5536071943598783,0.0027542646485566083,26.014585494995117,30.327406377792357,6020.646597862244,30.141246795654297,35.13983460426331,6976.015022277832,49.682411193847656,57.27904489517212,11371.859218597412,18922.81576884516,7087.184231154839
102,3,225,102126,55281.0,99856.0,0.5536071943598783,0.0027542646485566083,26.014585494995117,30.327406377792357,6020.646597862244,30.141246795654297,35.13983460426331,6976.015022277832,49.682411193847656,57.27904489517212,11371.859218597412,18922.81576884516,7087.184231154839
102,4,225,102127,55281.0,99856.0,0.5536071943598783,0.0027542646485566083,26.014585494995117,30.327406377792357,6020.646597862244,30.141246795654297,35.13983460426331,6976.015022277832,49.682411193847656,57.27904489517212,11371.859218597412,18922.81576884516,7087.184231154839
103,0,226,103123,94192.0,200198.0,0.47049421073137593,0.0023407672175690345,47.49177169799805,61.07262607574463,12140.90666770935,48.37372970581055,62.2070006942749,12366.414228439331,65.32546997070312,86.63056175231934,17219.627716064453,19493.951698173893,6516.0483018261075
103,1,226,103124,94192.0,200198.0,0.47049421073137593,0.0023407672175690345,47.49177169799805,61.07262607574463,12140.90666770935,48.37372970581055,62.2070006942749,12366.414228439331,65.32546997070312,86.63056175231934,17219.627716064453,19493.951698173893,6516.0483018261075
103,2,226,103125,94192.0,200198.0,0.47049421073137593,0.0023407672175690345,47.49177169799805,61.07262607574463,12140.90666770935,48.37372970581055,62.2070006942749,12366.414228439331,65.32546997070312,86.63056175231934,17219.627716064453,19493.951698173893,6516.0483018261075
103,3,226,103126,94192.0,200198.0,0.47049421073137593,0.0023407672175690345,47.49177169799805,61.07262607574463,12140.90666770935,48.37372970581055,62.2070006942749,12366.414228439331,65.32546997070312,86.63056175231934,17219.627716064453,19493.951698173893,6516.0483018261075
103,4,226,103127,94192.0,200198.0,0.47049421073137593,0.0023407672175690345,47.49177169799805,61.07262607574463,12140.90666770935,48.37372970581055,62.2070006942749,12366.414228439331,65.32546997070312,86.63056175231934,17219.627716064453,19493.951698173893,6516.0483018261075
104,0,227,104123,92326.0,199504.0,0.46277768866789637,0.002302376560536798,44.22970962524414,97.64062692642212,19446.39005470276,49.66184997558594,109.634961643219,21835.216968536377,73.42877960205078,172.9708974838257,34453.4628868103,17510.79575337911,8499.204246620891
104,1,227,104124,92326.0,199504.0,0.46277768866789637,0.002302376560536798,44.22970962524414,97.64062692642212,19446.39005470276,49.66184997558594,109.634961643219,21835.216968536377,73.42877960205078,172.9708974838257,34453.4628868103,17510.79575337911,8499.204246620891
104,2,227,104125,92326.0,199504.0,0.46277768866789637,0.002302376560536798,44.22970962524414,97.64062692642212,19446.39005470276,49.66184997558594,109.634961643219,21835.216968536377,73.42877960205078,172.9708974838257,34453.4628868103,17510.79575337911,8499.204246620891
104,3,227,104126,92326.0,199504.0,0.46277768866789637,0.002302376560536798,44.22970962524414,97.64062692642212,19446.39005470276,49.66184997558594,109.634961643219,21835.216968536377,73.42877960205078,172.9708974838257,34453.4628868103,17510.79575337911,8499.204246620891
