global_rmse,occupied_rmse,weighted_rmse
9.974532318115234375e+01,1.015980911254882812e+02,1.476437988281250000e+02
9.695453643798828125e+01,9.875545501708984375e+01,1.430114440917968750e+02
9.468500518798828125e+01,9.644377899169921875e+01,1.390930633544921875e+02
9.257086944580078125e+01,9.429036712646484375e+01,1.353442687988281250e+02
9.051591491699218750e+01,9.219724273681640625e+01,1.316499023437500000e+02
8.872971343994140625e+01,9.037786102294921875e+01,1.284412231445312500e+02
8.700310516357421875e+01,8.861918640136718750e+01,1.253645324707031250e+02
8.523960113525390625e+01,8.682292175292968750e+01,1.222812347412109375e+02
8.406139373779296875e+01,8.562282562255859375e+01,1.202363967895507812e+02
8.301789855957031250e+01,8.455995941162109375e+01,1.184636154174804688e+02
8.201356506347656250e+01,8.353696441650390625e+01,1.168144912719726562e+02
8.123928070068359375e+01,8.274829101562500000e+01,1.155829925537109375e+02
8.062873077392578125e+01,8.212639617919921875e+01,1.146251144409179688e+02
8.017427062988281250e+01,8.166350555419921875e+01,1.139534606933593750e+02
7.982198333740234375e+01,8.130467224121093750e+01,1.134556808471679688e+02
7.969001770019531250e+01,8.117025756835937500e+01,1.132755737304687500e+02
7.962845611572265625e+01,8.110755157470703125e+01,1.131871185302734375e+02
7.959897613525390625e+01,8.107752227783203125e+01,1.131483688354492188e+02
7.957009124755859375e+01,8.104809570312500000e+01,1.131024475097656250e+02
7.949456787109375000e+01,8.097116851806640625e+01,1.129869155883789062e+02
7.935177612304687500e+01,8.082572937011718750e+01,1.127877807617187500e+02
7.914981079101562500e+01,8.062001800537109375e+01,1.124993591308593750e+02
7.898784637451171875e+01,8.045503997802734375e+01,1.122566757202148438e+02
7.874127960205078125e+01,8.020389556884765625e+01,1.118773345947265625e+02
7.853365325927734375e+01,7.999241638183593750e+01,1.115453262329101562e+02
7.834524536132812500e+01,7.980049896240234375e+01,1.112437133789062500e+02
7.804167938232421875e+01,7.949129486083984375e+01,1.107760696411132812e+02
7.770121002197265625e+01,7.914450836181640625e+01,1.102505950927734375e+02
7.736170196533203125e+01,7.879868316650390625e+01,1.097394943237304688e+02
7.706805419921875000e+01,7.849958038330078125e+01,1.093175735473632812e+02
7.675228881835937500e+01,7.817793273925781250e+01,1.088756790161132812e+02
7.646669006347656250e+01,7.788703155517578125e+01,1.084875183105468750e+02
7.623664093017578125e+01,7.765269470214843750e+01,1.081872634887695312e+02
7.599818420410156250e+01,7.740979003906250000e+01,1.078742828369140625e+02
7.572331237792968750e+01,7.712978363037109375e+01,1.075200347900390625e+02
7.548691558837890625e+01,7.688897705078125000e+01,1.072077713012695312e+02
7.522926330566406250e+01,7.662652587890625000e+01,1.068578491210937500e+02
7.503362274169921875e+01,7.642723846435546875e+01,1.065883865356445312e+02
7.478964996337890625e+01,7.617873382568359375e+01,1.062466049194335938e+02
7.455213165283203125e+01,7.593679046630859375e+01,1.059189605712890625e+02
7.425817871093750000e+01,7.563738250732421875e+01,1.055159072875976562e+02
7.390390014648437500e+01,7.527651977539062500e+01,1.050157241821289062e+02
7.367588806152343750e+01,7.504427337646484375e+01,1.046868667602539062e+02
7.346424102783203125e+01,7.482869720458984375e+01,1.043717422485351562e+02
7.332498931884765625e+01,7.468685150146484375e+01,1.041566925048828125e+02
7.322708129882812500e+01,7.458712768554687500e+01,1.040004730224609375e+02
7.303890228271484375e+01,7.439546203613281250e+01,1.037159194946289062e+02
7.285273742675781250e+01,7.420583343505859375e+01,1.034384078979492188e+02
7.272908782958984375e+01,7.407988739013671875e+01,1.032598953247070312e+02
7.250674438476562500e+01,7.385341644287109375e+01,1.029590911865234375e+02
7.235516357421875000e+01,7.369902038574218750e+01,1.027520751953125000e+02
7.206208801269531250e+01,7.340049743652343750e+01,1.023567581176757812e+02
7.181119537353515625e+01,7.314494323730468750e+01,1.020111618041992188e+02
7.152703094482421875e+01,7.285549926757812500e+01,1.016183090209960938e+02
7.136191558837890625e+01,7.268731689453125000e+01,1.013911132812500000e+02
