global_rmse,occupied_rmse,weighted_rmse
3.588577806949615479e-01,3.588577806949615479e-01,3.761847913265228271e-01
3.588589727878570557e-01,3.588589727878570557e-01,3.761856257915496826e-01
3.588619828224182129e-01,3.588619828224182129e-01,3.761882185935974121e-01
3.588362932205200195e-01,3.588362932205200195e-01,3.761658966541290283e-01
3.588084280490875244e-01,3.588084280490875244e-01,3.761414289474487305e-01
3.588045835494995117e-01,3.588045835494995117e-01,3.761388957500457764e-01
3.588161170482635498e-01,3.588161170482635498e-01,3.761490881443023682e-01
3.588207662105560303e-01,3.588207662105560303e-01,3.761527836322784424e-01
3.588350117206573486e-01,3.588350117206573486e-01,3.761643767356872559e-01
3.588240444660186768e-01,3.588240444660186768e-01,3.761548101902008057e-01
3.588268458843231201e-01,3.588268458843231201e-01,3.761568367481231689e-01
3.588249385356903076e-01,3.588249385356903076e-01,3.761543035507202148e-01
3.587941229343414307e-01,3.587941229343414307e-01,3.761290311813354492e-01
3.587332665920257568e-01,3.587332665920257568e-01,3.760718107223510742e-01
3.587581217288970947e-01,3.587581217288970947e-01,3.760928213596343994e-01
3.587397933006286621e-01,3.587397933006286621e-01,3.760731518268585205e-01
3.587611317634582520e-01,3.587611317634582520e-01,3.760949075222015381e-01
3.587457239627838135e-01,3.587457239627838135e-01,3.760792315006256104e-01
3.587771356105804443e-01,3.587771356105804443e-01,3.761115372180938721e-01
3.587445914745330811e-01,3.587445914745330811e-01,3.760786354541778564e-01
3.587399721145629883e-01,3.587399721145629883e-01,3.760746717453002930e-01
3.587367236614227295e-01,3.587367236614227295e-01,3.760701119899749756e-01
3.586803376674652100e-01,3.586803376674652100e-01,3.760106265544891357e-01
3.587198555469512939e-01,3.587198555469512939e-01,3.760542869567871094e-01
3.587161898612976074e-01,3.587161898612976074e-01,3.760514557361602783e-01
3.587253391742706299e-01,3.587253391742706299e-01,3.760606944561004639e-01
3.587375283241271973e-01,3.587375283241271973e-01,3.760746717453002930e-01
3.586655855178833008e-01,3.586655855178833008e-01,3.759890198707580566e-01
3.586862981319427490e-01,3.586862981319427490e-01,3.760141134262084961e-01
3.586738109588623047e-01,3.586738109588623047e-01,3.759988844394683838e-01
3.586542010307312012e-01,3.586542010307312012e-01,3.759733140468597412e-01
3.586922585964202881e-01,3.586922585964202881e-01,3.760212957859039307e-01
3.587032556533813477e-01,3.587032556533813477e-01,3.760347664356231689e-01
3.586359024047851562e-01,3.586359024047851562e-01,3.759512007236480713e-01
3.586390614509582520e-01,3.586390614509582520e-01,3.759559690952301025e-01
3.586636185646057129e-01,3.586636185646057129e-01,3.759856522083282471e-01
3.586194217205047607e-01,3.586194217205047607e-01,3.759335279464721680e-01
3.585741221904754639e-01,3.585741221904754639e-01,3.758825063705444336e-01
3.585094213485717773e-01,3.585094213485717773e-01,3.758116066455841064e-01
3.584650456905364990e-01,3.584650456905364990e-01,3.757619857788085938e-01
