map_id,diffusion_dynamic_mean,diffusion_dynamic_min,diffusion_dynamic_max,diffusion_dynamic_n,diffusion_k1_mean,diffusion_k1_min,diffusion_k1_max,diffusion_k1_n,imitatetrans_mean,imitatetrans_min,imitatetrans_max,imitatetrans_n,lawnmower_mean,lawnmower_min,lawnmower_max,lawnmower_n,classic_cma_es_mean,classic_cma_es_min,classic_cma_es_max,classic_cma_es_n,map_planner_mean,map_planner_min,map_planner_max
101,18937.9489957809,17239.3411016464,20086.2884140015,5.0000000000,24477.2442588806,21987.7767601013,26978.7671241760,5.0000000000,30676.3120536804,30676.3120536804,30676.3120536804,5.0000000000,42812.3974121094,42800.6291046143,42820.4929656982,5.0000000000,21626.5189205170,16747.4671039581,24278.1922950745,5.0000000000,27706.0843281937,18937.9489957809,42812.3974121094
102,12066.2926456451,10789.3024177551,15085.8845291138,5.0000000000,13205.2779947281,10024.2517662048,14719.7693481445,5.0000000000,11371.8592185974,11371.8592185974,11371.8592185974,5.0000000000,22833.9075973511,22821.8462028503,22841.6423912048,5.0000000000,14519.7877449036,12677.6807231903,16264.5542755127,5.0000000000,14799.4250402451,11371.8592185974,22833.9075973511
103,16059.3108047485,15495.1965942383,16602.8067932129,5.0000000000,16331.6215063095,13647.2780065536,19328.0107078552,5.0000000000,17219.6277160645,17219.6277160645,17219.6277160645,5.0000000000,24195.8093803406,24175.3186073303,24216.3555946350,5.0000000000,20346.1242675781,18685.9359703064,21175.5270309448,5.0000000000,18830.4987350082,16059.3108047485,24195.8093803406
104,35375.7880683899,33355.9477958679,37621.9319992065,5.0000000000,32412.1172550201,28267.5128383636,37688.9846725464,5.0000000000,34453.4628868103,34453.4628868103,34453.4628868103,5.0000000000,41094.6392868042,41090.7919464111,41099.7760238647,5.0000000000,34158.3952507019,32199.7066040039,37654.5357818604,5.0000000000,35498.8805495453,32412.1172550201,41094.6392868042
105,27139.2968006134,25716.2969875336,28925.8594741821,5.0000000000,26633.9566165924,21495.8121852875,31029.3253860474,5.0000000000,22486.7761459351,22486.7761459351,22486.7761459351,5.0000000000,30931.4525894165,30928.3518066406,30935.9628906250,5.0000000000,27205.7474029541,23907.4098701477,31224.6182861328,5.0000000000,26879.4459111023,22486.7761459351,30931.4525894165
