global_rmse,occupied_rmse,weighted_rmse
6.402690124511718750e+01,7.419381713867187500e+01,1.186250839233398438e+02
6.403636169433593750e+01,7.420478820800781250e+01,1.186309509277343750e+02
6.401756286621093750e+01,7.418301391601562500e+01,1.186172103881835938e+02
6.402239990234375000e+01,7.418862152099609375e+01,1.186205673217773438e+02
6.402550506591796875e+01,7.419220733642578125e+01,1.186229095458984375e+02
6.402057647705078125e+01,7.418637084960937500e+01,1.186183700561523438e+02
6.402353668212890625e+01,7.418987274169921875e+01,1.186210403442382812e+02
6.401866912841796875e+01,7.418424224853515625e+01,1.186177215576171875e+02
6.400331878662109375e+01,7.416645812988281250e+01,1.186063766479492188e+02
6.399189376831054688e+01,7.415319824218750000e+01,1.185978088378906250e+02
6.396434402465820312e+01,7.412119293212890625e+01,1.185760726928710938e+02
6.396187591552734375e+01,7.411833190917968750e+01,1.185739746093750000e+02
6.395659637451171875e+01,7.411219787597656250e+01,1.185697021484375000e+02
6.392621612548828125e+01,7.407694244384765625e+01,1.185429382324218750e+02
6.390835189819335938e+01,7.405619049072265625e+01,1.185273513793945312e+02
6.388475418090820312e+01,7.402882385253906250e+01,1.185058746337890625e+02
6.385895538330078125e+01,7.399893188476562500e+01,1.184816589355468750e+02
6.385752868652343750e+01,7.399728393554687500e+01,1.184810028076171875e+02
6.384107589721679688e+01,7.397822570800781250e+01,1.184638519287109375e+02
6.380210113525390625e+01,7.393305206298828125e+01,1.184266204833984375e+02
6.375823974609375000e+01,7.388216400146484375e+01,1.183858795166015625e+02
6.372021865844726562e+01,7.383805847167968750e+01,1.183485870361328125e+02
6.367373657226562500e+01,7.378410339355468750e+01,1.183026657104492188e+02
6.364561080932617188e+01,7.375142669677734375e+01,1.182742996215820312e+02
6.363954162597656250e+01,7.374433898925781250e+01,1.182683868408203125e+02
6.364301300048828125e+01,7.374848175048828125e+01,1.182717819213867188e+02
6.364757537841796875e+01,7.375379180908203125e+01,1.182759475708007812e+02
6.364618301391601562e+01,7.375228118896484375e+01,1.182741012573242188e+02
6.363021850585937500e+01,7.373371887207031250e+01,1.182593002319335938e+02
6.363824081420898438e+01,7.374308776855468750e+01,1.182655258178710938e+02
6.363267135620117188e+01,7.373664093017578125e+01,1.182612838745117188e+02
6.363214492797851562e+01,7.373598480224609375e+01,1.182607955932617188e+02
6.363418579101562500e+01,7.373812103271484375e+01,1.182611694335937500e+02
6.362911605834960938e+01,7.373229217529296875e+01,1.182575607299804688e+02
6.363401412963867188e+01,7.373707580566406250e+01,1.182586288452148438e+02
6.363166427612304688e+01,7.373425292968750000e+01,1.182569885253906250e+02
6.362926101684570312e+01,7.373191070556640625e+01,1.182558822631835938e+02
6.362856292724609375e+01,7.373136901855468750e+01,1.182557983398437500e+02
6.362679672241210938e+01,7.372957611083984375e+01,1.182557144165039062e+02
6.362506866455078125e+01,7.372750854492187500e+01,1.182546997070312500e+02
6.362502670288085938e+01,7.372746276855468750e+01,1.182546768188476562e+02
6.362504959106445312e+01,7.372747039794921875e+01,1.182547988891601562e+02
6.362456893920898438e+01,7.372680664062500000e+01,1.182543945312500000e+02
6.362809371948242188e+01,7.372997283935546875e+01,1.182552337646484375e+02
6.362752532958984375e+01,7.372928619384765625e+01,1.182550582885742188e+02
6.362570953369140625e+01,7.372818756103515625e+01,1.182548980712890625e+02
6.362578201293945312e+01,7.372825622558593750e+01,1.182549743652343750e+02
6.362567138671875000e+01,7.372817993164062500e+01,1.182549514770507812e+02
6.362588119506835938e+01,7.372824096679687500e+01,1.182549819946289062e+02
6.362637329101562500e+01,7.372834014892578125e+01,1.182550201416015625e+02
6.362610244750976562e+01,7.372843933105468750e+01,1.182550354003906250e+02
6.362593841552734375e+01,7.372848510742187500e+01,1.182550201416015625e+02
6.362538146972656250e+01,7.372781372070312500e+01,1.182548294067382812e+02
6.362522888183593750e+01,7.372754669189453125e+01,1.182547760009765625e+02
6.362469482421875000e+01,7.372673034667968750e+01,1.182545318603515625e+02
6.362459564208984375e+01,7.372653198242187500e+01,1.182544479370117188e+02
6.362550354003906250e+01,7.372765350341796875e+01,1.182548522949218750e+02
6.362551116943359375e+01,7.372736358642578125e+01,1.182547988891601562e+02
